50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[77.5, 66.2]",,,,,,,,,,,0.6286640000001061,,,,,,,,,,,,,,6afe01dd-d75c-54e3-b2c3-1e40dc3f164f,1642,,,"[78.0, 65.8]",4070726,63,0.0100020291,0.0098972227,0.0001048064,0.0189844817,0.0194550883,-0.0004706066,-0.000575413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Arne Maier,12411.0,Right Defensive Midfield,148,Ujpest,1033,"['a42c5990-c895-4d8c-bed3-6b5431eb3c70', 'a1055309-a252-46d9-9742-4fca5291cbd8', '755a1a6e-969a-50a5-b450-94bcf1727cca']",37,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:18:37.732,Carry,True
,,,,,,"[68.3, 74.3]",,,,,,,,,,,1.287564000000013,,,,,,,,,,,,,,e8419dec-492a-5795-ab61-a39a58fc4fd1,1646,,,"[64.4, 70.0]",4070726,63,0.0103734229,0.0094893565,0.0008840663,0.0151518686,0.0146709597,0.0004809089,-0.0004031574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Heitor Marinho dos Santos,92794.0,Right Center Back,148,Ujpest,1033,"['4dd1586b-1b43-448c-8453-559d1277fd3d', '00942807-0e75-5c14-aefc-b4d5c54440e3', 'e509ee2d-fdfa-4fa8-9ef3-9668d06c1425']",39,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:18:39.549,Carry,True
,,,,,,"[6.1, 43.5]",,,,,,,,,,,0.0005320000001229346,,,,,,,,,,,,,,cf7f1ad2-f5cc-5077-bd33-4b5d35f7f388,1651,,,"[6.1, 43.5]",4070726,64,0.0129353497,0.0129353497,0.0,0.0091440799,0.0091440799,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Benedek Miklós Erdélyi,406297.0,Goalkeeper,149,Debrecen,2206,"['b19ac6c8-afcb-57af-a3f3-c89784ed2af4', '7476dd4b-8282-41cf-b7a5-e251a4b2d277']",0,,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:19:00.213,Carry,
,,,,,,"[69.3, 66.5]",,,,,,,,,,,1.9642760000000707,,,,,,,,,,,,,,e158259f-1e58-567d-815c-6570b274f3b0,1657,,,"[69.1, 65.3]",4070726,64,0.0139093036,0.0100156693,0.0038936343,0.0105719948,0.0159793459,-0.0054073511,-0.0093009854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Etienne Amenyido,28574.0,Center Forward,150,Ujpest,1033,"['ea898b51-b5cd-5cff-ae55-99980c5d4cb6', 'e569aeed-fe08-5127-a822-724c838d9459', '17625110-d8bf-4f71-89db-a9dcb7a0c0d8']",9,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:19:09.146,Carry,True
,,,,,,"[55.8, 18.2]",,,,,,,,,,,1.55,,,,,,,,,,,,,,6a372323-522e-5e35-8078-5b6621ce9613,1663,,,"[52.3, 14.8]",4070726,64,0.0105997035,0.0105719948,2.77087e-05,0.0145620229,0.0139093036,0.0006527193,0.0006250106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ádám Lang,3153.0,Left Center Back,151,Debrecen,2206,"['4f92c3a3-7c5c-4598-911d-d016d9f107ff', '6ae67b72-4760-4ccf-b417-0ca023da1886', 'af4c0fcd-7078-4cb2-a2f3-d2f0b93eec5e']",12,,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:19:12.158,Carry,True
,,,,,,"[22.3, 14.2]",,,,,,,,,,,1.5751180000000167,,,,,,,,,,,,,,8e9305b9-6c2d-5579-99cf-15d3624946d4,1668,,,"[33.3, 18.0]",4070726,64,0.0127043575,0.0109848492,0.0017195083,0.0104266303,0.0124261901,-0.0019995598,-0.0037190681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ferenc Ujváry,565814.0,Left Back,152,Ujpest,1033,"['b663b6c5-0ba2-52a2-a734-eae583bdb0a3', 'b24dc251-e323-4a7a-b838-c34489b522c0']",18,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:19:18.287,Carry,
,,,,,,"[10.1, 33.2]",,,,,,,,,,,1.3818860000001731,,,,,,,,,,,,,,662d01dc-82f2-552b-877d-ab55dc50313b,1671,,,"[9.8, 31.9]",4070726,64,0.0136431223,0.0140807349,-0.0004376126,0.0068689249,0.0073637478,-0.0004948229,-5.72102e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Péter Szappanos,158733.0,Goalkeeper,152,Ujpest,1033,"['8dbd8b78-267b-4078-ad08-8eb16c069499', 'c31b1a1c-043a-49c7-be86-f3be99b8437f', '4bf80a59-1616-552c-9089-0e479fb42fe4']",21,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:19:21.415,Carry,True
,,,,,,"[78.3, 3.7]",,,,,,,,,,,0.5109560000000056,,,,,,,,,,,,,,0b1e2a98-1ea7-5897-8118-0128930a5ae6,1677,,,"[79.0, 7.2]",4070726,64,0.0089230658,0.0091432026,-0.0002201367,0.0173197966,0.0176368766,-0.0003170799,-9.69432e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Krisztofer Horváth,40039.0,Left Wing,153,Ujpest,1033,"['8139836c-f773-5f6a-9fff-295b492425dc', '8220ced0-f577-4ad7-b50e-09b3e2cc113e', '9d06c899-fefb-4c53-a9c0-678ae5c9e06f']",43,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:19:43.033,Carry,True
,,,,,,"[74.4, 1.9]",,,,,,,,,,,0.00016200000001117588,,,,,,,,,,,,,,bee633aa-1baa-5a26-80b9-803aff981dd3,1681,,,"[74.4, 1.9]",4070726,64,0.0102341259,0.0102341259,0.0,0.01602914,0.01602914,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Ferenc Ujváry,565814.0,Left Back,153,Ujpest,1033,"['378e3940-c59d-587d-b104-38722388dc9d', '1bad00c9-0cd7-4f14-b7e4-d13c6bf3746d']",44,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:19:44.357,Carry,
,,,,,,"[71.4, 10.4]",,,,,,,,,,,2.7999999932944775e-05,,,,,,,,,,,,,,fb1c6872-5c0d-5f53-858f-960399c487cd,1684,,,"[71.4, 10.4]",4070726,64,0.009320776,0.009320776,0.0,0.0187991634,0.0187991634,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Arne Maier,12411.0,Right Defensive Midfield,153,Ujpest,1033,"['bc71f592-7f01-4b19-97ef-cb18afeafb08', 'b547e54f-c8a3-5128-a31d-e1352935ca24']",44,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:19:44.990,Carry,
