50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.7789320000000007,,,,,,,,,,,,,,,922e38f2-a897-4647-b7b0-541e26439a31,21,,"[75.3, 34.1]",4003614,0,0.0087697813,0.0095834201,-0.0008136388,0.0270835906,0.0240008757,0.003082715,0.0038963538,,,,-0.826622,,,Right Foot,,,"[84.8, 23.8]",,Ground Pass,,14.07,,,,56.0,Attacking third - Center - To left - Short - Ground Pass,0.7039876662,0.8878121972,Krisztofer Horváth,40039.0,,,,,,,1,From Kick Off,Arijan Ademi,18879.0,Left Defensive Midfield,2,Ujpest,1033,"['76e2b855-a14a-5dc9-aa7f-f36c08db9da9', 'e8b2241d-e2c3-5d3d-96bb-017267a99b85']",8,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:08.039,Pass,
,,,,,,,,,,,,,,,,,1.8785509999999996,,,,,,,,,,,,,,,fb4c3f4c-039e-40be-88fd-089eb31bf2f2,24,,"[84.2, 23.8]",4003614,0,0.0094252471,0.0087697813,0.0006554658,0.0295625143,0.0268353559,0.0027271584,0.0020716926,,,,-0.697464,,,Right Foot,,,"[95.0, 14.8]",,Ground Pass,,14.09,,,,15.0,Attacking third - Left - Forwards - Short - Ground Pass,0.9775643755,0.9048976898,Matija Ljujić,10837.0,,,,,,,1,From Kick Off,Krisztofer Horváth,40039.0,Left Midfield,2,Ujpest,1033,"['ab4d4539-875c-5111-874f-141ff0caf270', '145bbc66-4f1d-5dec-92fa-896c02496f2b']",9,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:09.218,Pass,
,,,,,,,,,,,,,,,,,1.535951000000001,,,,,,,,,,,,,,,0c12fdef-38bf-46ed-97c3-e257683ec9c1,28,,"[103.3, 8.3]",4003614,0,0.0074415756,0.0087241912,-0.0012826156,0.0091488296,0.0307631437,-0.0216143141,-0.0203316985,,,,1.309069,,,Left Foot,True,,"[109.7, 32.1]",,High Pass,,24.62,,Pass Offside,,35.0,Attacking third - Left - To right - Short - High Pass,0.958472952,0.2512669563,Iuri José Picanço Medeiros,7138.0,,,,,,,1,From Kick Off,Matija Ljujić,10837.0,Right Defensive Midfield,2,Ujpest,1033,"['63bbe38d-a205-5b9a-99af-8c2874e64117', '1214ba0d-47f9-506a-9e70-e57db12e09f4']",12,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:12.292,Pass,
,,,,,,,,,,,,,,,,,1.2012050000000014,,,,,,,,,,,,,,,6aa6b100-10af-4bb3-a07b-5f679da15c4e,30,,"[12.3, 44.0]",4003614,0,0.0119758826,0.0091488296,0.002827053,0.0121227391,0.0074415756,0.0046811635,0.0018541105,True,,,-2.498092,,,Right Foot,,,"[6.3, 39.5]",,Ground Pass,,7.5,,,,,,,0.9989479184,Ádám Varga,404991.0,,,,,Free Kick,,1,From Free Kick,Ádám Lang,3153.0,Right Center Back,3,Debrecen,2206,['f08485b4-1cdb-514d-9dfc-7700e7f6bad2'],35,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:35.590,Pass,
,,,,,,,,,,,,,,,,,2.072565999999999,,,,,,,,,,,,,,,5134f682-ad4a-4e0f-aad7-afda2727a923,32,,"[20.8, 39.8]",4003614,0,0.0104774479,0.0119758826,-0.0014984347,0.0147707863,0.0121227391,0.0026480472,0.0041464819,True,,,-1.159886,,,Right Foot,,,"[26.9, 25.8]",,Ground Pass,,15.27,,,,21.0,Defensive third - Center - To left - Short - Ground Pass,0.9970267715,0.9915952086,Josua Antonio Mejías García,25035.0,,,,,,,1,From Free Kick,Ádám Varga,404991.0,Goalkeeper,3,Debrecen,2206,['a59d8cf6-f6ee-5ce8-8868-8d7a355593b6'],44,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:44.802,Pass,
,,,,,,,,,,,,,,,,,2.338981999999996,,,,,,,,,,,,,,,5ff2e4d1-ea42-452c-8db6-0a64300221a8,34,,"[38.8, 26.3]",4003614,0,0.0112811681,0.0104774479,0.0008037202,0.0120962309,0.0147707863,-0.0026745554,-0.0034782756,,,,1.492525,,,Left Foot,,,"[41.6, 62.0]",,Ground Pass,,35.81,,,,29.0,Midfield third - Left - To right - Long - Ground Pass,0.5782880177,0.9943832159,Ádám Lang,3153.0,,,,,,,1,From Free Kick,Josua Antonio Mejías García,25035.0,Left Center Back,3,Debrecen,2206,['61dfa623-84b8-587b-bc45-2b173d7244d1'],53,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:53.460,Pass,
,,,,,,,,,,,,,,,,,2.962748999999996,,,,,,,,,,,,,,,cc682de2-02ff-4a0b-b476-d20d4bb9a6b9,38,,"[49.3, 63.7]",4003614,0,0.0082941549,0.0103244493,-0.0020302944,0.0301539022,0.0146375597,0.0155163426,0.017546637,,,,0.130528,,,Right Foot,,,"[101.1, 70.5]",,Ground Pass,,52.24,,,,9.0,Midfield third - Right - Forwards - Long - High Pass,0.999149938,0.6559174061,Márk Szécsi,404329.0,,,,,,,1,From Free Kick,Ádám Lang,3153.0,Right Center Back,3,Debrecen,2206,"['67be3f22-b657-50aa-9f0b-569965326d5f', '55f73a16-9e20-5003-99b5-17ac2a6553fe']",57,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:57.665,Pass,
,,,,,,,,,,,,,,,,,1.7550660000000062,,,,,,,,,,,,,,,04fdbfe1-103f-48c8-b93f-3ee1080f9660,41,,"[101.1, 70.5]",4003614,1,0.0086407093,0.0082941549,0.0003465544,0.0292486139,0.0301539022,-0.0009052884,-0.0012518428,,,,-2.099827,,,Right Foot,,,"[97.3, 64.0]",,Ground Pass,,7.53,,,,31.0,Attacking third - Right - To left - Short - Ground Pass,0.7329901813,0.8610678315,Dominik Kocsis,411567.0,,,,,,,1,From Free Kick,Márk Szécsi,404329.0,Right Back,3,Debrecen,2206,"['bd0d823a-e963-5f04-b192-ad421dfc30b6', '1c23ff36-66e5-502e-a441-60c9f5f6fe8e']",0,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:01:00.628,Pass,
,,,,,,,,,,,,,,,,,0.8611789999999965,,,,,,,,,,,,,,,73573aa2-5043-4cdb-8bc9-6b5e9ef811d1,45,,"[101.8, 65.7]",4003614,1,0.0081668599,0.0083420165,-0.0001751566,0.0380086005,0.0343295895,0.003679011,0.0038541676,,,,0.610726,,,Left Foot,,,"[106.8, 69.2]",,Ground Pass,,6.1,,,,43.0,Attacking third - Right - Forwards - Short - Ground Pass,0.9937932567,0.912402153,Márk Szécsi,404329.0,,,,,,,1,From Free Kick,Dominik Kocsis,411567.0,Right Wing,3,Debrecen,2206,"['6222c563-7fb7-547b-9166-5bf38d14ecbb', 'f7554a85-7ce7-520b-a420-701fde07166f']",3,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:01:03.500,Pass,
,,,,,,,,,,,,,,,,,1.1247030000000011,,,,,,,,,,,,,,,98bdf1c9-c3ad-4e01-933f-6b6d1307114f,47,,"[106.8, 69.2]",4003614,1,0.0098664537,0.0081668599,0.0016995938,0.0311668087,0.0380086005,-0.0068417918,-0.0085413856,,,,-2.4381,,,Left Foot,,,"[92.3, 56.9]",,Ground Pass,,19.01,,,,31.0,Attacking third - Right - To left - Short - Ground Pass,0.5919537736,0.8884305954,Tamás Szűcs,315180.0,,,,,,,1,From Free Kick,Márk Szécsi,404329.0,Right Back,3,Debrecen,2206,['c17317c6-65ae-503d-8181-181828c01cf3'],4,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:01:04.361,Pass,
,,,,,,,,,,,,,,,,,2.994947999999997,,,,,,,,,,,,,,,3821ec40-1145-49de-a064-39843535c4c7,51,,"[92.3, 56.9]",4003614,1,0.0087595535,0.0098664537,-0.0011069002,0.0308784992,0.0311668087,-0.0002883095,0.0008185906,,,,0.724786,,,Left Foot,,,"[112.4, 74.7]",,Ground Pass,,26.85,,,,43.0,Attacking third - Right - Forwards - Short - Ground Pass,0.9325692204,0.7957599759,Márk Szécsi,404329.0,,,,,,,1,From Free Kick,Tamás Szűcs,315180.0,Left Defensive Midfield,3,Debrecen,2206,"['930369b7-208b-4ff6-b742-10a403bcb95c', 'a3525488-a6d9-5614-a7be-8e7e8749f239', '53cd100a-913e-5ad9-90d5-7952dbcd1caf']",5,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:01:05.486,Pass,True
,,,,,,,,,,,,,,,,,2.870243000000002,,,,,,,,,,,,,,,7e88eade-1945-4b32-ac14-bb2e7479696b,54,,"[112.4, 74.7]",4003614,1,0.0084834024,0.0087595535,-0.0002761511,0.0777507648,0.0308784992,0.0468722656,0.0471484168,,,,-1.606326,,,Right Foot,True,,"[110.9, 32.5]",,Low Pass,,42.23,,Incomplete,,40.0,Attacking third - Right - To left - Short - High Pass,0.9926965104,0.0934282094,,,,True,,,,0.0038363268,1,From Free Kick,Márk Szécsi,404329.0,Right Back,3,Debrecen,2206,"['a776d377-fbda-4b90-a324-ed8c59bbea94', 'd1c741e7-db5f-5f6c-8ad8-bd28d71bb8bc']",8,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:01:08.481,Pass,
,,,,,,,,,,,,,,,,,2.584028999999995,,,,,,,,,,,,,,,aae236f0-f6a7-464d-b2a8-9c738659e4e4,57,,"[113.3, 54.7]",4003614,1,0.0141764777,0.0069256099,0.0072508678,0.0116742561,0.01317399,-0.0014997339,-0.0087506017,,,,-1.416478,,,Right Foot,True,,"[116.1, 36.7]",,High Pass,,18.22,,Incomplete,,31.0,Attacking third - Right - To left - Short - Ground Pass,0.66401257,0.3111312389,,,,,,,Recovery,0.059962597,1,From Free Kick,Balázs Dzsudzsák,10810.0,Center Attacking Midfield,3,Debrecen,2206,['4453b171-9848-4bae-b9f5-6eee6a4f008f'],13,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:01:13.576,Pass,
,,,,,,,,,,,,,,,,,2.1294119999999968,,,,,,,,,,,,,,,8f302a18-67b4-4a91-b564-cb2cf2b177d3,59,,"[9.2, 45.9]",4003614,1,0.0118161831,0.0777507648,-0.0659345817,0.0112952348,0.0084834024,0.0028118324,0.068746414,True,,,-0.884354,,,Keeper Arm,,,"[12.3, 42.1]",,Ground Pass,,4.94,,,,21.0,Defensive third - Center - To left - Short - Ground Pass,0.998124016,0.9975347519,João Aniceto Grandela Nunes,7977.0,,,,,,,1,Regular Play,Riccardo Piscitelli,38335.0,Goalkeeper,4,Ujpest,1033,['10f806fd-b9f1-5d36-bbb9-0d438bb36af6'],25,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:25.913,Pass,
,,,,,,,,,,,,,,,,,1.687231999999989,,,,,,,,,,,,,,,e1ee6c0f-d8d5-4199-a0c0-5bcc528fbe7e,61,,"[15.0, 39.6]",4003614,1,0.0111965509,0.0118161831,-0.0006196322,0.0139668435,0.0112952348,0.0026716087,0.0032912409,True,,,-0.438019,,,Right Foot,,,"[30.3, 32.4]",,Ground Pass,,16.93,,,,21.0,Defensive third - Center - To left - Short - Ground Pass,0.9949020725,0.9866456389,André Lourenço Duarte,132838.0,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,4,Ujpest,1033,['fd414dbf-1395-571c-9d5c-371247f386d5'],31,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:31.288,Pass,
,,,,,,,,,,,,,,,,,1.0713929999999965,,,,,,,,,,,,,,,d6c19af9-ee2d-41d1-8762-a3cd2305aec4,63,,"[33.2, 31.4]",4003614,1,0.0106344651,0.0111965509,-0.0005620858,0.0147069842,0.0139668435,0.0007401407,0.0013022264,,,,1.342657,,,Right Foot,,,"[37.5, 49.9]",,Ground Pass,,19.01,,,,45.0,Midfield third - Center - To right - Short - Ground Pass,0.9562671069,0.9944556355,Matija Ljujić,10837.0,,,,,,,1,Regular Play,André Lourenço Duarte,132838.0,Left Center Back,4,Ujpest,1033,['23e4df1f-5f53-5ccd-98d9-de4bad9f1a2f'],35,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:35.340,Pass,
,,,,,,,,,,,,,,,,,1.408648000000001,,,,,,,,,,,,,,,2338c749-5250-437f-a756-8401b50feb55,66,,"[36.5, 52.3]",4003614,1,0.0111153284,0.0106609017,0.0004544267,0.0125713749,0.0135525838,-0.0009812089,-0.0014356356,,,,1.415867,,,Left Foot,,,"[39.3, 70.4]",,Ground Pass,,18.34,,,,1.0,Midfield third - Center - To right - Short - Ground Pass,0.5401708749,0.9864393473,Damian Rasak,12829.0,,,,,,,1,Regular Play,Matija Ljujić,10837.0,Right Defensive Midfield,4,Ujpest,1033,"['6a3de751-e7a9-5b83-ae0c-dbb57ccf8062', 'fa8052e8-b682-5ee7-a1ae-df15ac3dcfa2']",37,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:37.704,Pass,
,,,,,,,,,,,,,,,,,1.5215810000000056,,,,,,,,,,,,,,,79c33d5f-bf2a-4739-8548-a5f816cededb,69,,"[41.7, 70.6]",4003614,1,0.011466505,0.0106028039,0.0008637011,0.0122768078,0.0129452115,-0.0006684037,-0.0015321048,,,,-2.334082,,,Right Foot,,,"[27.3, 55.6]",,Ground Pass,,20.79,,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.8819178917,0.9947412014,João Aniceto Grandela Nunes,7977.0,,,,,,,1,Regular Play,Damian Rasak,12829.0,Right Back,4,Ujpest,1033,"['15f33a12-9fa4-5fef-a656-c5c497276184', 'a737854c-c54d-51f4-972f-72b040066046']",40,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:40.715,Pass,
,,,,,,,,,,,,,,,,,0.8906919999999955,,,,,,,,,,,,,,,0766515f-2b93-4760-bba4-bce527ad7067,72,,"[28.0, 55.6]",4003614,1,0.0106236385,0.011466505,-0.0008428665,0.0151750753,0.0124848671,0.0026902081,0.0035330746,,,,-0.610726,,,Right Foot,,,"[38.5, 48.3]",,Ground Pass,,12.82,,,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.6737975467,0.951641798,Iuri José Picanço Medeiros,7138.0,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,4,Ujpest,1033,"['6d830781-6494-5efc-902f-8e93858dda64', '069e8eef-f697-576c-8b23-03916afac12e']",42,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:42.753,Pass,
,,,,,,,,,,,,,,,,,1.1559790000000065,,,,,,,,,,,,,,,23217491-b78b-4b14-952d-39f0000d9c31,75,,"[38.5, 48.3]",4003614,1,0.0111821219,0.0106236385,0.0005584834,0.0132530006,0.0151750753,-0.0019220747,-0.0024805581,,,,2.691908,,,Left Foot,,,"[31.0, 51.9]",,Ground Pass,,8.33,,,,39.0,Defensive third - Right - Backwards - Short - Ground Pass,0.9938355136,0.9814173579,João Aniceto Grandela Nunes,7977.0,,,,,,,1,Regular Play,Iuri José Picanço Medeiros,7138.0,Right Center Forward,4,Ujpest,1033,"['02b30f17-6eec-5b25-8d0b-64d52016547c', 'c956f406-dc50-5912-aed8-7bc062c9a771']",43,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:43.644,Pass,
