50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ddb672fc-6b31-4ee1-937b-20703ec3e8da,1,,,,4003744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Debrecen,2206,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 389883, 'name': 'Patrik Demjén'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 484097, 'name': 'Gergő Tercza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 25035, 'name': 'Josua Antonio Mejías García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3153, 'name': 'Ádám Lang'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 26142, 'name': 'Adrián Guerrero Aguilar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 315180, 'name': 'Tamás Szűcs'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 404168, 'name': 'Bence Batik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 411567, 'name': 'Dominik Kocsis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10810, 'name': 'Balázs Dzsudzsák'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 123367, 'name': 'Đorđe Gordić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 404172, 'name': 'György Komáromi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Debrecen,2206,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,27052f1d-ee8d-4db3-a10c-af30e28ac3ca,2,,,,4003744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Debrecen,2206,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 404208, 'name': 'Dávid Banai'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 445486, 'name': 'Kristóf Sarkadi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 38}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 27815, 'name': 'Patrizio Stronati'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 94}, {'player': {'id': 404242, 'name': 'Bence Gergényi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 44}, {'player': {'id': 68861, 'name': 'Tom Lacoux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 318547, 'name': 'Noah Dávid Gabriel Fenyö'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 77}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 446356, 'name': 'Ábel György Krajcsovics'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 12411, 'name': 'Arne Maier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 130597, 'name': 'Fran Brodić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,83a99c12-b6cb-4c0a-a1af-2aea57b0ec33,3,,,,4003744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Debrecen,2206,['4531242e-da38-563b-99e4-4f3116707038'],0,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4531242e-da38-563b-99e4-4f3116707038,4,,,,4003744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Debrecen,2206,['83a99c12-b6cb-4c0a-a1af-2aea57b0ec33'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,814ee697-68a3-469e-aab2-5142ca552b8f,1251,,,,4003744,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Debrecen,2206,['87d42d0e-eb1a-5999-9dd0-62948e0b8ec9'],0,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,87d42d0e-eb1a-5999-9dd0-62948e0b8ec9,1252,,,,4003744,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Debrecen,2206,['814ee697-68a3-469e-aab2-5142ca552b8f'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.2587010000000003,,,,,,,,,,,,,,,d9bc37c6-9ec9-4c80-9ccd-166d150399ee,5,,,"[60.0, 40.0]",4003744,0,0.0092353551,0.0085812286,0.0006541265,0.0191908106,0.0074392939,0.0117515167,0.0110973902,,,,3.014173,,,Right Foot,,"[57.2, 40.4]",,Ground Pass,,2.83,,,,,,,0.9984884262,Arne Maier,12411.0,,,,,Kick Off,,1,From Kick Off,Fran Brodić,130597.0,Left Center Forward,2,Ujpest,1033,['80dea2ad-cf7d-5996-8cf3-75f7b7c8e052'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.314,Pass,
,,,,,,,,,,,,,,,,,3.2461729999999998,,,,,,,,,,,,,,,2e6674a1-799d-47b6-8e55-8f9bd179f02d,8,,,"[57.2, 40.4]",4003744,0,0.004069237,0.0092353551,-0.005166118,0.0101486603,0.0191908106,-0.0090421503,-0.0038760323,,True,,-0.71585,,,Right Foot,,"[103.7, 0.0]",,High Pass,,61.56,,Out,,25.0,Midfield third - Right - To left - Long - High Pass,0.8688079977,0.419254899,,,,True,,,,,1,From Kick Off,Arne Maier,12411.0,Right Center Forward,2,Ujpest,1033,['e5e508a3-cf92-548a-bcbd-a84ad264c6b5'],1,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:01.573,Pass,
,,,,,,,,,,,,,,,,,2.4090819999999984,,,,,,,,,,,,,,,6a6071e4-5b6f-43d1-9ed3-44a9990f5539,9,,,"[13.1, 80.0]",4003744,0,0.0124757048,0.0101486603,0.0023270445,0.0091958223,0.004069237,0.0051265853,0.0027995408,,,,-0.593113,,,,,"[40.1, 61.8]",,Low Pass,,32.56,,Incomplete,,,,,0.7401144505,Đorđe Gordić,123367.0,,,,,Throw-in,,1,From Throw In,Gergő Tercza,484097.0,Right Back,3,Debrecen,2206,"['d81aff35-5b0b-486d-adf1-f6696ac29ab1', '2ce52bc5-a13d-57c8-9c03-c71b1d385169']",17,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:17.743,Pass,
,,,,,,,,,,,,,,,,,2.2191189999999987,,,,,,,,,,,,,,,d81aff35-5b0b-486d-adf1-f6696ac29ab1,12,,,"[80.0, 18.3]",4003744,0,0.0093585066,0.004069237,0.0052892696,0.0189812239,0.0101486603,0.0088325636,0.003543294,,,,-2.722152,,,Head,,"[70.9, 14.2]",,Low Pass,,10.02,,,,27.0,Midfield third - Left - To left - Short - Ground Pass,0.9825383405,0.7950792909,Bence Gergényi,404242.0,,,,,Recovery,,1,Regular Play,Tom Lacoux,68861.0,Right Defensive Midfield,4,Ujpest,1033,"['6a6071e4-5b6f-43d1-9ed3-44a9990f5539', '7fec9f2b-1f94-5042-a59e-947af54f79d9']",20,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:20.152,Pass,
