50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.1999979999999633,,,,,,,,,,,,,,4de7905d-2042-4546-b534-0194f129fba7,1614,,"[41.4, 13.5]",4070730,49,0.0109387357,0.0098955594,0.0010431763,0.0116029596,0.0116789378,-7.59782e-05,-0.0011191545,,,,-1.85459,,,Right Foot,,,"[39.3, 6.3]",,Ground Pass,,7.5,,,,,0.9979148507,Ferenc Ujváry,565814.0,,,,,Free Kick,,2,From Free Kick,Matija Ljujić,10837.0,Left Defensive Midfield,137,Ujpest,1033,['f8f5b5a4-b0f5-5f53-a710-f4a33cfc36db'],34,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:34.734,Pass,
,,,,,,,,,,,,,,,,0.7999990000000107,,,,,,,,,,,,,,ce37be81-f93b-4971-b5f4-fed92e4f66bb,1617,,"[39.3, 6.3]",4070730,49,0.0125478143,0.0109387357,0.0016090786,0.0108891716,0.0116029596,-0.000713788,-0.0023228666,,,,1.678075,,,Right Foot,,,"[38.6, 12.8]",,Ground Pass,,6.54,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9979612889,0.9754635692,Matija Ljujić,10837.0,,,,,,,2,From Free Kick,Ferenc Ujváry,565814.0,Left Back,137,Ujpest,1033,"['5b24ed96-7e3c-5462-86d7-0e37bdefda46', '22c94ad4-9312-5d2d-82d3-55736d92e0ce']",36,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:36.734,Pass,
,,,,,,,,,,,,,,,,0.8400040000000154,,,,,,,,,,,,,,94e4caef-5763-4f22-b3a3-b9e3c34ed9db,1621,,"[57.4, 13.6]",4070730,49,0.0092130685,0.0095396452,-0.0003265766,0.0156315751,0.0162674151,-0.00063584,-0.0003092634,,,,-0.54042,,,Left Foot,,,"[64.9, 9.1]",,Ground Pass,,8.75,,19.0,Midfield third - Left - Forwards - Short - Ground Pass,0.829399068,0.9548789859,Krisztofer Horváth,40039.0,,,,,,,2,From Free Kick,Matija Ljujić,10837.0,Left Defensive Midfield,137,Ujpest,1033,"['7659f52f-e494-5ec4-8709-20f38066bb87', '379f7e41-2681-5443-8fba-693d92e0b5c7']",41,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:41.534,Pass,
,,,,,,,,,,,,,,,,1.6800009999999892,,,,,,,,,,,,,,8af5e0e7-da14-40b9-94a2-7d2636a69bcb,1627,,"[57.3, 0.1]",4070730,49,0.0091846939,0.0099239536,-0.0007392596,0.0203117039,0.0101812705,0.0101304334,0.010869693,,,,0.460102,,,,,,"[79.9, 11.3]",,High Pass,,25.22,,,,,0.4581430852,Etienne Amenyido,28574.0,,,,,Throw-in,,2,From Throw In,Ferenc Ujváry,565814.0,Left Back,138,Ujpest,1033,"['5c450d82-3c6e-5122-91fc-8056d30e7523', '5ff33216-567a-52cd-9101-cafcde2341bc']",51,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:51.054,Pass,
,,,,,,,,,,,,,,,,2.2079560000000056,,,,,,,,,,,,,,e10dc2b7-483f-4520-9fca-05a0ed79315f,1633,,"[56.0, 80.0]",4070730,50,0.0079701832,0.0086797103,-0.0007095272,0.0135695441,0.009631292,0.0039382521,0.0046477793,,,,-0.101768,,,,,,"[89.0, 76.6]",,High Pass,,33.17,Incomplete,,,,0.4349552691,,,,,,,Throw-in,,2,From Throw In,Maxim Osztrovka,431973.0,Right Back,139,Kisvárda,2484,['f0662a8f-2950-48a6-aeea-dbbd5659062b'],13,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:05:13.710,Pass,
,,,,,,,,,,,,,,,,1.1999990000000107,,,,,,,,,,,,,,8b40c6b0-fc88-4508-b3da-c670f7d37fae,1637,,"[84.3, 80.0]",4070730,50,0.0088893138,0.0079701832,0.0009191306,0.0195807926,0.0135695441,0.0060112486,0.0050921179,,,,-1.463007,,,,,,"[85.2, 72.0]",,Low Pass,,8.09,,,,,0.9921835065,Bohdan Melnyk,406296.0,,,,,Throw-in,,2,From Throw In,Maxim Osztrovka,431973.0,Right Back,140,Kisvárda,2484,['508d8e68-2254-5d07-ac4e-f06bb15fdb68'],30,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:05:30.284,Pass,
,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,a5c59362-0bca-4448-9092-0791a4d3fd70,1641,,"[86.3, 77.1]",4070730,50,0.0087239277,0.0087239277,0.0,0.0208030231,0.0208030231,0.0,0.0,,,,0.218669,,,Right Foot,,,"[90.2, 78.0]",,Ground Pass,,3.96,Incomplete,43.0,Attacking third - Right - Forwards - Short - Ground Pass,0.8772893819,0.7382288575,,,,,,,,,2,From Throw In,Bohdan Melnyk,406296.0,Right Center Midfield,140,Kisvárda,2484,"['8c7fc366-93a7-4494-8a79-35d7e6243f16', '56445918-3f24-5019-9a33-4a861872b8e2', 'e1ec0b7f-8128-45d1-ac99-295af91669e4']",34,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:05:34.084,Pass,True
,,,,,,,,,,,,,,,,2.092451000000001,,,,,,,,,,,,,,5eca14de-c214-461c-ab25-eaf3631fee58,1653,,"[22.9, 14.3]",4070730,50,0.0154123912,0.0126814591,0.0027309321,0.0102718342,0.0105561903,-0.0002843561,-0.0030152882,,,,-0.135997,,,Right Foot,,,"[60.9, 9.1]",,High Pass,,38.35,Incomplete,28.0,Defensive third - Left - Forwards - Long - High Pass,0.9999089494,0.2258450091,,,,,,,Recovery,,2,From Throw In,Ferenc Ujváry,565814.0,Left Back,140,Kisvárda,2484,['76d050fe-ba42-498a-8037-efeb134a2b21'],39,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:05:39.757,Pass,
,,,,,,,,,,,,,,,,2.0648979999999866,,,,,,,,,,,,,,7601cfff-1952-413a-80e9-ff65915a2c36,1656,,"[41.7, 52.3]",4070730,50,0.0147434436,0.0103061311,0.0044373125,0.0104872156,0.0146247651,-0.0041375495,-0.008574862,,,,-2.46209,,,Right Foot,,,"[23.3, 37.5]",,Ground Pass,,23.62,,5.0,Defensive third - Right - Backwards - Short - Ground Pass,0.8715771259,0.9947638512,Ilya Popovych,484629.0,,,,,,,2,From Throw In,Nikola Radmanovac,44460.0,Right Center Back,140,Kisvárda,2484,"['cfdeaf1f-a2b9-5ad4-b890-5897ea658c0b', 'ee075a23-fc04-5673-9b15-4ed5e36c66b8']",46,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:05:46.249,Pass,
,,,,,,,,,,,,,,,,6.121163,,,,,,,,,,,,,,abd692fc-dcbb-4e45-bf53-e5313ee04d22,1660,,"[24.7, 39.5]",4070730,50,0.0060024462,0.0122522637,-0.0062498176,0.0114216981,0.0121569475,-0.0007352494,0.0055145682,,True,,0.533124,,,Right Foot,,,"[93.3, 80.0]",,High Pass,,79.69,Out,54.0,Defensive third - Center - Forwards - Long - High Pass,0.9995534256,0.4027322233,,,,True,,,,,2,From Throw In,Ilya Popovych,484629.0,Goalkeeper,140,Kisvárda,2484,['d6c7d5a9-19c4-5c2c-ba99-cceb7e2cf115'],50,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:05:50.914,Pass,
,,,,,,,,,,,,,,,,1.3199980000000213,,,,,,,,,,,,,,2739b29e-e884-4b79-bcd6-b74b12e16c76,1661,,"[24.8, 0.1]",4070730,51,0.0166357625,0.0114216981,0.0052140644,0.0096486639,0.0060024462,0.0036462178,-0.0015678466,,,,0.243355,,,,,,"[53.8, 7.3]",,Low Pass,,29.88,Incomplete,,,,0.5591831803,Etienne Amenyido,28574.0,,,,,Throw-in,,2,From Throw In,Ferenc Ujváry,565814.0,Left Back,141,Ujpest,1033,"['897c4f76-12a8-5a1f-addb-f9ca78b55d5e', 'e782c1b5-8ee5-4f77-bee4-ed5eb9530f8b']",3,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:03.835,Pass,
,,,,,,,,,,,,,,,,0.7999990000000107,,,,,,,,,,,,,,e782c1b5-8ee5-4f77-bee4-ed5eb9530f8b,1663,,"[66.3, 72.8]",4070730,51,0.0091759153,0.0060024462,0.0031734691,0.0165751055,0.0114216981,0.0051534073,0.0019799382,,,,0.480224,,,Right Foot,,,"[73.0, 76.3]",,Ground Pass,,7.55,,17.0,Midfield third - Right - Forwards - Short - Ground Pass,0.9852358253,0.8316776752,Jasmin Mešanović,388945.0,,,,,Interception,,2,Regular Play,Hiang'a Mananga Mbock,33075.0,Center Defensive Midfield,142,Kisvárda,2484,"['f2ee5b44-cef8-5db5-8d32-2b64e3f67b04', '2739b29e-e884-4b79-bcd6-b74b12e16c76']",5,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:06:05.155,Pass,
,,,,,,,,,,,,,,,,0.7999989999999525,,,,,,,,,,,,,,a89648e3-4b0e-4872-9e4a-5e4b2fdbb126,1666,,"[73.0, 76.3]",4070730,51,0.0099419458,0.0091759153,0.0007660305,0.0146900387,0.0165751055,-0.0018850667,-0.0026510973,,,,3.09591,,,Left Foot,,,"[69.5, 76.5]",,Ground Pass,,3.5,,23.0,Midfield third - Right - Backwards - Short - Ground Pass,0.9951045006,0.9486005902,Hiang'a Mananga Mbock,33075.0,,,,,,,2,Regular Play,Jasmin Mešanović,388945.0,Right Midfield,142,Kisvárda,2484,"['1665f17f-c13e-5a60-bf70-74532cb5b47f', '802d4c3d-78f1-50cb-8f8d-10fb61632c93']",5,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:06:05.955,Pass,
,,,,,,,,,,,,,,,,1.0890650000000024,,,,,,,,,,,,,,956e4199-8796-4347-8070-af6c8e20ddb9,1672,,"[48.3, 0.1]",4070730,51,,0.0099090841,,,0.009240645,,,,,,0.220704,,,,,,"[63.9, 3.6]",,Low Pass,,15.99,Unknown,,,,,,,,,,,Throw-in,,2,From Throw In,Ferenc Ujváry,565814.0,Left Back,143,Ujpest,1033,,17,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:17.427,Pass,
