bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.9715420000000011,,,,,,,,,,,,af2844b9-90da-4c2e-9bdf-18e27f84207c,82,,"[40.4, 52.9]",4003700,1,0.0094400924,0.0103543978,-0.0009143054,0.0179445595,0.0146105206,0.0033340389,0.0042483443,,,,-0.669811,,,Right Foot,,,,"[55.3, 41.1]",Ground Pass,,19.01,,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.9507001735,0.9687005877,Matija Ljujić,10837.0,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,5,Ujpest,1033,"['cd48b2d1-6ca2-5eb1-85d0-a72c4194342a', '61d0cac9-5032-52a5-bff0-5380dd2ce8cc']",24,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:24.163,Pass,
,,,,,,,,,,,,,,,,2.483222999999998,,,,,,,,,,,,655b6274-4028-4709-9b51-afeb8489e4f1,85,,"[52.1, 44.7]",4003700,1,0.0064090816,0.009898793,-0.0034897113,0.0134582315,0.0167153832,-0.0032571517,0.0002325596,,,,0.234675,,,Right Foot,,,,"[95.6, 55.1]",High Pass,,44.73,Incomplete,,9.0,Midfield third - Right - Forwards - Long - High Pass,0.8450043618,0.2806275785,,,,,,,,1,Regular Play,Matija Ljujić,10837.0,Right Defensive Midfield,5,Ujpest,1033,"['121f4e5d-96a3-4a31-9e52-551df142bd72', '67963937-661f-5022-882c-7dae2ecd4017']",26,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:26.304,Pass,
,,,,,,,,,,,,,,,,1.7518760000000038,,,,,,,,,,,,121f4e5d-96a3-4a31-9e52-551df142bd72,86,,"[24.5, 25.0]",4003700,1,0.0115543911,0.0167153832,-0.005160992,0.0092415968,0.009898793,-0.0006571962,0.0045037959,,,,-1.025036,,,Head,,,,"[35.0, 7.7]",Low Pass,,20.23,,,50.0,Defensive third - Left - Forwards - Short - Ground Pass,0.7648325346,0.7375140786,Márió Zeke,404204.0,,,,Recovery,,1,Regular Play,Bálint Vécsei,29000.0,Left Center Back,6,Paksi FC,2160,"['82a34262-d7b3-5f1d-bdef-733617901b15', '655b6274-4028-4709-9b51-afeb8489e4f1']",28,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:01:28.787,Pass,
,,,,,,,,,,,,,,,,3.5779660000000004,,,,,,,,,,,,28027b58-19a1-4fa6-b7ef-fbbcf6bf39fe,90,,"[44.2, 10.7]",4003700,1,0.0152031491,0.0124357548,0.0027673943,0.0101914629,0.0118307853,-0.0016393224,-0.0044067167,,,,0.37819,,,Left Foot,,,,"[74.0, 22.5]",High Pass,,32.07,Incomplete,,28.0,Defensive third - Left - Forwards - Long - High Pass,0.5764977443,0.1859247386,,,,,,,,1,Regular Play,Márió Zeke,404204.0,Left Wing Back,6,Paksi FC,2160,"['b73bcb1e-a1bd-5bf5-9e4e-d9f610f29fda', '39424981-0353-4c7d-b056-292c10a86cbb', '195b1e01-4179-4fe2-aeab-906eb9746451']",30,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:01:30.929,Pass,True
,,,,,,,,,,,,,,,,1.079028999999995,,,,,,,,,,,,e393ca6e-0316-48d6-bfd5-256e82f2a1fa,93,,"[47.9, 53.2]",4003700,1,0.0096101686,0.0101397978,-0.0005296292,0.0176208336,0.0150507912,0.0025700424,0.0030996716,,,,0.275189,,,Right Foot,,,,"[56.4, 55.6]",Low Pass,,8.83,,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.9842076732,0.6996724606,Noah Dávid Gabriel Fenyö,318547.0,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,7,Ujpest,1033,"['23d5263c-7053-508a-b1d8-8e5830deb642', '82841748-7c74-5c4d-b916-d5ae2cbefc17']",34,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:34.924,Pass,
,,,,,,,,,,,,,,,,2.942785999999993,,,,,,,,,,,,deca2fb8-d04e-4b22-aac5-cf8ed8570d71,96,,"[56.9, 43.2]",4003700,1,0.0093843546,0.0098504983,-0.0004661437,0.0168950781,0.0185981933,-0.0017031152,-0.0012369715,,,,-1.378981,,,Left Foot,,,,"[63.6, 8.7]",Ground Pass,,35.14,,,0.0,Midfield third - Center - To left - Short - Ground Pass,0.5293837252,0.9840860367,Attila Fiola,11268.0,,,,,,1,Regular Play,Noah Dávid Gabriel Fenyö,318547.0,Left Defensive Midfield,7,Ujpest,1033,"['15e21c10-004a-5abb-b5e1-98756d69e419', '3e52ea95-b787-5b35-8bd2-3373ed136c7f']",38,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:38.886,Pass,
,,,,,,,,,,,,,,,,1.2695880000000033,,,,,,,,,,,,2ed320ec-928f-46c2-ba6b-193fd37bb808,99,,"[91.6, 12.7]",4003700,1,0.0078947926,0.0087042842,-0.0008094916,0.0273442827,0.0262314118,0.0011128709,0.0019223625,,,,-0.151882,,,Right Foot,,,,"[101.4, 11.2]",Ground Pass,,9.91,,,15.0,Attacking third - Left - Forwards - Short - Ground Pass,0.9952710029,0.8808940649,Gleofilo Sabrino Rudewald Vlijter,103341.0,,,,,,1,Regular Play,Attila Fiola,11268.0,Left Back,7,Ujpest,1033,"['a1f7ea60-7859-5a15-a890-f002c45195d7', 'f52292de-c459-52d2-9026-a45bbe413c1b']",46,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:46.233,Pass,
,,,,,,,,,,,,,,,,0.5081929999999993,,,,,,,,,,,,d6f1d7df-ce88-402c-bf06-9a7119120883,103,,"[105.8, 7.1]",4003700,1,0.0083907628,0.008293963,9.67998e-05,0.0175770484,0.0247526355,-0.0071755871,-0.0072723869,,,,1.703348,,,Right Foot,,,,"[105.4, 10.1]",Ground Pass,,3.03,Incomplete,,7.0,Attacking third - Left - To right - Short - Ground Pass,0.6658556914,0.6016007066,,,,,,,,1,Regular Play,Gleofilo Sabrino Rudewald Vlijter,103341.0,Left Midfield,7,Ujpest,1033,"['190ff898-86ff-42e5-93ba-94cb49e4f5aa', 'e487268f-569d-5bb7-b9c0-178f74f326b6', 'a176a209-3474-409e-97d3-7aeedcfe3dcf']",49,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:49.002,Pass,True
,,,,,,,,,,,,,,,,1.1461019999999988,,,,,,,,,,,,1de24bf4-7113-4b1d-85a0-136893351f80,105,,"[103.3, 0.1]",4003700,2,0.0077814711,0.0083907628,-0.0006092917,0.0295647588,0.0175770484,0.0119877104,0.0125970021,,,,2.138282,,,,,,,"[92.4, 17.2]",Low Pass,,20.28,,,,,,0.9376075864,Matija Ljujić,10837.0,,,,Throw-in,,1,From Throw In,Attila Fiola,11268.0,Left Back,8,Ujpest,1033,['ff2063a6-3543-5be0-8d60-7c00ef613558'],10,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:02:10.260,Pass,
,,,,,,,,,,,,,,,,1.2294169999999867,,,,,,,,,,,,1420e5c9-fa40-44ef-9667-b7ff26ff3bcd,107,,"[92.4, 17.2]",4003700,2,0.0085898377,0.0077814711,0.0008083666,0.02271167,0.0295647588,-0.0068530887,-0.0076614553,,,,-1.380808,,,Left Foot,,,,"[94.9, 4.2]",Low Pass,,13.24,,,15.0,Attacking third - Left - Forwards - Short - Ground Pass,0.5108293933,0.7666901946,Attila Fiola,11268.0,,,,,,1,From Throw In,Matija Ljujić,10837.0,Right Defensive Midfield,8,Ujpest,1033,['4ed5d5d3-59b2-54dc-a8f6-e1df9ced0f8d'],11,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:02:11.406,Pass,
