50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.3151780000000002,,,,,,,,,,,,,,b04fcba5-3f97-46f9-9234-8ae06da17313,1333,,,"[90.8, 79.2]",4003624,45,0.009212194,0.007935171,0.001277023,0.0252956599,0.0221754946,0.0031201653,0.0018431423,,,,-2.020338,,,Left Foot,,,"[78.4, 53.5]",,Ground Pass,,28.54,,,18.0,Midfield third - Right - To left - Short - Ground Pass,0.6126643676,0.9812182784,Aboubakar Keita,46002.0,,,,,,,2,Regular Play,Gábor Jurek,405025.0,Right Midfield,94,Diósgyőr,2212,"['356eb171-45c8-5928-b0f9-7a9554056b1e', '96baefed-166f-525d-a450-045ad3f51765']",58,,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:58.123,Pass,
,,,,,,,,,,,,,,,,,,1.3302300000000031,,,,,,,,,,,,,,b17e515a-5214-4a6e-8047-9ee000588107,1336,,,"[77.4, 51.5]",4003624,46,0.0092710871,0.0092992298,-2.81427e-05,0.0246797372,0.025120832,-0.0004410949,-0.0004129522,,,,-1.623129,,,Right Foot,,,"[76.3, 30.5]",,Ground Pass,,21.03,,,56.0,Attacking third - Center - To left - Short - Ground Pass,0.716398037,0.9833219051,Bence Zsolt Bárdos,404178.0,,,,,,,2,Regular Play,Aboubakar Keita,46002.0,Center Defensive Midfield,94,Diósgyőr,2212,"['a1f8c48f-cca2-5d5f-9729-e83a08a7e7b0', 'a6ab4f9b-1690-54d1-a7d1-15a982a27269']",1,,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:01:01.011,Pass,
,,,,,,,,,,,,,,,,,,1.9252880000000006,,,,,,,,,,,,,,e75c606c-2c4b-42eb-935a-42b77202997a,1339,,,"[78.3, 30.2]",4003624,46,0.0087199453,0.0090409499,-0.0003210045,0.0239635296,0.0254633613,-0.0014998317,-0.0011788271,,,,-0.928431,,,Left Foot,,,"[99.4, 2.0]",,Ground Pass,,35.22,,,0.0,Midfield third - Center - To left - Short - Ground Pass,0.8810688873,0.9560365677,Elton-Ofoi Acolatse,23735.0,,,,,,,2,Regular Play,Bence Zsolt Bárdos,404178.0,Left Center Back,94,Diósgyőr,2212,"['1d7e2857-2a4a-5901-bf43-d33418ff6972', '6a46c84b-21d7-5d18-9c44-292786debade']",3,,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:01:03.477,Pass,
,,,,,,,,,,,,,,,,,,1.8843070000000006,,,,,,,,,,,,,,07fcbb96-0145-4810-bcf0-3978af3789be,1342,,,"[102.1, 5.3]",4003624,46,,0.0087442147,,,0.0263015255,,,,,,1.172146,,,Right Foot,True,,"[116.8, 40.2]",,High Pass,,37.87,Incomplete,,35.0,Attacking third - Left - To right - Short - High Pass,0.9998620468,0.1786228269,,,,,,,,0.37371796,2,Regular Play,Elton-Ofoi Acolatse,23735.0,Left Midfield,94,Diósgyőr,2212,"['3bd3c419-6b9b-41b6-aa01-cb9eb34a555e', '3de5d556-a00e-5ec2-bc67-dc58dccae125']",7,,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:01:07.050,Pass,
,,,,,,,,,,,,,,,,,,3.53092300000001,,,,,,,,,,,,,,84ffa50d-236b-4ba7-ac8a-58c6a40ecf85,1346,,,"[8.7, 39.8]",4003624,48,,0.0106331101,,,0.0075714882,,,,,,-0.366639,,,Right Foot,,,"[71.3, 15.8]",,High Pass,,67.09,Unknown,,,,,,,,,,,,Free Kick,,2,From Free Kick,Dávid Banai,404208.0,Goalkeeper,95,Ujpest,1033,['237a3dff-d6f6-4334-ad1f-a77a0ed13743'],1,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:03:01.067,Pass,
,,,,,,,,,,,,,,,,,,1.0081780000000145,,,,,,,,,,,,,,0d46f328-5db5-4ce4-8c5c-1a4fe8345025,1349,,,"[72.5, 13.3]",4003624,48,0.0090834452,0.0086147655,0.0004686797,0.020341754,0.0182489585,0.0020927954,0.0016241157,,,,-0.753968,,,Left Foot,,,"[82.7, 3.8]",,Ground Pass,,13.95,,,,,,0.9912626743,Giorgi Beridze,28763.0,,,,,Free Kick,,2,From Free Kick,Iuri José Picanço Medeiros,7138.0,Center Midfield,96,Ujpest,1033,['4a9ca0aa-49f9-5d53-94a7-76aecb6b0e6c'],57,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:03:57.569,Pass,
,,,,,,,,,,,,,,,,,,0.9458859999999986,,,,,,,,,,,,,,708abfee-9758-49c0-8164-4c1e4a91913c,1352,,,"[85.2, 4.8]",4003624,48,0.0089981034,0.0084290998,0.0005690036,0.0254652314,0.0208405592,0.0046246722,0.0040556686,,,,1.66886,,,Right Foot,,,"[83.5, 22.1]",,Ground Pass,,17.36,,,49.0,Attacking third - Left - Backwards - Short - Ground Pass,0.9578139827,0.9383018613,Iuri José Picanço Medeiros,7138.0,,,,,,,2,From Free Kick,Giorgi Beridze,28763.0,Left Midfield,96,Ujpest,1033,"['c0995ea2-20da-569a-9fec-98fa590aa1cd', '0aaec2d2-3dda-5bd8-bcf8-a58fd13a6af1']",59,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:03:59.965,Pass,
,,,,,,,,,,,,,,,,,,0.6694440000000177,,,,,,,,,,,,,,5af57d06-5958-429a-a440-150b05c9deb5,1355,,,"[83.5, 22.1]",4003624,49,0.0089592133,0.0089981034,-3.88902e-05,0.0242194068,0.0254652314,-0.0012458246,-0.0012069345,,,,-1.204651,,,Left Foot,,,"[86.0, 15.6]",,Ground Pass,,6.98,,,15.0,Attacking third - Left - Forwards - Short - Ground Pass,0.6040822981,0.9652796984,Giorgi Beridze,28763.0,,,,,,,2,From Free Kick,Iuri José Picanço Medeiros,7138.0,Center Midfield,96,Ujpest,1033,"['32206e87-aa3d-597f-ae7d-21fdaf2de114', '7b2c6b34-bd98-5575-b007-3b9c7ddadb4c']",1,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:01.668,Pass,
,,,,,,,,,,,,,,,,,,1.4470149999999848,,,,,,,,,,,,,,9f27794b-786b-4240-91a9-69f79c3c510e,1358,,,"[96.0, 17.9]",4003624,49,0.0099459831,0.0085740108,0.0013719723,0.0150172021,0.0318251401,-0.016807938,-0.0181799103,,,,1.20657,,,Right Foot,True,,"[104.3, 39.8]",,Ground Pass,,23.38,Incomplete,,35.0,Attacking third - Left - To right - Short - High Pass,0.9481370394,0.6048449278,,,,,,,,0.00020767369,2,From Free Kick,Giorgi Beridze,28763.0,Left Midfield,96,Ujpest,1033,"['f3d91e00-8ad6-46c2-9e7e-f6e6c9231624', 'f92a5cdc-c5ce-5e99-9234-806be5b46c42']",4,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:04.177,Pass,
,,,,,,,,,,,,,,,,,,2.193896000000008,,,,,,,,,,,,,,419717b8-0507-4849-9e04-7dba94b36cee,1360,,,"[45.0, 39.9]",4003624,49,0.0120308092,0.0085812286,0.0034495806,0.0109898392,0.0157446004,-0.0047547612,-0.0082043419,,,,3.12847,,,Left Foot,,,"[18.3, 40.3]",,Ground Pass,,26.67,,,38.0,Midfield third - Left - Backwards - Long - Ground Pass,0.9147197425,0.9903084636,Dávid Banai,404208.0,,,,,Recovery,,2,From Free Kick,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,96,Ujpest,1033,['946b249c-ee0f-5c90-8d21-553a28d20b87'],10,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:10.407,Pass,
