50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.6432529999999987,,,,,,,,,,,,,,186661ca-f9b0-40f3-aea2-f104bd3a0173,12,,"[94.8, 76.9]",4070751,0,0.0060205362,0.0076391329,-0.0016185967,0.0108334562,0.0138900355,-0.0030565793,-0.0014379825,,True,,1.561119,,True,Right Foot,,,,"[94.8, 80.0]",,Low Pass,3.1,,Out,,55.0,Attacking third - Right - Backwards - Short - Ground Pass,0.9593870714,0.7623153329,,,,,,,,,1,From Kick Off,Aljoša Matko,101803.0,Right Wing,2,Ujpest,1033,,16,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:16.270,Pass,
,,,,,,,,,,,,,,,2.738841999999997,,,,,,,,,,,,,,0ba358d9-c80b-46b6-b6e3-0f64be34c417,13,,"[25.6, 0.1]",4070751,0,0.012409308,0.0108334562,0.0015758518,0.009272485,0.0060205362,0.0032519489,0.001676097,True,,,0.404892,,,,,,,"[43.8, 7.9]",,Low Pass,19.8,,,,,,,0.8302016854,Jozef Urblík,498765.0,,,,,Throw-in,,1,From Throw In,Áron Doktorics,565833.0,Left Back,3,Vasas,2211,['422921f9-7660-55bb-99ab-6d88bc511130'],29,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:00:29.744,Pass,
,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,a715ae89-ce89-41cd-a5e3-d126eb914418,16,,"[33.8, 8.6]",4070751,0,0.011012475,0.012409308,-0.001396833,0.0057519861,0.009272485,-0.003520499,-0.002123666,,,,0.165149,,,Right Foot,,,,"[34.4, 8.7]",,Ground Pass,0.61,,Incomplete,,50.0,Defensive third - Left - Forwards - Short - Ground Pass,0.9764803365,0.6472671628,,,,,,,,,1,From Throw In,Jozef Urblík,498765.0,Left Center Forward,3,Vasas,2211,"['7f265d95-e5ce-427c-8f8f-78b9a58db100', '16c2dd9d-fd0d-45f3-88c5-a9f633c45e03']",35,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:00:35.123,Pass,True
,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,2d931b8d-d5be-45d2-96dd-b9588b206d0a,18,,"[27.8, 0.1]",4070751,0,0.0103988685,0.011012475,-0.0006136065,0.0136726387,0.0057519861,0.0079206526,0.0085342592,True,,,0.785398,,,,,,,"[29.8, 2.1]",,Low Pass,2.83,,,,,,,0.9848687649,Jozef Urblík,498765.0,,,,,Throw-in,,1,From Throw In,Áron Doktorics,565833.0,Left Back,4,Vasas,2211,['ecba63f6-de52-55c6-a0c6-d9008c9ce902'],46,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:00:46.622,Pass,
,,,,,,,,,,,,,,,7.000366000000001,,,,,,,,,,,,,,0ecc3e83-319e-49b0-8a91-bffb4506ca4e,20,,"[41.4, 17.1]",4070751,0,0.0101733012,0.0103988685,-0.0002255673,0.0135633489,0.0136726387,-0.0001092898,0.0001162775,True,,,1.453307,,,Right Foot,,,,"[48.6, 78.1]",,High Pass,61.42,,,,29.0,Midfield third - Left - To right - Long - Ground Pass,0.9777172519,0.8697065711,Viktor Gey,404291.0,,,True,,,,1,From Throw In,Jozef Urblík,498765.0,Left Center Forward,4,Vasas,2211,['fdc3167a-1837-5d86-bf3f-dcfc0bd8ba25'],46,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:00:46.905,Pass,
,,,,,,,,,,,,,,,1.2491390000000029,,,,,,,,,,,,,,4aa7fd06-7300-48ab-8f69-1f1fb30a668d,22,,"[48.6, 78.1]",4070751,0,0.009662224,0.0101733012,-0.0005110772,0.0176409427,0.0135633489,0.0040775938,0.004588671,,,,-0.474653,,,Right Foot,,,,"[73.9, 65.1]",,Ground Pass,28.44,,,,20.0,Midfield third - Right - Forwards - Short - High Pass,0.6334853454,0.6461052299,Márk Koszta,311946.0,,,,,,,1,From Throw In,Viktor Gey,404291.0,Right Back,4,Vasas,2211,['2a37cd96-8970-540b-b9be-fe547fe6494e'],55,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:00:55.313,Pass,
,,,,,,,,,,,,,,,1.684923999999999,,,,,,,,,,,,,,a6fdeeb9-a33f-46d4-877e-36aede1b442b,28,,"[37.3, 9.5]",4070751,0,0.0116914948,0.0103949336,0.0012965612,0.0131601235,0.0113504715,0.001809652,0.0005130908,,,,2.008337,,,Right Foot,,,,"[29.2, 26.9]",,Ground Pass,19.19,,,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.8556415942,0.9703354239,Heitor Marinho dos Santos,92794.0,,,,,Recovery,,1,Regular Play,Attila Fiola,11268.0,Left Back,5,Ujpest,1033,['9119312c-6e42-5335-ba37-f7514c5a2fbf'],58,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:58.174,Pass,
,,,,,,,,,,,,,,,0.8948819999999977,,,,,,,,,,,,,,04ee8769-0f4f-459c-9b8d-a6710f734513,31,,"[28.5, 26.7]",4070751,1,0.0103612989,0.0117002577,-0.0013389587,0.0147467544,0.0128603326,0.0018864218,0.0032253806,,,,0.442263,,,Right Foot,,,,"[44.0, 34.0]",,Ground Pass,17.15,,,,48.0,Defensive third - Center - Forwards - Short - Ground Pass,0.9983664401,0.9758901,Arne Maier,12411.0,,,,,,,1,Regular Play,Heitor Marinho dos Santos,92794.0,Right Center Back,5,Ujpest,1033,"['5f6d857c-8143-5738-b4fd-95f0cac1dfd4', '66e2aeff-b008-5bbe-b217-7a04bce7199c']",1,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:01.034,Pass,
,,,,,,,,,,,,,,,1.257025999999998,,,,,,,,,,,,,,8ab922b9-cf82-4ea5-926f-3fbb1421ea77,34,,"[44.0, 34.0]",4070751,1,0.0114081064,0.0103612989,0.0010468075,0.0130240079,0.0147467544,-0.0017227465,-0.002769554,,,,-2.763387,,,Right Foot,,,,"[29.0, 28.0]",,Ground Pass,16.14,,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.978472807,0.9908890128,Heitor Marinho dos Santos,92794.0,,,,,,,1,Regular Play,Arne Maier,12411.0,Right Defensive Midfield,5,Ujpest,1033,"['fc835b61-b384-5578-95fa-93d7012524d1', '17ccdc40-70b1-5d1b-a4e3-01ba7427a3e0']",1,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:01.929,Pass,
,,,,,,,,,,,,,,,1.5675679999999994,,,,,,,,,,,,,,a3abf565-d0cf-4e12-8124-20f63ae60fc9,37,,"[29.0, 28.0]",4070751,1,0.0118835252,0.0114081064,0.0004754188,0.0114312153,0.0130240079,-0.0015927926,-0.0020682113,,,,-1.514103,,,Right Foot,,,,"[30.0, 10.4]",,Ground Pass,17.65,,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.7218509738,0.968710959,Patrizio Stronati,27815.0,,,,,,,1,Regular Play,Heitor Marinho dos Santos,92794.0,Right Center Back,5,Ujpest,1033,"['dddffd5f-c65e-5934-8b5a-ed4272219f9a', 'deda8043-0d1f-5839-b9bc-9396f808766e']",3,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:03.792,Pass,
