50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.842,,,,,,,,,,,,6094a067-5cce-5425-9ccc-a141f900a11d,1831,,,"[33.4, 22.2]",4003561,58,0.01158085,0.0130366404,-0.0014557904,0.0087946169,0.0113180382,-0.0025234213,-0.0010676309,,,,-1.625686,,Right Foot,,,"[32.4, 4.0]",,Ground Pass,,18.23,,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.8557880936,0.9481898546,Daniel Štefulj,29986.0,,,,,,,,2,Regular Play,Márk Csinger,85510.0,Right Center Back,147,Győri ETO,2774,"['b3f0ee96-da11-5422-9937-45c363e728f3', '9ed81966-31db-5f12-a7fa-1583d8e34625', '7c206eeb-441c-52cd-ae32-8f11ceb2b804']",29,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:29.870,Pass,True
,,,,,,,,,,,,,,,,,,0.723,,,,,,,,,,,,1abb7396-cb45-57e0-8af6-63dcd1f4a201,1835,,,"[32.4, 2.5]",4003561,58,0.0112082455,0.0116959475,-0.000487702,0.0099925241,0.0085131945,0.0014793295,0.0019670315,,,,-0.144289,,Left Foot,,,"[44.1, 0.8]",,Ground Pass,,11.82,,,,19.0,Midfield third - Left - Forwards - Short - Ground Pass,0.5455108166,0.6723101735,Claudiu Vasile Bumba,300706.0,,,,,,,,2,Regular Play,Daniel Štefulj,29986.0,Left Back,147,Győri ETO,2774,"['7112b4a9-1772-5e75-bfe6-d05c4d48d4e3', 'ea251696-66fe-5715-8d67-1bc15fe3fb01', '8cbbff4e-2d8f-58b8-9944-9b8d2ac00f77']",31,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:31.716,Pass,True
,,,,,,,,,,,,,,,,,,0.591,,,,,,,,,,,,07fabae2-4f73-5511-9554-5af4c5b508ff,1839,,,"[44.8, 1.6]",4003561,58,0.0108628208,0.0113638192,-0.0005009985,0.0126339281,0.0101899579,0.0024439702,0.0029449686,,,,1.938519,,Right Foot,,,"[40.1, 13.8]",,Low Pass,,13.07,,,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9986206765,0.7569025755,Paul Viorel Anton,74155.0,,,,,,,,2,Regular Play,Claudiu Vasile Bumba,300706.0,Left Wing,147,Győri ETO,2774,"['64704fce-f890-55b8-ade5-e2059a3d6a28', '61773465-66ae-59a7-97ed-5cda62178a01', '0d13336d-9d00-57ec-895f-8ee9774f1f0c']",33,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:33.328,Pass,True
,,,,,,,,,,,,,,,,,,2.032,,,,,,,,,,,,a511e061-e625-5c35-95bb-8fbbb7c09976,1842,,,"[44.8, 15.1]",4003561,58,0.0115034692,0.0101769613,0.0013265079,0.0161870774,0.0148762362,0.0013108412,-1.56667e-05,,,,0.021273,,Right Foot,,,"[63.6, 15.5]",,Ground Pass,,18.8,,,,19.0,Midfield third - Left - Forwards - Short - Ground Pass,0.9625275101,0.9107698798,Claudiu Vasile Bumba,300706.0,,,,,,,,2,Regular Play,Paul Viorel Anton,74155.0,Left Defensive Midfield,147,Győri ETO,2774,"['d8e52583-1acd-501b-8741-e0b068f29d94', 'd9d319fb-df12-52ef-8592-bfa9143fa329']",34,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:34.142,Pass,
,,,,,,,,,,,,,,,,,,1.292,,,,,,,,,,,,03c5e796-7913-588f-8fbf-33278777f68d,1846,,,"[60.8, 16.2]",4003561,58,0.009719288,0.0094448067,0.0002744813,0.0181695428,0.0179737993,0.0001957435,-7.87377e-05,,,,1.936315,,Right Foot,,,"[54.6, 32.4]",,Ground Pass,,17.35,,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.3627268997,0.9890613556,Ádám Décsy,449365.0,,,,,,,,2,Regular Play,Claudiu Vasile Bumba,300706.0,Left Wing,147,Győri ETO,2774,"['e8533ef9-78ed-593f-bd81-6b93fc76c613', '21caab2d-f25b-5907-bf05-3d39e7266eed']",37,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:37.941,Pass,
,,,,,,,,,,,,,,,,,,1.748,,,,,,,,,,,,22e278d6-57c5-56e8-a730-dac7af1670f2,1849,,,"[60.4, 43.6]",4003561,58,0.0087944167,0.0089827329,-0.0001883162,0.0199476667,0.0185229536,0.0014247131,0.0016130293,,,,0.980578,,Right Foot,,,"[81.3, 74.8]",,Ground Pass,,37.55,,,,8.0,Midfield third - Center - To right - Short - Ground Pass,0.991514641,0.9579792023,Barnabás Bíró,452080.0,,,,,,,,2,Regular Play,Ádám Décsy,449365.0,Right Defensive Midfield,147,Győri ETO,2774,"['a95ffda9-1931-589f-9ab0-399cde311e13', '35441298-20c4-5519-9c9a-858398d714b7']",41,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:41.214,Pass,
,,,,,,,,,,,,,,,,,,0.725,,,,,,,,,,,,b858999b-b5fd-57f3-93bb-cfdfcf93df3a,1852,,,"[86.5, 75.4]",4003561,58,0.0095493328,0.0090015614,0.0005477713,0.023396546,0.0230075549,0.0003889911,-0.0001587803,,,,-1.785389,,Right Foot,,,"[83.1, 59.8]",,Ground Pass,,15.97,,,,3.0,Attacking third - Right - Backwards - Short - Ground Pass,0.9415937268,0.9584784508,Kevin Bánáti,438564.0,,,,,,,,2,Regular Play,Barnabás Bíró,452080.0,Right Back,147,Győri ETO,2774,"['6d124c0f-5c72-5089-bd86-acd2dbc79e47', '853281a9-5623-5dce-aabb-b9e17d3e2e0b']",44,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:44.939,Pass,
,,,,,,,,,,,,,,,,,,0.602,,,,,,,,,,,,eefe4c3d-3c3a-5ff1-9f2c-6c63c44fb21d,1856,,,"[87.1, 52.6]",4003561,58,0.0075327037,0.0090943491,-0.0015616454,0.0776266679,0.0313488692,0.0462777987,0.0478394441,,,,-0.484173,,Left Foot,,,"[100.6, 45.5]",,Ground Pass,,15.25,,,,56.0,Attacking third - Center - To left - Short - Ground Pass,0.9487945107,0.5506057143,Ádám Décsy,449365.0,,,,,,,,2,Regular Play,Kevin Bánáti,438564.0,Right Wing,147,Győri ETO,2774,"['efe4d791-2feb-5ff4-ae6c-a2512673af34', 'd3e7a115-2a8c-51e0-a0ed-137eedb4da71']",49,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:49.688,Pass,
,,,,,,,,,,,,,,,,,,1.063,,,,,,,,,,,,c0319363-f7c6-5021-83e5-c631765a1758,1860,,,"[99.7, 46.8]",4003561,58,0.0102168769,0.0083630197,0.0018538572,0.0125627303,0.066876106,-0.0543133756,-0.0561672328,,,,1.262438,,Right Foot,,,"[104.0, 60.3]",,Low Pass,,14.17,,Incomplete,,43.0,Attacking third - Right - Forwards - Short - Ground Pass,0.5011356136,0.5926939845,,,,,,,,,,2,Regular Play,Ádám Décsy,449365.0,Right Defensive Midfield,147,Győri ETO,2774,"['d0f4708e-8b1a-5169-b17d-55b8b3166624', '44e74d45-6211-51c8-9e07-0fbd71d1ca42']",50,,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:13:50.718,Pass,
,,,,,,,,,,,,,,,,,,2.302,,,,,,,,,,,,5f49b056-36e0-55fb-87c3-d87df8b9b258,1863,,,"[18.9, 27.3]",4003561,58,0.0102154361,0.0122586936,-0.0020432575,0.0154083911,0.0115147904,0.0038936008,0.0059368582,,,,0.761013,,Right Foot,,,"[44.1, 51.3]",,High Pass,,34.8,,,,44.0,Defensive third - Center - To right - Short - Ground Pass,0.5464308843,0.6245502234,Aljoša Matko,101803.0,,,,,,,,2,Regular Play,Giorgi Beridze,28763.0,Left Midfield,148,Ujpest,1033,"['fd3c1828-bf0e-5040-9aa7-d419d2a7d6a7', 'c526edb8-e7fc-5a0e-82ab-1f2ba94d0f37']",54,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:13:54.290,Pass,
