50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.1999980000000032,,,,,,,,,,,,,,0145a4ce-fcb1-4f58-8032-f0e72c069d0b,17,,"[11.6, 55.6]",4003682,0,0.0252846628,0.0126778362,0.0126068266,0.0090001915,0.0088591212,0.0001410702,-0.0124657564,,,0.079679,,,Right Foot,,,"[37.9, 57.7]",,Ground Pass,,26.38,,Incomplete,,44.0,Defensive third - Center - To right - Short - Ground Pass,0.3967290097,0.7949147224,,,,,,,Recovery,,1,Regular Play,Amos Youga,7389.0,Left Defensive Midfield,3,Debrecen,2206,['808f84e7-43b4-4599-b43a-f0b1d05c7e28'],14,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:14.760,Pass,
,,,,,,,,,,,,,,,,1.1999979999999997,,,,,,,,,,,,,,62f4e154-56ed-457c-ab3c-ac29d2db32dd,20,,"[83.8, 20.5]",4003682,0,0.0093966331,0.0086454246,0.0007512085,0.0212146938,0.0249629859,-0.0037482921,-0.0044995006,,,-2.166163,,,Left Foot,,,"[76.8, 10.2]",,Ground Pass,,12.43,,,,27.0,Midfield third - Left - To left - Short - Ground Pass,0.814016273,0.9717749357,Attila Fiola,11268.0,,,,,,,1,Regular Play,Noah Dávid Gabriel Fenyö,318547.0,Right Defensive Midfield,4,Ujpest,1033,"['4711e472-6559-5154-8a98-abaa0375ff79', '18b23c6c-25c0-5509-ace8-d76bf298cbaa']",16,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:16.760,Pass,
,,,,,,,,,,,,,,,,1.9999969999999991,,,,,,,,,,,,,,c3e93e3e-e1ac-49fb-8333-5b01207e135c,23,,"[71.3, 7.0]",4003682,0,0.0097129615,0.0094597582,0.0002532033,0.0172568262,0.0173704866,-0.0001136605,-0.0003668638,,,2.31768,,,Right Foot,,,"[55.8, 23.7]",,Ground Pass,,22.77,,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.6915654268,0.9878419042,Patrizio Stronati,27815.0,,,,,,,1,Regular Play,Attila Fiola,11268.0,Left Back,4,Ujpest,1033,"['7d981d90-63fc-5105-8c4b-7e7a77e26a2b', '2bf62b06-26a2-5705-9632-60b12d039101']",19,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:19.560,Pass,
,,,,,,,,,,,,,,,,1.9999979999999995,,,,,,,,,,,,,,c5060fef-51eb-4939-a6cb-cfcd398ac0b8,26,,"[54.7, 25.5]",4003682,0,0.0100542288,0.0093171932,0.0007370356,0.0163326953,0.0172169488,-0.0008842535,-0.0016212892,,,1.755576,,,Left Foot,,,"[50.3, 48.9]",,Ground Pass,,23.78,,,,45.0,Midfield third - Center - To right - Short - Ground Pass,0.75788137,0.9941754937,João Aniceto Grandela Nunes,7977.0,,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,4,Ujpest,1033,"['e708e57f-91dd-5841-8bd1-7c571430ccc1', 'b10c8bd6-2f45-5f4b-ba72-e37cd245cc7c']",22,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:22.360,Pass,
,,,,,,,,,,,,,,,,1.5999980000000031,,,,,,,,,,,,,,b0b53f59-57ae-4141-b150-6aa500ee2f5e,29,,"[52.0, 59.4]",4003682,0,0.0109446393,0.0101341568,0.0008104825,0.0156687368,0.0161754861,-0.0005067494,-0.0013172319,,,-1.762105,,,Right Foot,,,"[46.7, 31.9]",,Ground Pass,,28.03,,,,26.0,Midfield third - Center - To left - Short - Ground Pass,0.866966709,0.991666615,Patrizio Stronati,27815.0,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,4,Ujpest,1033,"['911c39f3-bfa6-5012-bda5-7c49d0b230c5', 'e89d6f17-f757-5f28-956f-82d00e55839f']",26,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:26.760,Pass,
,,,,,,,,,,,,,,,,1.5999989999999962,,,,,,,,,,,,,,43301b4e-3c10-404a-a455-34c700f7c110,32,,"[47.0, 31.4]",4003682,0,0.0106524453,0.010374181,0.0002782643,0.0129915439,0.0155815482,-0.0025900044,-0.0028682686,,,-1.555833,,,Right Foot,,,"[47.2, 20.0]",,Ground Pass,,11.36,,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.6368061467,0.9663468599,Attila Fiola,11268.0,,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,4,Ujpest,1033,"['4e8b5584-dc51-5bda-aacb-4b8a134d1035', '406ab5e3-9862-579e-877c-b95f1ac641b9']",28,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:28.760,Pass,
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0721ce28-5f81-48ee-9ef8-b957758b4e69,36,,"[50.0, 23.9]",4003682,0,0.0118547129,0.011427735,0.0004269779,0.0151246041,0.0148196071,0.000304997,-0.0001219809,,,1.58212,,,Right Foot,,,"[49.7, 53.0]",,Ground Pass,,29.14,,,,45.0,Midfield third - Center - To right - Short - Ground Pass,0.9663351026,0.9804465175,João Aniceto Grandela Nunes,7977.0,,,,,,,1,Regular Play,Attila Fiola,11268.0,Left Back,4,Ujpest,1033,"['72eae8a9-3e59-5757-a48f-c7ddf900927b', 'fe127112-da90-49d7-9673-736eea0a4c62', '821b3156-fc72-590b-a9c8-9f73da6a1a79']",32,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:32.360,Pass,True
,,,,,,,,,,,,,,,,1.8799979999999996,,,,,,,,,,,,,,99a35892-f49e-494f-a30e-18d1c492fe09,40,,"[50.2, 49.4]",4003682,0,0.0116097918,0.0110866586,0.0005231332,0.0132761169,0.0151699521,-0.0018938351,-0.0024169683,,,-2.209824,,,Right Foot,,,"[43.0, 39.7]",,Ground Pass,,12.07,,,,11.0,Midfield third - Center - To left - Short - Ground Pass,0.94239127,0.9765589237,Patrizio Stronati,27815.0,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,4,Ujpest,1033,"['395f7a29-c161-519b-ada1-a17aa7d51422', '3f8330d4-9c3b-57e6-bd6a-c133005d23cd', '39988f31-97dd-4e4a-bdd0-32e44f2f4eb1']",35,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:35.560,Pass,True
,,,,,,,,,,,,,,,,0.11999899999999616,,,,,,,,,,,,,,a01e9d16-3e82-4b36-af47-065171a91d10,44,,"[43.0, 39.7]",4003682,0,0.0088169584,0.0116097918,-0.0027928334,0.0101876874,0.0132761169,-0.0030884296,-0.0002955962,,,0.019997,,,Left Foot,,,"[43.5, 39.7]",,Ground Pass,,0.5,,Incomplete,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.5294194931,0.7296100259,,,,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,4,Ujpest,1033,"['b41ff81c-d983-47f7-9c84-b2db670e9db9', 'e57823d4-3038-5692-ba29-160339809f78', '260d43a1-c33a-4b5a-b374-2fb59746bbdf']",37,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:37.440,Pass,True
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,abfa50ed-fc9d-43e3-a5e8-1061c0757efa,46,,"[60.5, 80.0]",4003682,0,0.0092851659,0.0088169584,0.0004682075,0.0147817954,0.0101876874,0.0045941081,0.0041259006,,,-1.479887,,,,,,"[60.8, 76.4]",,Low Pass,,3.64,,,,,,,0.9914165139,João Aniceto Grandela Nunes,7977.0,,,,,Throw-in,,1,From Throw In,Gergő János Bodnár,247192.0,Right Back,5,Ujpest,1033,['8e4d5482-924d-5618-8fb4-c16d08d9c3b4'],44,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:44.599,Pass,
