50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.6183899999999994,,,,,,,,,,,,4af671b7-8e9f-4387-8a41-809be871481d,26,,"[111.8, 51.4]",4003726,0,0.008538153,0.0079756072,0.0005625458,0.0763785094,0.1269155443,-0.0505370349,-0.0510995807,,,,2.092631,17b87444-c4c1-4679-94f0-e5e529cd97d3,,Right Foot,,,"[109.5, 55.4]",,Ground Pass,,4.61,,,,55.0,Attacking third - Right - Backwards - Short - Ground Pass,0.9321466633,0.8467483521,Bálint Lajos Katona,404992.0,True,,,,,,1,From Kick Off,Marko Kvasina,8042.0,Right Center Forward,2,Nyíregyháza Spartacus,2215,"['dd40414d-5ac2-4ebb-868e-992f40c3b0d4', 'ceaa3c76-5bf6-59c9-9f86-cf58416aa263', '21ef1aa4-3504-5e83-a055-5d3c81024146']",21,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:21.634,Pass,True
,,,,,,,,,,,,,,,,,,,0.412173999999999,,,,,,,,,,,,7d39251b-8f72-4235-b209-aced44633bdf,43,,"[9.3, 41.7]",4003726,0,0.0159563068,0.012500355,0.0034559518,0.0052373977,0.0069969506,-0.0017595529,-0.0052155047,,,,-1.282543,,,Right Foot,,,"[10.8, 36.5]",,Low Pass,,5.38,,Incomplete,,21.0,Defensive third - Center - To left - Short - Ground Pass,0.9999192477,0.8387194872,,,,,,,,,1,Regular Play,Attila Fiola,11268.0,Right Center Back,3,Ujpest,1033,"['64c94785-dd31-4703-b868-117c5ebe0742', 'ed72c7d9-8972-4d2a-8c45-e0f621e6f3be', 'a185a343-780b-5673-8bbf-3bdbf759b761']",28,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:28.333,Pass,True
,,,,,,,,,,,,,,,,,,,0.7758369999999996,,,,,,,,,,,,e6d4d99d-87c4-4207-9f26-41eb07611a31,55,,"[2.5, 66.2]",4003726,0,0.013272739,0.0149634182,-0.0016906792,0.0074958056,0.0067905169,0.0007052887,0.002395968,,,,0.341921,,,Right Foot,,,"[7.7, 68.0]",,Ground Pass,,5.49,,,,58.0,Defensive third - Right - Forwards - Short - Ground Pass,0.9981229377,0.8564291596,Noah Dávid Gabriel Fenyö,318547.0,,,,,,,1,Regular Play,Gergő János Bodnár,247192.0,Right Back,3,Ujpest,1033,"['06780aa6-7e59-5047-9772-cbc3e8bab6b8', '8f2873fb-6751-578a-a4ea-ea1eec4b8d97']",39,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:39.007,Pass,
,,,,,,,,,,,,,,,,,,,1.5785670000000027,,,,,,,,,,,,2bbfbf43-5996-4ca1-8a45-7a0b78cd66ec,58,,"[7.7, 68.0]",4003726,0,0.010115399,0.013272739,-0.00315734,0.0055035553,0.0074958056,-0.0019922503,0.0011650897,,,,0.526764,,,Right Foot,,,"[11.5, 70.2]",,Ground Pass,,4.4,,Incomplete,,58.0,Defensive third - Right - Forwards - Short - Ground Pass,0.9993335212,0.8269146085,Ábel György Krajcsovics,446356.0,,,,,,,1,Regular Play,Noah Dávid Gabriel Fenyö,318547.0,Right Defensive Midfield,3,Ujpest,1033,"['372e1366-f228-52d3-bf48-77e3792dce7d', 'ba779fe8-25fa-5f11-9605-6c04c0056db1', '86a5016f-b627-448f-a478-4514b61dc8c4']",39,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:39.783,Pass,
,,,,,,,,,,,,,,,,,,,0.6971559999999954,,,,,,,,,,,,ba39c86c-849c-48d8-8879-435460a05fd3,63,,"[24.5, 80.0]",4003726,0,0.0123840645,0.010115399,0.0022686655,0.0112194689,0.0055035553,0.0057159136,0.0034472481,True,,,-1.707324,,,,,,"[22.2, 63.0]",,Low Pass,,17.12,,,,,,,0.9863771796,Attila Fiola,11268.0,,,,,Throw-in,,1,From Throw In,Gergő János Bodnár,247192.0,Right Back,4,Ujpest,1033,['844c7ee7-2f76-5086-a434-d0c814d56ea5'],56,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:56.006,Pass,
,,,,,,,,,,,,,,,,,,,1.1803060000000039,,,,,,,,,,,,1dc3206b-0f6f-42f2-963b-520ba895f98c,65,,"[22.2, 63.0]",4003726,0,0.012382525,0.0123840645,-1.5395e-06,0.0113247363,0.0112194689,0.0001052674,0.0001068069,True,,,-2.674143,,,Right Foot,,,"[18.0, 60.9]",,Ground Pass,,4.7,,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.9961256567,0.9744167924,Noah Dávid Gabriel Fenyö,318547.0,,,,,,,1,From Throw In,Attila Fiola,11268.0,Right Center Back,4,Ujpest,1033,['c524068e-eaa1-5615-aa55-1259acc1b5d3'],56,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:56.703,Pass,
,,,,,,,,,,,,,,,,,,,0.32555599999999685,,,,,,,,,,,,5cddd3ce-a126-49a2-b036-653e9a07e40a,67,,"[18.0, 60.9]",4003726,0,0.0330365971,0.012382525,0.0206540721,0.0084708808,0.0113247363,-0.0028538555,-0.0235079275,,,,2.71376,,,Right Foot,,,"[15.5, 62.0]",,Ground Pass,,2.75,,Incomplete,,39.0,Defensive third - Right - Backwards - Short - Ground Pass,0.9964233211,0.9612224102,,,,,,,,,1,From Throw In,Noah Dávid Gabriel Fenyö,318547.0,Right Defensive Midfield,4,Ujpest,1033,['f0c72b8b-0fa0-4b81-9102-5116cd14b134'],57,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:57.884,Pass,
,,,,,,,,,,,,,,,,,,,0.5906239999999962,,,,,,,,,,,,8c7ff774-4373-4f2a-ae39-650970f5478b,69,,"[106.4, 12.9]",4003726,0,0.0086655999,0.0084708808,0.0001947191,0.0400497951,0.0330365971,0.007013198,0.0068184789,,,,0.785398,,,Left Foot,,,"[111.1, 17.6]",,Ground Pass,,6.65,,,,7.0,Attacking third - Left - To right - Short - Ground Pass,0.9305636308,0.6904699802,Muhamed Tijani,40867.0,,,,,Recovery,,1,Regular Play,Nemanja Antonov,23894.0,Left Midfield,5,Nyíregyháza Spartacus,2215,['e6d67abe-f8a7-59c5-9378-1585551d60a6'],58,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:58.787,Pass,
,,,,,,,,,,,,,,,,,,,0.590375,,,,,,,,,,,,8fc72346-1b72-40f2-a274-d30d864b3368,73,,"[109.8, 19.1]",4003726,1,0.0090987505,0.0086402027,0.0004585478,0.0224797316,0.0449709482,-0.0224912167,-0.0229497645,,,,1.826345,,,Right Foot,True,,"[106.9, 30.2]",,Ground Pass,,11.47,,,,7.0,Attacking third - Left - To right - Short - Ground Pass,0.9971197909,0.6317207813,Bálint Lajos Katona,404992.0,,,,,,9.48711e-06,1,Regular Play,Muhamed Tijani,40867.0,Left Center Forward,5,Nyíregyháza Spartacus,2215,"['9135ecfb-d9f8-5d9e-8b49-38a57ac34fec', 'e1a2f472-d9cc-435c-b77c-549f5b02f4a3', 'cf495a82-204f-5fd7-a7c5-0c5778fa7b7e']",0,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:01:00.710,Pass,True
,,,,,,,,,,,,,,,,,,,4.57237000000001,,,,,,,,,,,,85c0561e-b9e7-4ecf-99b1-813e43c8c162,82,,"[79.1, 13.4]",4003726,1,0.004070072,0.0072711199,-0.0032010479,0.0115991542,0.0124011878,-0.0008020336,0.0023990143,,True,,-0.41978,,,Left Foot,,,"[108.9, 0.1]",,Ground Pass,,32.63,,Out,,13.0,Midfield third - Left - Forwards - Short - High Pass,0.9746314016,0.8598783016,,,,,,,Recovery,,1,Regular Play,Barna Benczenleitner,411566.0,Left Back,5,Nyíregyháza Spartacus,2215,,7,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:01:07.253,Pass,
