50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.027,,,,,,,,,,,,,,a648ea39-bb94-5de9-ad5b-ca242b7538b7,18,,"[39.3, 18.9]",4003569,0,0.0103529217,0.0121415583,-0.0017886367,0.0117538469,0.0119395284,-0.0001856815,0.0016029552,,,,-1.4666,,Right Foot,,,"[40.9, 3.6]",,Ground Pass,,15.38,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.6559729517,0.961150825,Tiago Lisboa Silva Gonçalves,418965.0,,,,,,,1,From Kick Off,André Lourenço Duarte,132838.0,Left Center Back,2,Ujpest,1033,"['fdb5c0b4-95d6-57b1-9cb4-2566e7a5964c', 'e65726ff-1d60-56b3-9804-8884d79fdf9e', 'e0ce14af-cd93-51a2-a590-68954bd23ac2']",13,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:13.129,Pass,True
,,,,,,,,,,,,,,,,,1.262,,,,,,,,,,,,,,508c0b6e-729d-5c31-8384-cca1e6849a08,20,,"[41.0, 3.6]",4003569,0,0.0116016753,0.0103529217,0.0012487536,0.0123711647,0.0117538469,0.0006173179,-0.0006314358,,,,2.179256,,Left Foot,,,"[28.6, 21.4]",,Ground Pass,,21.69,,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9678173645,0.9878957272,Damian Rasak,12829.0,,,,,,,1,From Kick Off,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,2,Ujpest,1033,['98547664-e9cd-5847-8af4-d18ce315487c'],14,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:14.156,Pass,
,,,,,,,,,,,,,,,,,1.474,,,,,,,,,,,,,,19b14338-1e79-5e51-8b71-2aba234e690e,23,,"[20.5, 22.8]",4003569,0,0.0125689488,0.0123655796,0.0002033692,0.0072896094,0.0105295135,-0.0032399041,-0.0034432733,,,,2.525608,,Right Foot,,,"[2.7, 35.4]",,Ground Pass,,21.81,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9890670147,0.9968342185,Riccardo Piscitelli,38335.0,,,,,,,1,From Kick Off,Damian Rasak,12829.0,Right Defensive Midfield,2,Ujpest,1033,"['9ccf973a-bbdd-5838-8995-863f064d6b82', 'e049a74e-19bb-54a6-9b72-37caea583a70']",16,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:16.644,Pass,
,,,,,,,,,,,,,,,,,3.019,,,,,,,,,,,,,,38562cbf-8bf9-5987-a808-f1b2c6a9d63e,27,,"[2.4, 31.6]",4003569,0,0.0168401375,0.0139649333,0.0028752042,0.0108278058,0.0066793091,0.0041484968,0.0012732926,,,,-0.211469,,Left Foot,,,"[56.9, 19.9]",,High Pass,,55.74,Incomplete,,52.0,Defensive third - Center - Forwards - Long - High Pass,0.9977420365,0.3186772764,,,,,,,,,1,From Kick Off,Riccardo Piscitelli,38335.0,Goalkeeper,2,Ujpest,1033,"['f4f9e794-8db6-5ee0-9803-03ae630ca477', '11763445-dc45-5b92-a2a9-a819679680a2', '9a3a3504-2156-50b2-b53e-65ba66e54299']",19,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:19.703,Pass,True
,,,,,,,,,,,,,,,,,2.186,,,,,,,,,,,,,,f4f9e794-8db6-5ee0-9803-03ae630ca477,28,,"[63.2, 60.2]",4003569,0,0.0073566339,0.0066793091,0.0006773248,0.0094648628,0.0139649333,-0.0045000706,-0.0051773954,,,True,-1.249046,,,,,"[66.2, 51.2]",,High Pass,,9.49,Incomplete,,51.0,Midfield third - Right - To left - Short - Ground Pass,0.8414321622,0.2154263705,,,,,,,Recovery,,1,From Kick Off,Kristóf Papp,404306.0,Center Defensive Midfield,2,Ujpest,1033,"['9294fb82-c5c5-5d92-b92c-4320c6f6058a', 'd16b9beb-144b-552e-ad7a-c4ce40afc597', '38562cbf-8bf9-5987-a808-f1b2c6a9d63e']",22,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:00:22.722,Pass,True
,,,,,,,,,,,,,,,,,1.961,,,,,,,,,,,,,,d16b9beb-144b-552e-ad7a-c4ce40afc597,30,,"[53.9, 28.9]",4003569,0,0.0090196785,0.0168401375,-0.0078204591,0.02004591,0.0108278058,0.0092181042,0.0170385633,,,,-0.434367,,Head,,,"[63.6, 24.4]",,Low Pass,,10.69,,,53.0,Midfield third - Center - Forwards - Short - Ground Pass,0.9601935928,0.7522025704,Fran Brodić,130597.0,,,,,Recovery,,1,From Kick Off,Arijan Ademi,18879.0,Left Defensive Midfield,2,Ujpest,1033,"['f4f9e794-8db6-5ee0-9803-03ae630ca477', '39c25fde-44be-56f3-aa50-af1c60b10a1b']",24,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:24.908,Pass,
,,,,,,,,,,,,,,,,,2.413,,,,,,,,,,,,,,82e8c59e-85ec-5943-8878-22c6c49d1e87,33,,"[64.2, 24.7]",4003569,0,0.0070057218,0.0091687124,-0.0021629906,0.0096947094,0.0197476801,-0.0100529706,-0.00788998,,True,,-0.670313,,Right Foot,,,"[94.6, 0.6]",,High Pass,,38.79,Out,,13.0,Midfield third - Left - Forwards - Short - High Pass,0.4860254024,0.4495230913,,,,,,,,,1,From Kick Off,Fran Brodić,130597.0,Center Forward,2,Ujpest,1033,['b7ca2cd5-2df6-5722-a8ce-58e4846a4a03'],26,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:26.909,Pass,
,,,,,,,,,,,,,,,,,0.847,,,,,,,,,,,,,,b0ece40a-d25e-5956-a3f3-b78c113094eb,34,,"[35.5, 80.0]",4003569,0,0.0111600403,0.0096947094,0.0014653308,0.0120206634,0.0070057218,0.0050149416,0.0035496107,,,,-1.622698,,,,,"[34.7, 64.6]",,Low Pass,,15.42,,,,,,0.9854521155,Kevin Horváth,404302.0,,,,,Throw-in,,1,From Throw In,Attila Osváth,404304.0,Right Wing Back,3,Paksi FC,2160,['f18b1f49-9f07-591a-a459-6411cae54463'],47,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:00:47.400,Pass,
,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,ec5f8058-0239-5edc-b397-91847e9676a1,36,,"[33.6, 67.2]",4003569,0,0.0116461804,0.0111600403,0.0004861401,0.0085387379,0.0120206634,-0.0034819255,-0.0039680656,,,,1.358151,,Right Foot,,,"[35.5, 76.0]",,Low Pass,,9.0,,,39.0,Defensive third - Right - Backwards - Short - Ground Pass,0.6332975708,0.770648241,Attila Osváth,404304.0,,,,,,,1,From Throw In,Kevin Horváth,404302.0,Right Center Midfield,3,Paksi FC,2160,['70acb73d-5718-576e-ad2f-c63689fe06fa'],48,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:00:48.247,Pass,
,,,,,,,,,,,,,,,,,2.991,,,,,,,,,,,,,,702ffa65-68ad-56ca-862c-12267cfc50de,40,,"[35.9, 77.7]",4003569,0,0.018157132,0.0116461804,0.0065109516,0.0098331841,0.0085387379,0.0012944462,-0.0052165054,,,,-1.033265,,Left Foot,,,"[51.1, 52.2]",,High Pass,,29.69,Incomplete,,41.0,Defensive third - Right - Forwards - Long - High Pass,0.9261307944,0.2249572277,,,,,,,,,1,From Throw In,Attila Osváth,404304.0,Right Wing Back,3,Paksi FC,2160,"['f7f57c65-171a-5e46-86a2-9462b3634b7d', 'a9f925ac-f159-5097-a5ac-4762e87dd545']",49,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:00:49.117,Pass,True
