50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.9663809999999975,,,,,,,,,,,,,40920a60-db86-49ac-93ab-76a88fa0a4d9,16,,,"[33.3, 40.0]",4003608,0,0.0127700577,0.0095613096,0.0032087481,0.0114813894,0.0114731016,8.2878e-06,-0.0032004602,,,,1.512383,,,Left Foot,,,"[34.3, 57.1]",,Ground Pass,,17.13,,,,,,0.9977650642,Stefan Gartenmann,24560.0,,,,,Free Kick,,1,From Free Kick,Toon Raemaekers,43895.0,Center Back,3,Ferencvaros,1476,['d05f284d-0850-575b-ba81-982c82728d8b'],24,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:24.160,Pass,
,,,,,,,,,,,,,,,,0.9129649999999964,,,,,,,,,,,,,32170b40-971e-4588-8def-c3ee2848eac8,20,,,"[58.2, 74.4]",4003608,0,0.0111687593,0.0098498287,0.0013189306,0.0127841318,0.0125287753,0.0002553565,-0.0010635741,,,,1.129204,,,Right Foot,,,"[60.8, 79.9]",,Ground Pass,,6.08,,,12.0,Midfield third - Right - Forwards - Short - Ground Pass,0.5420388349,0.9273394346,Cebrails Makreckis,131173.0,,,,,,,1,From Free Kick,Stefan Gartenmann,24560.0,Right Center Back,3,Ferencvaros,1476,"['3025b450-33b1-42ab-ba34-bf4faaef207b', 'd322306e-053f-5cc3-945d-231e1875a892', '6d6acc14-df5f-5af7-abc4-acb6b82f8426']",32,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:32.122,Pass,True
,,,,,,,,,,,,,,,,2.1933339999999952,,,,,,,,,,,,,80636626-55e8-4453-bc7e-58b1e1f5a79c,24,,,"[62.9, 77.3]",4003608,0,0.0108208265,0.0097053824,0.0011154441,0.0130518526,0.0130192833,3.25693e-05,-0.0010828748,,,,-2.644674,,,Right Foot,,,"[36.9, 63.2]",,Ground Pass,,29.58,,,36.0,Midfield third - Right - Backwards - Short - Ground Pass,0.6737793137,0.985334754,Toon Raemaekers,43895.0,,,,,,,1,From Free Kick,Cebrails Makreckis,131173.0,Right Wing Back,3,Ferencvaros,1476,"['07f4cfc7-7f7f-4542-b388-9d0d621b5e25', '6f5a050b-c01d-5964-9277-89d6ac7b570a', '5aee3528-42d3-500f-8f9d-5a8513172c6e']",33,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:33.801,Pass,True
,,,,,,,,,,,,,,,,1.450153999999995,,,,,,,,,,,,,b8604ba4-07f1-45fa-8070-bc3ec8c11208,27,,,"[35.4, 58.1]",4003608,0,0.0105781211,0.0104850139,9.31071e-05,0.0149652241,0.0133952433,0.0015699808,0.0014768736,,,,-1.401523,,,Right Foot,,,"[40.1, 30.6]",,Ground Pass,,27.9,,,26.0,Midfield third - Center - To left - Short - Ground Pass,0.985337625,0.9941949248,Gábor Sándor Szalai,400298.0,,,,,,,1,From Free Kick,Toon Raemaekers,43895.0,Center Back,3,Ferencvaros,1476,"['f0d90ea4-fcb1-591e-86b0-5a1e7ba93e99', 'f4d4bd37-e72e-57e3-934f-a94637c69815']",37,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:37.086,Pass,
,,,,,,,,,,,,,,,,1.548411,,,,,,,,,,,,,65188c2b-2c75-41da-af89-fe2986203532,30,,,"[43.8, 28.1]",4003608,0,0.0103242928,0.0102975061,2.67867e-05,0.0156556442,0.015407145,0.0002484992,0.0002217125,,,,-0.110657,,,Left Foot,,,"[47.4, 27.7]",,Ground Pass,,3.62,,,48.0,Defensive third - Center - Forwards - Short - Ground Pass,0.985551334,0.9563739896,Naby Deco Keïta,8505.0,,,,,,,1,From Free Kick,Gábor Sándor Szalai,400298.0,Left Center Back,3,Ferencvaros,1476,"['3d221bb5-f02b-5ee8-abf2-4b6bccaba145', '9d08e5fb-f9c8-5bc7-8129-795a5012283a']",39,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:39.468,Pass,
,,,,,,,,,,,,,,,,0.5630060000000012,,,,,,,,,,,,,47dc78ad-b732-4dcc-8531-fe1411adbec5,32,,,"[45.6, 30.3]",4003608,0,0.0101419184,0.0103242928,-0.0001823744,0.0150419725,0.0156556442,-0.0006136717,-0.0004312973,True,,,2.038396,,,Right Foot,,,"[40.5, 40.4]",,Ground Pass,,11.31,,,22.0,Midfield third - Center - To right - Short - Ground Pass,0.9469118068,0.9828077555,Gábor Sándor Szalai,400298.0,,,,,,,1,From Free Kick,Naby Deco Keïta,8505.0,Left Defensive Midfield,3,Ferencvaros,1476,['d1bba7cd-620f-543b-aa30-1e62a030ea6e'],41,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:41.129,Pass,
,,,,,,,,,,,,,,,,1.5447419999999983,,,,,,,,,,,,,f79017b7-9cc8-439a-8fc6-2bc5795d3941,34,,,"[40.5, 40.4]",4003608,0,0.0099699162,0.0101419184,-0.0001720022,0.0149178579,0.0150419725,-0.0001241146,4.78877e-05,True,,,1.445027,,,Left Foot,,,"[41.6, 49.1]",,Ground Pass,,8.77,,,22.0,Midfield third - Center - To right - Short - Ground Pass,0.8347709068,0.9547386765,Toon Raemaekers,43895.0,,,,,,,1,From Free Kick,Gábor Sándor Szalai,400298.0,Left Center Back,3,Ferencvaros,1476,['62b716b1-a21e-59ee-b3a0-3b1d44d3383d'],41,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:41.692,Pass,
,,,,,,,,,,,,,,,,1.0478009999999998,,,,,,,,,,,,,702660e1-f683-407c-9433-be58ec8c5512,36,,,"[41.6, 50.2]",4003608,0,0.0093270708,0.0099699162,-0.0006428454,0.0173378717,0.0149178579,0.0024200138,0.0030628592,,,,0.473052,,,Right Foot,,,"[54.3, 56.7]",,Ground Pass,,14.27,,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.9336022896,0.9726079106,Alex Tóth,386463.0,,,,,,,1,From Free Kick,Toon Raemaekers,43895.0,Center Back,3,Ferencvaros,1476,['0e128ac3-27de-5919-9173-a878a26a9dcf'],44,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:44.091,Pass,
,,,,,,,,,,,,,,,,1.135438000000002,,,,,,,,,,,,,22059606-0843-41b2-bc20-9e459e41293f,39,,,"[65.5, 60.0]",4003608,0,0.0087471288,0.0096466178,-0.000899489,0.0168659016,0.0190281533,-0.0021622516,-0.0012627626,,,,1.274681,,,Right Foot,,,"[70.9, 77.7]",,Ground Pass,,18.51,,,17.0,Midfield third - Right - Forwards - Short - Ground Pass,0.7897321668,0.9805595875,Cebrails Makreckis,131173.0,,,,,,,1,From Free Kick,Alex Tóth,386463.0,Right Defensive Midfield,3,Ferencvaros,1476,"['f71d6fe3-0b75-5ce1-a002-9ce25e2be188', '8bacb8fe-a61b-5c2a-98b4-1929d3204469']",48,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:48.338,Pass,
,,,,,,,,,,,,,,,,1.1979750000000058,,,,,,,,,,,,,58206156-4f80-4b98-9f64-54ed8a3b8650,42,,,"[73.1, 70.4]",4003608,0,0.0084403297,0.0091969697,-0.00075664,0.020743873,0.0191544723,0.0015894007,0.0023460407,,,,0.511231,,,Right Foot,,,"[85.4, 77.3]",,Ground Pass,,14.1,,,17.0,Midfield third - Right - Forwards - Short - Ground Pass,0.9780143286,0.9345844984,Alex Tóth,386463.0,,,,,,,1,From Free Kick,Cebrails Makreckis,131173.0,Right Wing Back,3,Ferencvaros,1476,"['6617743c-c468-59db-ba4e-dd77dc89c514', '779dff81-1b16-5e62-b441-5d0752129be1']",53,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:53.438,Pass,
