50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.7233349999999628,,,,,,,,,087ec783-4acf-446f-9a50-78d2b23fd0de,2026,,"[43.4, 71.2]",4003584,56,0.0097531332,0.010763512,-0.0010103788,0.0176195875,0.0135183502,0.0041012373,0.0051116161,,,,-0.69803,,,Right Foot,,,,"[58.3, 58.7]",,Ground Pass,,19.45,,,,12.0,Midfield third - Right - Forwards - Short - Ground Pass,0.6887701797,0.8579470515,Iuri José Picanço Medeiros,7138.0,,,,,,2,From Free Kick,Attila Fiola,11268.0,Right Back,126,Ujpest,1033,['532c8709-ae68-5a28-9a7e-6877d77e8fdb'],1,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:01.475,Pass,
,,,,,,,,,,,,,,,,,,,1.950660000000033,,,,,,,,,ec23a541-18e4-434b-9dfb-73c8c21f76db,2029,,"[58.3, 58.7]",4003584,56,0.0148209222,0.0097531332,0.005067789,0.0108465347,0.0176195875,-0.0067730527,-0.0118408417,,,,-2.993479,,,Left Foot,,,,"[26.8, 54.0]",,Ground Pass,,31.85,,,,5.0,Defensive third - Right - Backwards - Short - Ground Pass,0.9609775978,0.9953935146,João Aniceto Grandela Nunes,7977.0,,,,,,2,From Free Kick,Iuri José Picanço Medeiros,7138.0,Right Center Midfield,126,Ujpest,1033,"['efed6104-ff48-51b1-b7ae-facb261f08fa', '2134427b-e452-53b3-93d1-bae0ad284571']",2,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:02.199,Pass,
,,,,,,,,,,,,,,,,,,,1.572344000000041,,,,,,,,,cfa84164-9563-49d3-a788-50545defe21b,2033,,"[32.6, 57.4]",4003584,56,0.0100245951,0.0137223452,-0.0036977502,0.0171351805,0.0113173388,0.0058178417,0.0095155919,,,,0.118231,,,Right Foot,,,,"[68.8, 61.7]",,High Pass,,36.45,,,,41.0,Defensive third - Right - Forwards - Long - High Pass,0.9975695844,0.4015977681,Aljoša Matko,101803.0,,,,,,2,From Free Kick,João Aniceto Grandela Nunes,7977.0,Right Center Back,126,Ujpest,1033,"['d67aabea-e744-5298-8525-24bcc19decb4', '13a9fb90-7acc-5359-bbc8-a45d90f344af', '5088b7f9-4ea8-469f-8703-e822d3604a92']",8,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:08.149,Pass,True
,,,,,,,,,,,,,,,,,,,1.641011999999988,,,,,,,,,04374cbb-d3ef-4875-aff5-d63c9ae2297f,2037,,"[68.8, 61.7]",4003584,56,0.0093590999,0.0100245951,-0.0006654952,0.0231838394,0.0171351805,0.0060486589,0.006714154,,,,-0.760193,,,Right Foot,,,,"[74.9, 55.9]",,High Pass,,8.42,,,,51.0,Midfield third - Right - To left - Short - Ground Pass,0.9954199054,0.4762466252,Milan Tučić,48713.0,,,,,,2,From Free Kick,Aljoša Matko,101803.0,Right Midfield,126,Ujpest,1033,"['b9bfe5b2-545c-4f35-9574-69d506ecbd61', 'fe249f2c-4339-51a1-af54-545519b811a4', 'e02dbc7f-4ccd-5ed2-9718-a99310215523']",9,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:09.722,Pass,True
,,,,,,,,,,,,,,,,,,,3.7639009999999544,,,,,,,,,3cbd0703-ee46-4634-9b03-974de6367ebf,2040,,"[68.4, 54.2]",4003584,56,0.0074646482,0.0094284173,-0.0019637691,0.010985042,0.0209122431,-0.0099272011,-0.007963432,,True,,1.130582,,,Left Foot,,,,"[80.6, 80.1]",,High Pass,,28.63,,Out,,8.0,Midfield third - Center - To right - Short - Ground Pass,0.9892462565,0.7074615359,Aljoša Matko,101803.0,,,,,,2,From Free Kick,Milan Tučić,48713.0,Center Forward,126,Ujpest,1033,"['2181692f-f554-5e8d-b040-2caff8a06717', '75ec514e-0788-5521-a29b-a23c3ebb03ec']",12,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:12.269,Pass,
,,,,,,,,,,,,,,,,,,,3.8286319999999834,,,,,,,,,4ced154c-776d-43c1-9afe-3a6286029912,2042,,"[36.2, 0.1]",4003584,56,0.0101989647,0.010985042,-0.0007860772,0.0146129029,0.0074646482,0.0071482547,0.0079343319,True,,,2.208891,,,,,,,"[6.7, 39.9]",,Low Pass,,49.57,,,,,,,0.995051682,Patrik Demjén,389883.0,,,,Throw-in,,2,From Throw In,Patrik Kovács,404290.0,Left Back,127,MTK,2207,['09680ddd-2473-5d75-b022-03e06b698a39'],18,,,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:11:18.232,Pass,
,,,,,,,,,,,,,,,,,,,1.4628830000000308,,,,,,,,,2137f877-9a7b-4bf4-9ab5-56b4587cc27d,2044,,"[45.0, 17.1]",4003584,56,0.0115711167,0.0101989647,0.001372152,0.0122370617,0.0146129029,-0.0023758411,-0.0037479931,True,,,2.565654,,,Right Foot,,,,"[21.7, 32.3]",,High Pass,,27.82,,,,38.0,Midfield third - Left - Backwards - Long - Ground Pass,0.9433899861,0.9274744987,Mihály Kata,40500.0,,,,,,2,From Throw In,Patrik Demjén,389883.0,Goalkeeper,127,MTK,2207,['b2446676-753d-5455-a4f1-c8097159311c'],22,,,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:11:22.293,Pass,
,,,,,,,,,,,,,,,,,,,1.0175999999999767,,,,,,,,,bd3ae24f-c659-4d52-9a39-08da61d4b480,2046,,"[21.7, 32.3]",4003584,56,0.0157035906,0.0115711167,0.0041324738,0.0079343561,0.0122370617,-0.0043027056,-0.0084351795,,,,-1.832432,,,Left Foot,,,,"[17.7, 17.3]",,Ground Pass,,15.58,,,,21.0,Defensive third - Center - To left - Short - Ground Pass,0.8785161326,0.9787381291,Tamás Kádár,11050.0,,,,,,2,From Throw In,Mihály Kata,40500.0,Left Defensive Midfield,127,MTK,2207,['1277f8ef-fe72-5ed6-92ff-e2549f64ef24'],23,,,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:11:23.756,Pass,
,,,,,,,,,,,,,,,,,,,2.4285890000000365,,,,,,,,,0ba2f4a6-f49c-462e-8194-01062a9bd46b,2050,,"[17.0, 13.9]",4003584,56,0.0085435752,0.0153240431,-0.0067804679,0.009839979,0.0067282193,0.0031117597,0.0098922276,,,,0.11647,,,Left Foot,,,,"[57.0, 18.6]",,High Pass,,40.27,,Incomplete,,28.0,Defensive third - Left - Forwards - Long - High Pass,0.9999576286,0.2492707223,Róbert Polievka,123671.0,,,,,,2,From Throw In,Tamás Kádár,11050.0,Left Center Back,127,MTK,2207,"['f5fe37b9-ac58-4190-b545-3dfa3e670c8c', '3eb3fca0-0053-5fda-bc5a-c0ae608cd736', '685010ed-1b4e-5a55-9e72-fe9cc15115e5', 'c627cad9-dc1c-4840-b498-8c8fa5bc61f5']",25,,,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:11:25.924,Pass,True
,,,,,,,,,,,,,,,,,,,1.8976959999999965,,,,,,,,,f5fe37b9-ac58-4190-b545-3dfa3e670c8c,2052,,"[63.1, 61.5]",4003584,56,0.0083445571,0.0067282193,0.0016163378,0.0115601867,0.0153240431,-0.0037638564,-0.0053801942,,,,0.146933,,,Head,,,,"[88.1, 65.2]",,High Pass,,25.27,,,,20.0,Midfield third - Right - Forwards - Short - High Pass,0.849571988,0.2754873633,Tom Lacoux,68861.0,,,,Recovery,,2,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,128,Ujpest,1033,"['0ba2f4a6-f49c-462e-8194-01062a9bd46b', 'f1b58715-e6ce-53bd-bae3-f2b2457fb367']",28,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:28.353,Pass,
