50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.0383240000000002,,,,,,,,,,52cde5f1-8b6a-431c-9cd3-9855d77959fa,17,,,"[85.7, 11.0]",4003737,0,0.009102813,0.0089454427,0.0001573702,0.0304060075,0.019741198,0.0106648095,0.0105074393,,,,1.588729,,,Right Foot,,,"[85.3, 31.6]",,Ground Pass,,20.63,,,49.0,Attacking third - Left - Backwards - Short - Ground Pass,0.8406596855,0.9005613923,Arne Maier,12411.0,,,,,,1,From Kick Off,Matija Ljujić,10837.0,Center Attacking Midfield,2,Ujpest,1033,"['f52363a8-b20f-4418-84c5-f59704cd730b', '5cf723e8-7af7-5b02-bf64-f7a900c9c28e', 'bc7a4395-341d-53a9-82b5-1a017235a104']",11,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:11.072,Pass,True
,,,,,,,,,,,,,,,,0.1200019999999986,,,,,,,,,,a914dcf3-2c6c-4016-9195-c217a09a1d84,20,,,"[84.5, 36.1]",4003737,0,0.0095826462,0.0091042463,0.0004783999,0.0310181174,0.030759288,0.0002588294,-0.0002195705,,,,2.174188,,,Right Foot,,,"[80.0, 42.6]",,Ground Pass,,7.93,Incomplete,,2.0,Attacking third - Center - To right - Short - Ground Pass,0.9918850188,0.9699553251,,,,,,,,1,From Kick Off,Arne Maier,12411.0,Left Defensive Midfield,2,Ujpest,1033,"['0878d399-12bc-4795-8605-1e15d3c52667', '606ce46e-7483-51c8-bffb-824ba31465bb']",12,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:12.341,Pass,
,,,,,,,,,,,,,,,,1.6055220000000008,,,,,,,,,,fdad1636-6771-42af-a3a2-8dc01f54dcf0,23,,,"[84.8, 46.8]",4003737,0,0.0095189512,0.0148650184,-0.0053460672,0.0190281533,0.0101713864,0.0088567669,0.0142028341,,,,2.503005,,,Right Foot,,,"[66.2, 60.6]",,Ground Pass,,23.2,,,8.0,Midfield third - Center - To right - Short - Ground Pass,0.3925990893,0.9644137621,Gergő János Bodnár,247192.0,,,,Recovery,,1,From Kick Off,Attila Fiola,11268.0,Right Center Back,2,Ujpest,1033,['4e3d52a0-2d47-5d17-96e4-149e1f85ed16'],14,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:14.438,Pass,
,,,,,,,,,,,,,,,,1.3635020000000004,,,,,,,,,,d7a88d88-0933-48b8-a0bc-05719f0fe600,26,,,"[66.2, 60.6]",4003737,0,0.0102584539,0.0095189512,0.0007395027,0.0156025467,0.0190281533,-0.0034256065,-0.0041651092,,,,-2.789069,,,Right Foot,,,"[46.3, 53.3]",,Ground Pass,,21.17,,,36.0,Midfield third - Right - Backwards - Short - Ground Pass,0.8439034425,0.9948984981,Attila Fiola,11268.0,,,,,,1,From Kick Off,Gergő János Bodnár,247192.0,Right Back,2,Ujpest,1033,"['7b419163-1e18-5751-9c21-453df31bd817', 'cbadab78-8dc1-5a65-847c-dbffce1f757c']",18,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:18.002,Pass,
,,,,,,,,,,,,,,,,2.2539220000000024,,,,,,,,,,f901aa66-f684-462a-b378-c81dc5657aee,29,,,"[46.3, 53.3]",4003737,0,0.0098428642,0.0102584539,-0.0004155897,0.0143732745,0.0156025467,-0.0012292722,-0.0008136826,,,,-1.452735,,,Right Foot,,,"[51.5, 9.5]",,Ground Pass,,44.15,,,47.0,Midfield third - Right - To left - Long - Ground Pass,0.99925108,0.9950091839,Bence Gergényi,404242.0,,True,,,,1,From Kick Off,Attila Fiola,11268.0,Right Center Back,2,Ujpest,1033,"['88ae7935-8130-5d2f-992a-d211b233a2b0', 'dd5f64e8-15ea-5e2e-a4d4-a6086d6840d0']",20,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:20.342,Pass,
,,,,,,,,,,,,,,,,2.1163280000000015,,,,,,,,,,f4e9009d-0479-4988-ab49-4c5137f43ef6,32,,,"[51.5, 9.5]",4003737,0,0.0104222177,0.0098428642,0.0005793534,0.0138942627,0.0143732745,-0.0004790118,-0.0010583652,,,,1.77776,,,Right Foot,,,"[40.2, 63.5]",,Ground Pass,,55.14,,,29.0,Midfield third - Left - To right - Long - Ground Pass,0.9978517768,0.9943550825,Attila Fiola,11268.0,,True,,,,1,From Kick Off,Bence Gergényi,404242.0,Left Back,2,Ujpest,1033,"['6bb2ec25-edce-5cc4-88a6-ff0c8c5d8a90', 'b5848090-6540-53d7-b0dc-c05174814183']",26,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:26.973,Pass,
,,,,,,,,,,,,,,,,1.154257999999998,,,,,,,,,,8c9253c9-50d1-4304-98b5-51dca995623b,36,,,"[40.2, 63.5]",4003737,0,0.0107670669,0.0104222177,0.0003448492,0.0137281809,0.0138942627,-0.0001660818,-0.000510931,,,,0.772412,,,Right Foot,,,"[46.8, 70.0]",,Ground Pass,,9.26,,,12.0,Midfield third - Right - Forwards - Short - Ground Pass,0.7491493546,0.9796691537,Gergő János Bodnár,247192.0,,,,,,1,From Kick Off,Attila Fiola,11268.0,Right Center Back,2,Ujpest,1033,"['1138c049-ffdf-522c-be0a-57262f5b8d05', '666b0d7c-5500-5363-a1f3-fb989cd3444c']",30,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:30.833,Pass,
,,,,,,,,,,,,,,,,0.8093060000000041,,,,,,,,,,a6e26bf6-6a8c-4ef4-8a41-5edb7d116958,39,,,"[46.8, 70.0]",4003737,0,0.0105942395,0.0107670669,-0.0001728274,0.0162933581,0.0137281809,0.0025651772,0.0027380046,,,,-1.433488,,,Right Foot,,,"[49.5, 50.5]",,Ground Pass,,19.73,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.5094078817,0.9917092919,Attila Fiola,11268.0,,,,,,1,From Kick Off,Gergő János Bodnár,247192.0,Right Back,2,Ujpest,1033,"['a0277e85-93aa-56e1-9990-936a7d89f46b', 'b42155cd-9508-543f-8031-9543c68a4392']",34,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:34.345,Pass,
,,,,,,,,,,,,,,,,2.0734080000000032,,,,,,,,,,58c65bc9-d649-47c5-a18c-5da4ce5ea27d,42,,,"[49.5, 50.5]",4003737,0,0.0104766712,0.0105942395,-0.0001175683,0.0142986933,0.0162933581,-0.0019946648,-0.0018770965,,,,-1.441798,,,Right Foot,,,"[55.2, 6.8]",,Ground Pass,,44.08,,,47.0,Midfield third - Right - To left - Long - Ground Pass,0.997402169,0.9946488738,Noah Dávid Gabriel Fenyö,318547.0,,True,,,,1,From Kick Off,Attila Fiola,11268.0,Right Center Back,2,Ujpest,1033,"['202a6d7a-c912-53af-a840-94d73c8cd7ac', '17a8b124-919e-548a-9e0b-a164b89b0ca0']",36,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:36.998,Pass,
,,,,,,,,,,,,,,,,1.3642240000000019,,,,,,,,,,1f9ef078-3cd0-45c5-a3a4-c11880deb72d,45,,,"[55.8, 6.8]",4003737,0,0.0106539428,0.0107531184,-9.91756e-05,0.0159969907,0.0143148508,0.0016821399,0.0017813155,,,,1.526952,,,Right Foot,,,"[56.7, 26.6]",,Ground Pass,,19.85,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.3956255042,0.9890494347,Arne Maier,12411.0,,,,,,1,From Kick Off,Noah Dávid Gabriel Fenyö,318547.0,Right Defensive Midfield,2,Ujpest,1033,"['55419cac-add9-563e-86b9-03aae12a7b1d', 'b234c25f-9b8f-52ac-9ad7-3cf4b7c29a94']",43,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:43.785,Pass,
