50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_goal_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.6275159999999995,,,,,,,,,,,f9c528da-c455-45be-a572-f466777e660a,18,,,"[36.1, 75.4]",4003579,0,0.0157185756,0.0112530943,0.0044654813,0.0077766678,0.0096357819,-0.001859114,-0.0063245953,,,,-2.293171,,,Right Foot,,,"[16.8, 53.5]",,Ground Pass,,29.19,,,,,5.0,Defensive third - Right - Backwards - Short - Ground Pass,0.9735704215,0.9917607307,Bence Várkonyi,40496.0,,,,,,,1,From Kick Off,Nyíri Vince Tóbiás,438533.0,Right Back,2,Zalaegerszegi TE,2209,"['f3338c26-1f2d-42e5-bd5f-989456f6b6b8', 'a3208296-6611-5e8f-9b6b-9302b53ed603', 'd9a3a9e1-5c0d-5030-a9b1-ab8ec7a21362']",11,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:11.551,Pass,True
,,,,,,,,,,,,,,,,3.779577000000001,,,,,,,,,,,42f90424-fb27-4338-b8f9-5ac5e1f6b4ee,22,,,"[15.1, 52.2]",4003579,0,0.0129412878,0.0150459921,-0.0021047043,0.0071365326,0.0076734666,-0.000536934,0.0015677703,,,,-1.620755,,,Right Foot,,,"[12.9, 8.2]",,Ground Pass,,44.05,,,,,6.0,Defensive third - Center - To left - Short - Ground Pass,0.9199541538,0.9790737629,Daniel Csóka,47399.0,,True,,,,,1,From Kick Off,Bence Várkonyi,40496.0,Right Center Back,2,Zalaegerszegi TE,2209,"['6bc08d0f-a40c-4e32-8c80-d4e0cff2582c', 'e7f21bb6-693f-5620-b90c-e90df426c9e2', 'a3d1c3c2-b95d-568a-b22a-4344a101de31']",15,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:15.173,Pass,True
,,,,,,,,,,,,,,,,4.8034729999999985,,,,,,,,,,,fd571a37-81c3-46af-b132-318a95411f25,24,,,"[12.9, 8.2]",4003579,0,0.0161320381,0.0129412878,0.0031907503,0.010402034,0.0071365326,0.0032655015,7.47512e-05,,,,0.224665,,,Left Foot,,,"[71.1, 21.5]",,High Pass,,59.7,,,Incomplete,,52.0,Defensive third - Center - Forwards - Long - High Pass,0.8105432152,0.1737626493,Yohan Croizet,12805.0,,,,,,,1,From Kick Off,Daniel Csóka,47399.0,Left Center Back,2,Zalaegerszegi TE,2209,"['4d30259c-82dc-4c22-80cc-0cddb926db0c', '635ad9ef-2a06-5535-9044-eba5d204c90d']",18,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:18.952,Pass,
,,,,,,,,,,,,,,,,1.3121540000000025,,,,,,,,,,,4d30259c-82dc-4c22-80cc-0cddb926db0c,26,,,"[49.0, 58.6]",4003579,0,0.0093439342,0.0071365326,0.0022074017,0.0152798658,0.0129412878,0.002338578,0.0001311763,,,,-1.856824,,,Right Foot,,,"[42.3, 35.9]",,Ground Pass,,23.64,,,,,26.0,Midfield third - Center - To left - Short - Ground Pass,0.9533140431,0.9649208784,Davit Kobouri,46812.0,,,,,Recovery,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,3,Ujpest,1033,"['d0d8ce07-687b-581f-8cfe-92f10db7e588', 'fd571a37-81c3-46af-b132-318a95411f25']",23,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:23.756,Pass,
,,,,,,,,,,,,,,,,1.212502999999997,,,,,,,,,,,c857ce8d-a024-46c6-b7ed-edd98a7c27e4,29,,,"[38.7, 30.9]",4003579,0,0.0101009607,0.0109386891,-0.0008377284,0.0151954908,0.0143512208,0.00084427,0.0016819984,,,,0.643312,,,Left Foot,,,"[47.2, 37.3]",,Ground Pass,,10.59,,,,,48.0,Defensive third - Center - Forwards - Short - Ground Pass,0.9924850005,0.9426944256,Damian Rasak,12829.0,,,,,,,1,Regular Play,Davit Kobouri,46812.0,Left Center Back,3,Ujpest,1033,"['7587eb6a-0c16-5328-9ec3-19b448f93a0a', '98adac97-5ca5-5063-9be0-342a7f8e0631']",26,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:26.736,Pass,
,,,,,,,,,,,,,,,,1.2304400000000024,,,,,,,,,,,884dc6de-c793-49d8-9214-75c6ca66fbba,32,,,"[47.2, 37.3]",4003579,0,0.0106956391,0.0101009607,0.0005946783,0.0141401906,0.0151954908,-0.0010553002,-0.0016499786,,,,-2.413325,,,Right Foot,,,"[35.0, 26.4]",,Ground Pass,,16.35,,,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.6597998547,0.9895343184,Davit Kobouri,46812.0,,,,,,,1,Regular Play,Damian Rasak,12829.0,Left Center Midfield,3,Ujpest,1033,"['21183809-0872-574f-bbb1-eb4aa1ad2a88', '317e790f-3ea1-5ea7-97eb-bc34706590ac']",27,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:27.949,Pass,
,,,,,,,,,,,,,,,,1.6689199999999984,,,,,,,,,,,096d0434-a8c7-4bbe-9925-1052b47a7825,35,,,"[36.0, 24.9]",4003579,0,0.0111137982,0.0105657661,0.0005480321,0.0121121397,0.0137977777,-0.001685638,-0.0022336701,,,,-1.121242,,,Left Foot,,,"[47.2, 1.8]",,Ground Pass,,25.7,,,,,30.0,Midfield third - Center - To left - Short - Ground Pass,0.9923528039,0.9879087806,Tiago Lisboa Silva Gonçalves,418965.0,,,,,,,1,Regular Play,Davit Kobouri,46812.0,Left Center Back,3,Ujpest,1033,"['efeab719-9356-5832-a972-8e8e5ae19f57', '75216e18-71d9-53c0-ab5b-523ad18d641c']",30,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:30.388,Pass,
,,,,,,,,,,,,,,,,1.3277249999999983,,,,,,,,,,,6724b2f6-25e2-4a5d-87f6-6537905637ce,38,,,"[49.2, 1.9]",4003579,0,0.011220268,0.0108791161,0.0003411518,0.0112631638,0.013463892,-0.0022007283,-0.0025418801,,,,0.154724,,,Left Foot,,,"[76.0, 6.1]",,High Pass,,27.12,,,Incomplete,,13.0,Midfield third - Left - Forwards - Short - High Pass,0.7332968058,0.3824564815,Krisztofer Horváth,40039.0,,,,,,,1,Regular Play,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,3,Ujpest,1033,"['b735044c-b527-5e19-97ab-15dca57b8236', 'd9e4208b-ed42-46e2-ac64-8ba132bee9cd', '6883125f-3baf-50e2-a7c4-5148697b1cab']",33,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:33.221,Pass,
,,,,,,,,,,,,,,,,0.6816270000000004,,,,,,,,,,,3f5cae8f-5877-4180-82a1-a8c996bd4f15,43,,,"[49.1, 73.2]",4003579,0,0.0096926773,0.010455017,-0.0007623397,0.0149357868,0.0121809533,0.0027548335,0.0035171732,,,,-0.371518,,,Right Foot,,,"[56.8, 70.2]",,Ground Pass,,8.26,,,,,12.0,Midfield third - Right - Forwards - Short - Ground Pass,0.9978858027,0.8213816881,João Victor Vieira Ferreira Sousa,122981.0,,,,,,,1,Regular Play,Nyíri Vince Tóbiás,438533.0,Right Back,4,Zalaegerszegi TE,2209,"['ce9228f2-cbff-4b63-9b6b-202515bd104c', '2b91fe0e-6aac-59a2-ad96-2e07f0b9094b', '69cb2418-6187-5b33-ad09-93c2e3544d7f']",35,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:35.602,Pass,True
,,,,,,,,,,,,,,,,0.953898000000001,,,,,,,,,,,d0ccc4b6-9dd8-41ef-b4d8-6ceec6b71c22,47,,,"[55.0, 7.3]",4003579,0,0.0099452082,0.0149357868,-0.0049905786,0.0152128832,0.0096926773,0.0055202059,0.0105107846,,,,2.124442,,,Left Foot,,,"[50.5, 14.6]",,Ground Pass,,8.56,,,,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.6064226196,0.881675005,Tom Lacoux,68861.0,,,,,Recovery,,1,Regular Play,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,5,Ujpest,1033,['16cfbeb3-e199-5188-86ba-7dc92df4eb1b'],37,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:37.443,Pass,
