bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[58.1, 75.6]",,,,,,,,,,1.275,,,,,,,,,,,,,,9069951f-593e-5441-b735-7d1a00ce897e,303,,,"[58.2, 75.6]",4003742,9,,0.0097784353,0.0098454021,-6.69667e-05,0.0147403069,0.0147403069,0.0,6.69667e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gergő János Bodnár,247192.0,Right Back,27,Ujpest,1033,"['b03ec723-50fc-4aa8-afa0-32e683364e8d', 'c2be7f72-b7d6-47e1-aac2-793d3cdf1f5b']",5,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:09:05.176,Carry,
,,,,"[48.7, 32.3]",,,,,,,,,,0.9420800000000745,,,,,,,,,,,,,,8c0b3f07-3be5-5665-a72b-43ce66e0e70f,310,,,"[48.4, 33.5]",4003742,9,,0.0114262924,0.0110878088,0.0003384836,0.0143030342,0.0141168907,0.0001861434,-0.0001523402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gavriel Gilad Kanichowsky,104036.0,Right Center Midfield,28,Ferencvaros,1476,"['bc1a9f95-7b46-4820-a34f-ca55b0ad0aed', '1f50bb0f-0a8a-527d-b2c4-f1a6501d3581', 'b3072ae9-c805-4aa5-a6cb-4f2772fca8a4']",10,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:09:10.208,Carry,True
,,,,"[99.2, 71.2]",,,,,,,,,,4.0044099999999165,,,,,,,,,,,,,,8acdd3a0-2dde-5ce7-9c67-1e16697280f5,317,,,"[64.0, 70.8]",4003742,9,,0.0086115086,0.0093619563,-0.0007504476,0.0283642393,0.0162402038,0.0121240355,0.0128744831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Attila Osváth,404304.0,Right Wing Back,28,Ferencvaros,1476,"['48a3cc2d-bfa6-4534-b1c9-74f82f7fc7ae', 'e3a9c205-61ad-5391-8895-62518d9fb63d']",15,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:09:15.413,Carry,
,,,,"[92.4, 39.1]",,,,,,,,,,0.8177920000000158,,,,,,,,,,,,,,7d151a5d-bb69-5c3c-b9e7-e1ec2bd11851,322,,,"[91.9, 39.1]",4003742,9,,0.0084300963,0.0086453101,-0.0002152137,0.0417641476,0.0410941578,0.0006699897,0.0008852035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gavriel Gilad Kanichowsky,104036.0,Right Center Midfield,28,Ferencvaros,1476,"['3d2fff44-e663-4dd4-9c2a-7548eeb6297e', '00fd0f72-857a-5b54-ade8-149324289996']",22,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:09:22.906,Carry,
,,,,"[105.1, 11.9]",,,,,,,,,,3.127177000000025,,,,,,,,,,,,,,a4c57983-deca-5953-ae81-08886c9bca53,325,,,"[104.7, 14.2]",4003742,9,,0.0085091218,0.0085091218,0.0,0.0315450616,0.0331270918,-0.0015820302,-0.0015820302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Callum O'Dowda,9600.0,Left Wing Back,28,Ferencvaros,1476,"['375b622c-f0b4-41bf-afe2-056bd65d8240', '10bc726a-472f-5873-a87a-fa2eb0b8d847']",25,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:09:25.654,Carry,
,,,,"[98.9, 16.9]",,,,,,,,,,1.3855359999999637,,,,,,,,,,,,,,506c232e-c188-5b4a-a4a2-73a969c60d0d,328,,,"[97.8, 14.7]",4003742,9,,0.008624847,0.0088144457,-0.0001895986,0.0350449681,0.0295466315,0.0054983366,0.0056879353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kristoffer Zachariassen,16442.0,Left Center Midfield,28,Ferencvaros,1476,"['722e6905-1a25-4f81-b41d-12ac7c62b8c3', 'a98505f6-497a-5a1b-8ff8-6cde3e30bc01']",29,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:09:29.629,Carry,
,,,,"[70.0, 32.9]",,,,,,,,,,2.229063000000082,,,,,,,,,,,,,,7ecdfca5-fd9f-5371-b755-6f9217bb3dd5,336,,,"[71.3, 32.1]",4003742,9,,0.0094716512,0.0095573096,-8.56584e-05,0.0228799842,0.0237470735,-0.0008670893,-0.0007814309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philippe Rommens,21518.0,Center Defensive Midfield,28,Ferencvaros,1476,"['0b3c9521-1bfe-5f02-81f6-a95d426a6011', 'e8ce8bf1-3e91-474c-b005-7e875a7fe36c']",38,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:09:38.602,Carry,
,,,,"[68.2, 36.5]",,,,,,,,,,1.381,,,,,,,,,,,,,,e00020fe-e987-5afd-81d3-bf47e7533bea,344,,,"[65.4, 46.2]",4003742,10,,0.0091362977,0.007532747,0.0016035507,0.0217666775,0.0135963084,0.0081703691,0.0065668183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Toon Raemaekers,43895.0,Right Center Back,28,Ferencvaros,1476,"['31672567-989d-4b62-940b-9afa263801a7', '219288fe-d200-4671-b42a-b7ebefd6253f']",0,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:10:00.583,Carry,
,,,,"[72.0, 27.6]",,,,,,,,,,3.4032399999999905,,,,,,,,,,,,,,3d02847f-9e17-5fca-8fb5-33c5a1f3bac5,347,,,"[71.4, 28.0]",4003742,10,,0.0098670833,0.009848726,1.83573e-05,0.022642402,0.0227792338,-0.0001368318,-0.0001551891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gavriel Gilad Kanichowsky,104036.0,Right Center Midfield,28,Ferencvaros,1476,"['28ed9110-0fff-4732-97e3-f4c774f0fc6e', '5e11f020-8a63-5ce4-8793-3067b26a0400']",3,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:10:03.160,Carry,
,,,,"[63.5, 25.9]",,,,,,,,,,0.8149479999999748,,,,,,,,,,,,,,c374566a-e851-54b3-8474-7c20cab5e8f7,350,,,"[62.8, 25.7]",4003742,10,,0.0093411105,0.0093411105,0.0,0.0206128098,0.0190749969,0.0015378129,0.0015378129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gábor Sándor Szalai,400298.0,Left Center Back,28,Ferencvaros,1476,"['5408073a-5ed9-50be-9572-47270d10fcbd', 'a817fd5b-208d-41cb-9ac5-76c772010bf0']",7,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:10:07.712,Carry,
