,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
917,,,,,,,,,,,,,,,,1.189023999999743,,,,,,,,,,,,8d4b99da-ee0a-49bf-a481-53079464bb0e,3136,,,"[37.8, 76.0]",4003652,83,,0.0065411516,0.0111299139,-0.0045887623,0.008184189,0.0111875217,-0.0030033328,0.0015854295,,,-0.181649,,,Right Foot,,,"[57.4, 72.4]",,Low Pass,,19.93,,,Incomplete,,12.0,Midfield third - Right - Forwards - Short - Ground Pass,0.9866546652,0.5588011742,,,,,,,,,2,From Goal Kick,János Szépe,438562.0,Right Back,193,MTK,2207,"['e311f8bd-1d8f-49c9-bb8b-38900e0d8c9b', '395d576d-01a5-516e-9ee0-bf88317e72b9']",50,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:38:50.233,Pass,
918,,,,,,,,,,,,,,,,1.4926790000000034,,,,,,,,,,,,e311f8bd-1d8f-49c9-bb8b-38900e0d8c9b,3137,,,"[62.7, 7.7]",4003652,83,,0.0092128301,0.0111875217,-0.0019746916,0.0177021045,0.0111299139,0.0065721907,0.0085468823,,,0.1431,,,Head,,,"[77.8, 9.9]",,Low Pass,,15.29,,,,,57.0,Midfield third - Left - Forwards - Short - Ground Pass,0.9706880951,0.5771054626,Arijan Ademi,18879.0,,,,,Recovery,,2,Regular Play,Bence Gergényi,404242.0,Left Back,194,Ujpest,1033,"['4d1f50a6-a938-5896-b84b-0b102b9815ef', '8d4b99da-ee0a-49bf-a481-53079464bb0e']",51,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:38:51.422,Pass,
919,,,,,,,,,,,,,,,,1.3901389999999665,,,,,,,,,,,,97c21027-ec89-4947-bbcf-e95c96985760,3141,,,"[84.2, 2.5]",4003652,83,,0.0089776404,0.0090910019,-0.0001133615,0.0226712227,0.0198835339,0.0027876887,0.0029010503,,,1.284164,,,Right Foot,,,"[86.7, 10.9]",,Low Pass,,8.74,,,,,49.0,Attacking third - Left - Backwards - Short - Ground Pass,0.9739418638,0.5398647785,Krisztofer Horváth,40039.0,,,,,,,2,Regular Play,Arijan Ademi,18879.0,Left Center Midfield,194,Ujpest,1033,"['0cecae3e-6d58-5b79-bf95-9cc03ad64c91', '82197971-103e-590e-8d9b-f500512e0806', 'e8afc566-a78c-47fd-84bb-575dbf66411f']",55,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:38:55.886,Pass,True
920,,,,,,,,,,,,,,,,0.6310159999998286,,,,,,,,,,,,98cb4a08-c3f5-4341-92a2-b99fc583ff65,3144,,,"[91.8, 13.0]",4003652,83,,0.0092197396,0.0087042842,0.0005154554,0.0463056937,0.0265451893,0.0197605044,0.019245049,,,0.444648,,,Right Foot,,,"[93.5, 13.8]",,Low Pass,,1.88,,,Incomplete,,15.0,Attacking third - Left - Forwards - Short - Ground Pass,0.9359240239,0.6201960444,Arijan Ademi,18879.0,,,,,,,2,Regular Play,Krisztofer Horváth,40039.0,Left Wing,194,Ujpest,1033,"['f63b14ad-3a33-5e48-b4fa-3b8480adbca3', '0faf76fa-68c3-41d2-aeb9-49b4e1f67a7c', '314edc87-c2ff-51a3-97d9-2eba1714ceab']",57,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:38:57.700,Pass,
921,,,,,,,,,,,,,,,,0.787436999999918,,,,,,,,,,,,80ab07ef-641b-42de-ba81-320404bc954f,3151,,,"[105.5, 26.7]",4003652,84,,0.0093508931,0.0086656855,0.0006852075,0.1184973866,0.0714182705,0.0470791161,0.0463939086,,,1.580575,f3e37f02-0bf8-46f7-adf8-dcb4f50b54c6,,Right Foot,,,"[105.4, 36.0]",True,Ground Pass,,9.28,,,,,7.0,Attacking third - Left - To right - Short - Ground Pass,0.9894019102,0.6936202049,Krisztofer Horváth,40039.0,,,,,,,2,Regular Play,Arijan Ademi,18879.0,Left Center Midfield,194,Ujpest,1033,"['a0246c92-e337-5009-80af-a328d6cca189', '999c0adf-0866-4009-9183-f6f65e318642', '8b9181fa-dd10-51a5-9811-f706c4c97d41']",0,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:39:00.408,Pass,True
922,,,,,,,,,,,,,,,,1.1721059999996797,,,,,,,,,,,,a6ea7d33-7ecf-40e5-8fba-ac78fb807ab5,3156,,,"[61.0, 40.1]",4003652,85,,0.00900969,0.0096909162,-0.0006812261,0.0207858235,0.0068286974,0.0139571261,0.0146383522,,,0.952404,,,Right Foot,,,"[86.4, 75.8]",,High Pass,,43.81,,,,,,,,0.5478307009,János Szépe,438562.0,,,,,Kick Off,,2,From Kick Off,Marin Jurina,405770.0,Center Forward,195,MTK,2207,['bc658a7c-fe50-55b1-977e-fb72c2882781'],18,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:40:18.874,Pass,
923,,,,,,,,,,,,,,,,4.7108640000000594,,,,,,,,,,,,4eb42da7-5264-400e-a5e2-bcc236a63795,3165,,,"[12.7, 21.9]",4003652,85,,0.0167441387,0.0121091893,0.0046349494,0.0091157602,0.0099148536,-0.0007990934,-0.0054340428,,,-0.456496,,,Left Foot,,,"[47.5, 4.8]",,Low Pass,,38.77,,,Incomplete,,28.0,Defensive third - Left - Forwards - Long - High Pass,0.9401926229,0.4828875065,,,,,,,Recovery,,2,From Kick Off,Tom Lacoux,68861.0,Center Defensive Midfield,195,MTK,2207,['df06bbfb-0bdd-4ead-8a10-558ea8423429'],26,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:40:26.160,Pass,
924,,,,,,,,,,,,,,,,2.1908580000000075,,,,,,,,,,,,e06a7b1b-dc76-4c56-9d71-076d14b2f25a,3168,,,"[72.6, 73.3]",4003652,85,,0.0093845809,0.009185167,0.0001994139,0.0170044452,0.018420998,-0.0014165528,-0.0016159667,,,-2.406597,,,Right Foot,,,"[54.9, 57.3]",,Ground Pass,,23.86,,,,,36.0,Midfield third - Right - Backwards - Short - Ground Pass,0.8017661969,0.9936382174,Tamás Kádár,11050.0,,,,,,,2,From Kick Off,Ilia Beriashvili,404331.0,Right Center Back,195,MTK,2207,"['648308cc-d62f-5f48-b894-3d6d7216e399', 'dbb9b3a1-1cea-56ec-b9ee-b2104c2a9be2']",32,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:40:32.207,Pass,
925,,,,,,,,,,,,,,,,2.275195999999996,,,,,,,,,,,,e17ccd4e-7065-412f-83a7-c05a8b4b0d70,3171,,,"[53.6, 52.8]",4003652,85,,0.0092010377,0.0096628489,-0.0004618112,0.0213870183,0.0171877481,0.0041992702,0.0046610814,,,-1.048705,,,Left Foot,,,"[74.6, 16.3]",,Ground Pass,,42.11,,,,,47.0,Midfield third - Right - To left - Long - Ground Pass,0.7546386859,0.8908689022,Benedek Varju,40491.0,,,,,,,2,From Kick Off,Tamás Kádár,11050.0,Left Center Back,195,MTK,2207,"['9183f2ae-bc3c-5f8f-b964-8b963cc09db2', 'd9726649-7790-5b08-9ae5-b67ca34cfb1e']",37,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:40:37.682,Pass,
926,,,,,,,,,,,,,,,,1.879283999999985,,,,,,,,,,,,ad9165e3-4f47-41a8-8769-621b0e085e69,3174,,,"[71.6, 20.0]",4003652,85,,0.0097220512,0.0092894705,0.0004325807,0.0170498472,0.020909993,-0.0038601458,-0.0042927265,,,2.915236,,,Right Foot,,,"[55.1, 23.8]",,Ground Pass,,16.93,,,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.9376382539,0.9919920564,Jakub Plšek,27608.0,,,,,,,2,From Kick Off,Benedek Varju,40491.0,Left Back,195,MTK,2207,"['3014b280-6ccc-56d2-bccd-e60f1c988951', 'a2d5a517-1230-54b1-abd1-2b869cc2201e']",41,,,,,,,,,,,,,,,,,,,,,,MTK,2207,00:40:41.454,Pass,
