,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
10,,,,,,,,,,,,,,,,2.9063049999999984,,,,,,,,,,,,,,42ca2221-d0d5-4025-bf60-3ce5eb3cda06,16,,"[14.8, 71.7]",4003644,0,,0.0102136806,0.0132978475,-0.0030841669,0.0126288254,0.0083220489,0.0043067764,0.0073909434,,,,-0.171227,,,Right Foot,,,"[76.1, 61.1]",,High Pass,,62.21,,Incomplete,,14.0,Defensive third - Center - Forwards - Long - High Pass,0.8778916367,0.2054456323,Maxsuell Alexandre Alves Soares,428358.0,,,,,,,1,Regular Play,Gergő János Bodnár,247192.0,Right Back,3,Zalaegerszegi TE,2209,"['b411f444-f166-533a-adf8-77f0cf200365', 'bb3b0c02-f355-4e3b-a480-2148a1979cd8', '98449e2f-acf8-502f-b27e-1227a9e38a6b']",13,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:13.168,Pass,
11,,,,,,,,,,,,,,,,0.40364099999999964,,,,,,,,,,,,,,1f68e952-703d-44d1-b318-e9e10500a4aa,24,,"[24.8, 11.5]",4003644,0,,0.0116610695,0.0126288254,-0.0009677559,0.0117135709,0.0102136806,0.0014998903,0.0024676463,True,,,2.026138,,,Right Foot,,,"[18.2, 25.0]",,Ground Pass,,15.08,,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9740410281,0.9928463101,Dominik Kaczvinszki,396417.0,,,,,,,1,Regular Play,Davit Kobouri,46812.0,Left Back,4,Ujpest,1033,['73d68320-9ddd-5487-8a91-a1cda57be5c9'],22,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:22.728,Pass,
12,,,,,,,,,,,,,,,,1.4431840000000011,,,,,,,,,,,,,,69ffa701-590f-430b-8883-05861f994683,26,,"[24.3, 23.2]",4003644,0,,0.0118077667,0.0116610695,0.0001466973,0.0122518707,0.0117135709,0.0005382998,0.0003916025,,,,1.555702,,,Left Foot,,,"[24.7, 47.7]",,Ground Pass,,24.51,,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.4484722434,0.9966949224,João Aniceto Grandela Nunes,7977.0,,,,,,,1,Regular Play,Dominik Kaczvinszki,396417.0,Left Center Back,4,Ujpest,1033,['725b60ea-6e99-57b7-b73a-adeed68a833b'],28,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:28.037,Pass,
13,,,,,,,,,,,,,,,,1.709612000000001,,,,,,,,,,,,,,2ed31151-781e-4e0a-b11a-f21bd3bb399e,29,,"[25.8, 49.2]",4003644,0,,0.0152976541,0.0127055906,0.0025920635,0.0085003087,0.0123905344,-0.0038902257,-0.0064822892,,,,-1.713275,,,Right Foot,,,"[22.0, 22.7]",,Low Pass,,26.76,,,,6.0,Defensive third - Center - To left - Short - Ground Pass,0.3648104496,0.9584752321,Dominik Kaczvinszki,396417.0,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,4,Ujpest,1033,"['f08c5bf3-6589-58f8-9224-ea545e5f8b4c', '7aed6880-0280-554d-96ed-055839190209']",32,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:32.438,Pass,
14,,,,,,,,,,,,,,,,1.191858,,,,,,,,,,,,,,984fca52-d3b2-41cb-ab47-d4464adb14a4,33,,"[18.8, 20.9]",4003644,0,,0.0121690352,0.0124029694,-0.0002339343,0.0101956539,0.010925645,-0.0007299911,-0.0004960569,,,,-0.51458,,,Left Foot,,,"[34.2, 12.2]",,Ground Pass,,17.66,,,,50.0,Defensive third - Left - Forwards - Short - Ground Pass,0.9843274935,0.9096765518,Davit Kobouri,46812.0,,,,,,,1,Regular Play,Dominik Kaczvinszki,396417.0,Left Center Back,4,Ujpest,1033,"['47840c7a-1ad0-5d1b-b9c4-39e39e830105', '9a74b677-b3a1-56df-89b2-71d5890e3abf']",35,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:35.665,Pass,
15,,,,,,,,,,,,,,,,0.9051679999999979,,,,,,,,,,,,,,48b00fdc-7152-41ba-9587-f5245d6c5ebe,37,,"[36.0, 6.7]",4003644,0,,0.0104181608,0.0113086989,-0.0008905381,0.0138042616,0.01081324,0.0029910216,0.0038815597,,,,0.443234,,,Left Foot,,,"[45.5, 11.2]",,Ground Pass,,10.52,,,,19.0,Midfield third - Left - Forwards - Short - Ground Pass,0.8719859837,0.8805267215,Krisztofer Horváth,40039.0,,,,,,,1,Regular Play,Davit Kobouri,46812.0,Left Back,4,Ujpest,1033,"['bee14955-dfdb-572f-af54-3768553175ec', '1f1a3c95-cc94-533a-b960-8a6d3cf2f5d8']",38,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:38.087,Pass,
16,,,,,,,,,,,,,,,,1.238112000000001,,,,,,,,,,,,,,4c4b3dd2-7087-4108-b04a-edfde606ce78,40,,"[45.5, 11.2]",4003644,0,,0.010795719,0.0104181608,0.0003775582,0.0124583561,0.0138042616,-0.0013459055,-0.0017234636,,,,2.445872,,,Right Foot,,,"[37.5, 17.9]",,Ground Pass,,10.42,,Incomplete,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9988068475,0.972538352,Davit Kobouri,46812.0,,,,,,,1,Regular Play,Krisztofer Horváth,40039.0,Left Wing,4,Ujpest,1033,"['63ff8dd6-a43e-4de6-bcbf-7665ce3c89d3', 'd13bcbe2-f87e-521a-9bb9-b897af8dd484']",38,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:38.992,Pass,
17,,,,,,,,,,,,,,,,0.8385480000000025,,,,,,,,,,,,,,4cdcea61-462d-40a0-90c7-0096293afe48,43,,"[35.0, 16.4]",4003644,0,,0.0117979227,0.0253221821,-0.0135242594,0.0118361153,0.0093778232,0.0024582921,0.0159825515,,,,2.926633,,,Left Foot,,,"[29.0, 17.7]",,Ground Pass,,6.14,,,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9205872115,0.9760447741,Dominik Kaczvinszki,396417.0,,,,,Recovery,,1,Regular Play,Davit Kobouri,46812.0,Left Back,4,Ujpest,1033,['7da0a49b-29de-5ce9-a5ef-e694f7594d77'],41,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:41.990,Pass,
18,,,,,,,,,,,,,,,,1.2976740000000064,,,,,,,,,,,,,,14b693a8-1c0b-405e-848b-b8fe4eea1e74,46,,"[26.7, 19.0]",4003644,0,,0.0113900285,0.0119492868,-0.0005592583,0.0131773008,0.011735932,0.0014413688,0.0020006271,,,,1.496302,,,Left Foot,,,"[28.8, 47.5]",,Ground Pass,,28.62,,,,45.0,Midfield third - Center - To right - Short - Ground Pass,0.61947893,0.9957648516,João Aniceto Grandela Nunes,7977.0,,,,,,,1,Regular Play,Dominik Kaczvinszki,396417.0,Left Center Back,4,Ujpest,1033,"['bd4f3472-1af0-553d-96b2-8db82184090b', 'f4113777-68b5-5061-aa77-8b635c7234cd']",44,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:44.419,Pass,
19,,,,,,,,,,,,,,,,1.0455299999999987,,,,,,,,,,,,,,535680d0-cccd-4682-8bb6-9e2b92d63afe,49,,"[35.0, 55.9]",4003644,0,,0.0111114345,0.0106209377,0.0004904969,0.0130431214,0.0138636874,-0.000820566,-0.0013110628,,,,-2.01548,,,Right Foot,,,"[28.0, 41.2]",,Ground Pass,,16.27,,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.5639824036,0.9945863485,Tom Lacoux,68861.0,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,4,Ujpest,1033,"['3a687552-ed1b-5114-8a51-a63d0da553b9', 'cc547dc0-2f5a-56d4-999e-8e06892c8151']",50,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:50.156,Pass,
