2026-01-20 22:28:53,881 - __main__ - INFO - ================================================================================
2026-01-20 22:28:53,881 - __main__ - INFO - Starting TransferRoom Data Ingestion
2026-01-20 22:28:53,881 - __main__ - INFO - ================================================================================
2026-01-20 22:28:53,881 - __main__ - INFO - Ingesting players from API...
2026-01-20 22:28:53,881 - __main__ - INFO - Starting players ingestion from API...
2026-01-20 22:28:53,892 - __main__ - INFO - Started sync run 10 for players
2026-01-20 22:29:07,081 - __main__ - INFO -   ✓ Processed 5200 players (inserted: 5200, failed: 0)
2026-01-20 22:29:07,173 - __main__ - INFO -   ✓ Processed 5300 players (inserted: 5300, failed: 0)
2026-01-20 22:29:07,287 - __main__ - INFO -   ✓ Processed 5400 players (inserted: 5400, failed: 0)
2026-01-20 22:29:07,395 - __main__ - INFO -   ✓ Processed 5500 players (inserted: 5500, failed: 0)
2026-01-20 22:29:07,540 - __main__ - INFO -   ✓ Processed 5600 players (inserted: 5600, failed: 0)
2026-01-20 22:29:07,734 - __main__ - INFO -   ✓ Processed 5700 players (inserted: 5700, failed: 0)
2026-01-20 22:29:07,901 - __main__ - INFO -   ✓ Processed 5800 players (inserted: 5800, failed: 0)
2026-01-20 22:29:08,054 - __main__ - INFO -   ✓ Processed 5900 players (inserted: 5900, failed: 0)
2026-01-20 22:29:08,233 - __main__ - INFO -   ✓ Processed 6000 players (inserted: 6000, failed: 0)
2026-01-20 22:29:08,446 - __main__ - INFO -   ✓ Processed 6100 players (inserted: 6100, failed: 0)
2026-01-20 22:29:08,668 - __main__ - INFO -   ✓ Processed 6200 players (inserted: 6200, failed: 0)
2026-01-20 22:29:08,774 - __main__ - INFO -   ✓ Processed 6300 players (inserted: 6300, failed: 0)
2026-01-20 22:29:08,921 - __main__ - INFO -   ✓ Processed 6400 players (inserted: 6400, failed: 0)
2026-01-20 22:29:09,067 - __main__ - INFO -   ✓ Processed 6500 players (inserted: 6500, failed: 0)
2026-01-20 22:29:09,229 - __main__ - INFO -   ✓ Processed 6600 players (inserted: 6600, failed: 0)
2026-01-20 22:29:09,418 - __main__ - INFO -   ✓ Processed 6700 players (inserted: 6700, failed: 0)
2026-01-20 22:29:09,573 - __main__ - INFO -   ✓ Processed 6800 players (inserted: 6800, failed: 0)
2026-01-20 22:29:09,784 - __main__ - INFO -   ✓ Processed 6900 players (inserted: 6900, failed: 0)
2026-01-20 22:29:09,972 - __main__ - INFO -   ✓ Processed 7000 players (inserted: 7000, failed: 0)
2026-01-20 22:29:10,142 - __main__ - INFO -   ✓ Processed 7100 players (inserted: 7100, failed: 0)
