,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
45,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,5f4b86ff-f6ca-43d6-8a29-3c85c42ffac6,135,,,"[76.5, 3.0]",4003632,3,0.0092486069,0.009269773,-2.11662e-05,0.0191427898,0.0186464954,0.0004962943,0.0005174605,,,,2.051428,,,Left Foot,,,"[68.8, 17.7]",,Ground Pass,,16.59,,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.955815906,0.9821903706,Balázs Balogh,404305.0,,,,,,,1,From Keeper,Márió Zeke,404204.0,Left Wing Back,14,Paksi FC,2160,"['814e2fd6-1e09-59aa-bbbc-c34fd783c6a5', '82c2280d-4d08-52e1-a5b1-cc4f4319efb3']",42,,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:03:42.620,Pass,
46,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,930a965f-1980-43ce-8b09-9ed036cbcfac,138,,,"[63.5, 20.2]",4003632,3,0.0095218513,0.0093818195,0.0001400318,0.019927796,0.0184116233,0.0015161727,0.0013761409,,,,1.710997,,,Right Foot,,,"[61.2, 36.7]",,Ground Pass,,16.67,,,,22.0,Midfield third - Center - To right - Short - Ground Pass,0.540892345,0.9875376821,Ákos Kinyik,404288.0,,,,,,,1,From Keeper,Balázs Balogh,404305.0,Center Defensive Midfield,14,Paksi FC,2160,"['5b29d8b4-53f9-5bea-a98f-7dedc1804dbb', 'd34df093-d783-5940-8f4b-c225f1f13836']",46,,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:03:46.620,Pass,
47,,,,,,,,,,,,,,,,,,,2.812606,,,,,,,,,,,,,,,31e68117-f0bb-4c5d-8d6b-f42525961c9b,141,,,"[66.5, 39.2]",4003632,3,0.0084296092,0.0097789438,-0.0013493346,0.0256420206,0.0218930226,0.003748998,0.0050983327,,,,-0.874405,,,Right Foot,,,"[92.8, 7.7]",,High Pass,,41.05,,,,0.0,Midfield third - Center - To left - Short - Ground Pass,0.5668897298,0.7030844688,Márió Zeke,404204.0,,,,,,,1,From Keeper,Ákos Kinyik,404288.0,Center Back,14,Paksi FC,2160,"['9cbe4c7c-2452-53ca-8f23-f6c144365e89', '94efe3f6-0873-5296-a0b9-48bee5d865e7']",50,,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:03:50.009,Pass,
48,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,83086d2e-f1ee-40f0-b28c-f16907c96c2c,144,,,"[97.8, 14.5]",4003632,3,0.0093438635,0.0088144457,0.0005294178,0.0361349545,0.0289228447,0.0072121099,0.0066826921,,,,1.941479,,,Left Foot,,,"[91.5, 30.7]",,Ground Pass,,17.39,,,,49.0,Attacking third - Left - Backwards - Short - Ground Pass,0.6915860556,0.9262292385,Gergő Gyurkits,439968.0,,,,,,,1,From Keeper,Márió Zeke,404204.0,Left Wing Back,14,Paksi FC,2160,"['4c43a03b-9732-5e1d-af36-4d88ef97a0c2', '7bcec193-c66b-5cf2-a799-e084d083557f']",55,,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:03:55.222,Pass,
49,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,829dc594-d6b7-477e-8ca5-d707a66dbdca,147,,,"[92.5, 33.9]",4003632,3,0.0086298138,0.0085974466,3.23672e-05,0.029787574,0.0410630181,-0.0112754442,-0.0113078114,,,,1.664831,,,Right Foot,,,"[89.8, 62.2]",,Ground Pass,,28.44,,,,8.0,Midfield third - Center - To right - Short - Ground Pass,0.7277219084,0.9462713003,Bence Lenzsér,404299.0,,,,,,,1,From Keeper,Gergő Gyurkits,439968.0,Left Center Midfield,14,Paksi FC,2160,"['75d0d5fa-9386-5580-9bd3-5b6c43fb5841', 'eb11a285-6baa-5c9b-911a-f5a0017beee3']",58,,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:03:58.022,Pass,
50,,,,,,,,,,,,,,,,,,,1.9168010000000069,,,,,,,,,,,,,,,408026b9-8eff-43d2-8f3e-38ec8295e295,150,,,"[97.2, 63.0]",4003632,4,0.0088338805,0.0085606659,0.0002732147,0.0466025509,0.032188803,0.0144137479,0.0141405333,,,,-1.043739,,,Right Foot,True,,"[112.5, 36.7]",,High Pass,,30.42,,Incomplete,,40.0,Attacking third - Right - To left - Short - High Pass,0.9997594297,0.2476061732,János Csaba Hahn,135987.0,,,,,,0.119380176,1,From Keeper,Bence Lenzsér,404299.0,Right Center Back,14,Paksi FC,2160,"['b09cea6b-aaa4-4c5a-ae4d-c63a4472fd53', '7fb8cdef-4095-5a87-99bf-566488c21174', '973f9848-d0b1-52e2-9912-8a26a66ae34b']",0,,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:04:00.995,Pass,
51,,,,,,,,,,,,,,,,,,,0.5191680000000051,,,,,,,,,,,,,,,274b33ca-0931-4980-9239-adccafb0aa32,155,,,"[110.7, 19.5]",4003632,4,0.0096883345,0.0090126107,0.0006757239,0.03012757,0.0509793311,-0.0208517611,-0.021527485,,,,1.588636,,,Left Foot,True,,"[110.5, 30.7]",,High Pass,,11.21,,Incomplete,,7.0,Attacking third - Left - To right - Short - Ground Pass,0.9993387101,0.2624653876,János Csaba Hahn,135987.0,,,,,,0.0007048317,1,From Keeper,Márió Zeke,404204.0,Left Wing Back,14,Paksi FC,2160,"['b5647562-ff93-56f1-bb81-7617586be7b2', '28f31283-53c5-46af-a95b-5b6f315cefb3', '5ed6ebb3-2cd7-5453-87f0-c59d81fa8882']",6,,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:04:06.466,Pass,
52,,,,,,,,,,,,,,,,,,,0.15420100000000092,,,,,,,,,,,,,,,1b45daa7-99ec-461d-a9e5-43657f43ee32,162,,,"[85.8, 43.2]",4003632,4,0.0125072319,0.0095211724,0.0029860595,0.0108361188,0.0306557175,-0.0198195986,-0.0228056582,,,,0.3274,,,Left Foot,,,"[86.3, 43.4]",,Low Pass,,0.56,,Incomplete,,2.0,Attacking third - Center - To right - Short - Ground Pass,0.8415878231,0.7990063429,Kristóf Hinora,101839.0,,,,,,,1,From Keeper,Balázs Balogh,404305.0,Center Defensive Midfield,14,Paksi FC,2160,"['7dcc2a2f-c14f-4d2f-889e-f1e5b6c0a33f', '8984d010-9dca-5849-b4fb-1a3cecdad953', 'b859ea25-8c87-47d6-8693-b2edf9539015', '81487348-0419-5d76-888e-06fdcd01ca6d']",12,,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:04:12.371,Pass,True
53,,,,,,,,,,,,,,,,,,,2.9864419999999807,,,,,,,,,,,,,,,b8ed0d40-2e86-48b1-b49b-3be7aa2e0adc,167,,,"[37.3, 15.9]",4003632,4,0.0100468518,0.0105025619,-0.0004557101,0.0130938469,0.013094347,-5.001e-07,0.00045521,,,,-0.39257,,,Right Foot,,,"[62.9, 5.3]",,Ground Pass,,27.71,,,,30.0,Midfield third - Center - To left - Short - Ground Pass,0.6897346615,0.9156381488,Mátyás Tajti,35313.0,,,,,,,1,Regular Play,Giorgi Beridze,28763.0,Center Forward,15,Ujpest,1033,"['a12b21f4-2e0c-5e31-9f31-9b5d5a2405d1', 'f1695788-cd93-51b4-9d8e-3584554ec439']",16,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:16.331,Pass,
54,,,,,,,,,,,,,,,,,,,2.3999969999999737,,,,,,,,,,,,,,,bbedc4fd-eb03-4499-8d2d-d57fb85a3ded,172,,,"[64.3, 0.1]",4003632,4,0.0101575023,0.0089954045,0.0011620978,0.0138639677,0.0114418473,0.0024221204,0.0012600226,,,,2.649279,,,,,,"[42.3, 11.9]",,Low Pass,,24.96,,,,,,,0.9975243211,João Aniceto Grandela Nunes,7977.0,,,,,Throw-in,,1,From Throw In,Krisztián Tamás,348792.0,Left Back,16,Ujpest,1033,['74a1fa79-837a-5242-a605-4723efa4e85f'],36,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:04:36.432,Pass,
