,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
1720,,,,,,,"[73.3, 70.2]",,,,,,,,,,,0.541,,,,,,,,,,,,,,8d5788e7-fc93-52ec-84d3-9f012231ae24,617,,,"[70.7, 69.6]",4003641,19,,0.0091751656,0.0089914091,0.0001837565,0.0184697919,0.0191356689,-0.000665877,-0.0008496335,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mátyás Tajti,35313.0,Center Attacking Midfield,62,Ujpest,1033,"['1fa60d67-d86f-5194-befd-b6a79ecff26e', '04559c1f-773e-5c89-889a-5a6551552f0d']",57,,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:19:57.512,Carry,
1721,,,,,,,"[34.5, 21.3]",,,,,,,,,,,1.552,,,,,,,,,,,,,,37efedeb-719a-51f4-ac32-215858ef14cf,620,,,"[35.7, 19.5]",4003641,19,,0.0106274681,0.0107509941,-0.000123526,0.0127297239,0.0130370641,-0.0003073402,-0.0001838142,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martin Chlumecký,131284.0,Left Center Back,63,Kisvárda,2484,"['5bb0e0d1-da74-5d27-8d36-933f0f3fed76', 'e38d4f63-3ebe-507c-8677-010bee0e6fe1']",59,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:19:59.070,Carry,
1722,,,,,,,"[56.8, 67.1]",,,,,,,,,,,3.264,,,,,,,,,,,,,,9bb34706-500e-51aa-9bfe-90317b9126cb,623,,,"[44.0, 63.8]",4003641,20,,0.0096941423,0.0104208356,-0.0007266933,0.0162145123,0.0147240609,0.0014904514,0.0022171447,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Krisztián Nagy,404977.0,Right Center Midfield,63,Kisvárda,2484,"['f92de825-7bde-5751-9455-588da68395c7', 'ce531313-57b6-54f1-b9f2-a061910761c9']",2,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:20:02.928,Carry,
1723,,,,,,,"[70.2, 63.0]",,,,,,,,,,,5.424,,,,,,,,,,,,,,7cfc062f-8010-58f6-b452-b81791d1dff5,626,,,"[75.2, 75.6]",4003641,20,,0.0098407781,0.0089068236,0.0009339545,0.0195177738,0.0160522219,0.0034655519,0.0025315974,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gábor Molnár Horváth,405806.0,Center Attacking Midfield,63,Kisvárda,2484,"['ed5fa119-0d23-5ba6-b058-410ed6e48697', 'be92d764-ac75-517c-ba14-e477da206577', '887f2f58-b4a6-5857-9506-845018e9f8c0']",7,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:20:07.736,Carry,True
1724,,,,,,,"[83.4, 38.4]",,,,,,,,,,,5.657,,,,,,,,,,,,,,1ecce714-82df-594d-b56d-e6bc1754b3ff,630,,,"[71.6, 36.0]",4003641,20,,0.0090531511,0.0095210876,-0.0004679365,0.0284619313,0.0231213849,0.0053405464,0.0058084829,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bohdan Melnyk,406296.0,Left Center Midfield,63,Kisvárda,2484,"['4b544702-191f-5e25-9db2-fe1ae8321246', '21d24a88-beba-5ef8-ae7f-3f3b9437856f']",14,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:20:14.049,Carry,
1725,,,,,,,"[106.4, 11.5]",,,,,,,,,,,0.329,,,,,,,,,,,,,,02a5b061-5cc0-5730-9ef4-9d79d561d15c,642,,,"[108.9, 6.3]",4003641,20,,0.0084708808,0.0084477756,2.31052e-05,0.0330252647,0.0285315588,0.0044937059,0.0044706007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Krisztián Nagy,404977.0,Right Center Midfield,64,Kisvárda,2484,"['eea46e80-1b2f-5610-97bd-da5ce38eb176', 'e20f43b7-f8ae-5cc6-8edb-3c6cea8103bd']",58,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:20:58.931,Carry,
1726,,,,,,,"[38.8, 65.3]",,,,,,,,,,,0.424,,,,,,,,,,,,,,ba115478-e0e8-5fdb-9aa8-2cbb56d1412a,655,,,"[38.8, 65.5]",4003641,21,,0.0106398696,0.0106398696,0.0,0.0129786115,0.0129786115,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aleksandar Jovičić,28394.0,Right Center Back,66,Kisvárda,2484,"['afbfbe50-3d3c-5b4e-bece-0593562d4d69', 'f4c2e397-f2c2-51c5-bd88-b31b271ab64b']",19,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:19.211,Carry,
1727,,,,,,,"[47.3, 62.0]",,,,,,,,,,,1.008,,,,,,,,,,,,,,d7a9ee19-d9ba-5c5c-822e-27962c3bbbfa,658,,,"[47.0, 61.6]",4003641,21,,0.0104812942,0.0107213315,-0.0002400372,0.0147213917,0.015197332,-0.0004759403,-0.0002359031,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abdulrasaq Ridwan Popoola,484631.0,Center Defensive Midfield,66,Kisvárda,2484,"['ba546304-a345-5e8c-806a-c9525093f93f', 'd0545807-ac9b-53e1-b4a3-0c5c77d75da4']",20,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:20.159,Carry,
1728,,,,,,,"[59.8, 52.8]",,,,,,,,,,,2.202,,,,,,,,,,,,,,6b51337d-de19-525b-8cb8-0f8fd897b418,661,,,"[60.8, 58.6]",4003641,21,,0.009411349,0.0096348803,-0.0002235314,0.0186767597,0.0181885473,0.0004882123,0.0007117437,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gábor Molnár Horváth,405806.0,Center Attacking Midfield,66,Kisvárda,2484,"['bd669f05-e65b-506e-affc-5d66e028f208', '212d0d61-42e5-5ac8-91b3-b1daf0aeafa8']",22,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:22.273,Carry,
1729,,,,,,,"[53.6, 60.6]",,,,,,,,,,,1.183,,,,,,,,,,,,,,608f0173-39e3-5336-8b1a-3f7d4ece0e7b,664,,,"[53.4, 60.3]",4003641,21,,0.0098956851,0.0098956851,0.0,0.0172657408,0.0172681343,-2.3935e-06,-2.3935e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abdulrasaq Ridwan Popoola,484631.0,Center Defensive Midfield,66,Kisvárda,2484,"['76d03895-5959-558f-8de8-8e4c233f2335', 'c33ce799-fb2b-57f6-ac6b-b202044da736']",25,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:25.361,Carry,
