bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.5949609999999956,,,,,,,,,,,,,374d3135-3542-4606-a22b-c6c3d16e72cc,14,,,"[44.5, 11.0]",4003574,0,,0.0157229137,0.0123789925,0.0033439212,0.0106585678,0.0067350939,0.0039234739,0.0005795527,,,True,0.139913,,,Head,,,,"[56.5, 12.7]",,High Pass,,12.12,,Incomplete,,19.0,Midfield third - Left - Forwards - Short - Ground Pass,0.9971448566,0.524507761,Giorgi Beridze,28763.0,,,,,,1,From Throw In,Gleofilo Sabrino Rudewald Vlijter,103341.0,Center Forward,3,Ujpest,1033,"['984985e0-65a7-5690-8a47-179696a8d9f3', '7ba2ffc5-d686-5638-995b-ea9b0c62a2f7', '5b76ed7f-d966-4c4e-89de-adc4c8e3bff6']",31,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:31.544,Pass,True
,,,,,,,,,,,,,,,,0.9545439999999944,,,,,,,,,,,,,1660aeeb-341b-4564-b7e2-7e4ddbe6f12a,20,,,"[64.4, 64.4]",4003574,0,,0.0098378565,0.0100131501,-0.0001752935,0.0153211458,0.0156203816,-0.0002992358,-0.0001239423,,,,1.6517,,,Left Foot,,,,"[64.1, 68.1]",,Ground Pass,,3.71,,,,23.0,Midfield third - Right - Backwards - Short - Ground Pass,0.9813299042,0.9296459556,Branimir Cipetić,46426.0,,,,,,1,Regular Play,Bernardo Matić,130709.0,Center Back,4,Kisvárda,2484,"['0ed4d45e-cb29-5a5d-b5c9-3078103ba740', 'df8b4c3b-abc5-4281-a682-7d8b499eea8d', '16b7b903-469d-5a5b-858d-a9fe0eb295a9']",35,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:00:35.135,Pass,True
,,,,,,,,,,,,,,,,1.2693219999999998,,,,,,,,,,,,,4bf373a3-0ddf-464a-b0cf-5e2d703c366e,24,,,"[65.4, 75.4]",4003574,0,,0.008687526,0.0098709641,-0.0011834381,0.0151305301,0.0137938596,0.0013366705,0.0025201086,,,,0.413,,,Right Foot,,,,"[74.3, 79.3]",,Ground Pass,,9.72,,,,17.0,Midfield third - Right - Forwards - Short - Ground Pass,0.9842828224,0.8650417328,Bence Balazs Bíró,101836.0,,,,,,1,Regular Play,Branimir Cipetić,46426.0,Right Center Back,4,Kisvárda,2484,"['ae346cf5-76f5-5ec1-ad83-653479fc92b8', '6a5e90be-0967-5438-9897-8d89151edf3a', '7238ad24-59a1-4b04-9007-6128e660c33d']",37,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:00:37.144,Pass,True
,,,,,,,,,,,,,,,,3.267040000000001,,,,,,,,,,,,,97edb127-f528-413f-b9aa-9983132a154b,28,,,"[77.9, 76.9]",4003574,0,,0.0036026428,0.0086414935,-0.0050388507,0.0120897545,0.0167953931,-0.0047056386,0.0003332121,,True,,0.102207,,,Right Foot,,,,"[109.1, 80.1]",,Ground Pass,,31.36,,Out,,20.0,Midfield third - Right - Forwards - Short - High Pass,0.987479445,0.6857486367,,,,,,,,1,Regular Play,Bence Balazs Bíró,101836.0,Right Wing Back,4,Kisvárda,2484,"['c43faac4-c552-56cf-bea0-7a52cac8097f', 'ebabe504-3972-4d6d-9aac-fb92288c1fa4']",39,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:00:39.840,Pass,True
,,,,,,,,,,,,,,,,1.3104330000000044,,,,,,,,,,,,,6286f630-247d-464b-9536-bfe3f23e6ff6,29,,,"[10.2, 0.1]",4003574,1,,0.0124555649,0.0120897545,0.0003658105,0.0070720711,0.0036026428,0.0034694283,0.0031036178,,,,0.655398,,,,,,,"[18.3, 6.4]",,Low Pass,,10.25,,,,,,,0.9783705473,Arijan Ademi,18879.0,,,,Throw-in,,1,From Throw In,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,5,Ujpest,1033,['3168e949-2145-5b72-aa7d-6c3f9c9f8644'],4,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:04.005,Pass,
,,,,,,,,,,,,,,,,0.6120589999999938,,,,,,,,,,,,,f77b440b-a1df-4c73-8188-309450de0428,32,,,"[13.8, 8.2]",4003574,1,,0.0138711864,0.0133404033,0.0005307831,0.006157029,0.0082557667,-0.0020987378,-0.0026295208,,,,-1.138389,,,Right Foot,,,,"[16.5, 2.4]",,Ground Pass,,6.44,,,,50.0,Defensive third - Left - Forwards - Short - Ground Pass,0.996875332,0.8232428432,Tiago Lisboa Silva Gonçalves,418965.0,,,,,,1,From Throw In,Arijan Ademi,18879.0,Left Defensive Midfield,5,Ujpest,1033,"['47bb824e-7cbf-5ee6-afaf-824b050ba3b3', '2fec3ea0-f619-5ff8-ab4a-5fe9800d6a59']",5,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:05.646,Pass,
,,,,,,,,,,,,,,,,2.1768789999999862,,,,,,,,,,,,,8e9dedce-5ed3-401d-a1bd-d5e000ebd314,36,,,"[19.7, 6.0]",4003574,1,,0.0119075915,0.0133563858,-0.0014487943,0.0085473889,0.0064645191,0.0020828699,0.0035316641,,,,2.247658,,,Left Foot,,,,"[8.2, 20.4]",,Ground Pass,,18.41,,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9976436105,0.9862126112,André Lourenço Duarte,132838.0,,,,,,1,From Throw In,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,5,Ujpest,1033,"['60bddb94-500c-5a8a-bde5-a97ef0e266cd', '132a8c61-47a5-5e65-82c9-58821632cb18', '39bbf99b-509c-4607-be97-cb46753c0fbf']",7,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:07.934,Pass,True
,,,,,,,,,,,,,,,,1.3638660000000091,,,,,,,,,,,,,12e825af-cb9b-47ee-a27d-417cc9555aa2,39,,,"[9.3, 21.0]",4003574,1,,0.0118416036,0.0123588257,-0.0005172221,0.0093627078,0.0085473889,0.0008153189,0.001332541,,,,-0.533604,,,Right Foot,,,,"[31.8, 7.7]",,Ground Pass,,26.17,,,,6.0,Defensive third - Center - To left - Short - Ground Pass,0.483798964,0.9222612381,Arijan Ademi,18879.0,,,,,,1,From Throw In,André Lourenço Duarte,132838.0,Left Center Back,5,Ujpest,1033,"['7c40fea3-b47a-5530-8fb4-4bf59b6c852f', '5e670c05-1e59-5f89-b6c0-1c47486a213a']",11,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:11.074,Pass,
,,,,,,,,,,,,,,,,1.2086570000000063,,,,,,,,,,,,,862eceac-1747-427c-a1cd-23e0ad12f48e,45,,,"[53.0, 0.1]",4003574,1,,0.0114880586,0.009926999,0.0015610596,0.0112485746,0.0097200125,0.001528562,-3.24976e-05,,,,2.740412,,,,,,,"[31.8, 9.1]",,Low Pass,,23.0,,,,,,,0.9976309538,André Lourenço Duarte,132838.0,,,,Throw-in,,1,From Throw In,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,6,Ujpest,1033,['6b3849eb-cffc-519e-8f68-a09b1cda9040'],20,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:20.745,Pass,
,,,,,,,,,,,,,,,,1.0741820000000006,,,,,,,,,,,,,e6dc2e44-e5d1-4855-ae5f-f5d83f29309b,48,,,"[31.8, 9.1]",4003574,1,,0.0115237497,0.0114880586,3.56911e-05,0.0110900719,0.0112485746,-0.0001585027,-0.0001941938,,,,-0.118737,,,Right Foot,,,,"[37.5, 8.4]",,Ground Pass,,5.74,,,,50.0,Defensive third - Left - Forwards - Short - Ground Pass,0.9348885527,0.924335897,Arijan Ademi,18879.0,,,,,,1,From Throw In,André Lourenço Duarte,132838.0,Left Center Back,6,Ujpest,1033,"['93f4e6fe-b3ae-5b64-bd7a-590fc975ec40', '2de80f77-7cb6-58d5-b699-ff1960f43d37']",21,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:21.954,Pass,
,,,,,,,,,,,,,,,,2.930979999999996,,,,,,,,,,,,,19c5b426-5a1c-46c6-9acf-3c43abc98d3d,51,,,"[57.8, 16.8]",4003574,1,,0.0095776701,0.0094982171,7.9453e-05,0.0175859351,0.0169701017,0.0006158333,0.0005363803,,,,1.59033,,,Right Foot,,,,"[57.0, 57.8]",,Ground Pass,,40.96,,,,29.0,Midfield third - Left - To right - Long - Ground Pass,0.9786242915,0.9877553582,João Aniceto Grandela Nunes,7977.0,,True,,,,1,From Throw In,Arijan Ademi,18879.0,Left Defensive Midfield,6,Ujpest,1033,"['99221d88-bb11-5785-ae74-e3498e106317', 'cffad4e5-d3c2-5449-986c-0210b9fa6c73']",29,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:29.699,Pass,
