50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[28.8, 16.4]",,,,,,,,,,,,,,0.00014299999992363154,,,,,,,,,,,,,,,4db2521d-d1c3-521d-b00a-cb21ff730572,735,,"[28.8, 16.4]",4003688,33,0.011822626,0.011822626,0.0,0.011873154,0.011873154,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matija Ljujić,10837.0,Left Defensive Midfield,56,Ujpest,1033,"['b92ea52a-701e-4073-8d46-5cdcb0485eb4', '68c4fae1-21be-5ec9-a1c7-f5d7df087f2c']",51,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:33:51.454,Carry,
,,,,,,"[70.9, 76.4]",,,,,,,,,,,,,,1.532,,,,,,,,,,,,,,,0b01a55f-56e9-541d-9198-5346deb8863a,738,,"[66.8, 72.2]",4003688,33,0.0091157602,0.011873154,-0.0027573938,0.0171608496,0.011822626,0.0053382237,0.0080956174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lirim Kastrati,103001.0,Right Wing Back,57,Diósgyőr,2212,"['c116c685-4c2d-4657-a1c3-91fbcd3a70bc', '56a36017-5464-4d0b-9e8e-a0481b07d0a5', 'e3bd9372-efa5-4f70-9194-d7a23c28ccf9']",53,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:33:53.024,Carry,True
,,,,,,"[43.3, 38.1]",,,,,,,,,,,,,,1.268,,,,,,,,,,,,,,,a65f0ac0-d31d-59cb-819e-8cec93326ee6,744,,"[44.6, 34.9]",4003688,34,0.0097442036,0.0076063811,0.0021378226,0.0148997838,0.0157185756,-0.0008187918,-0.0029566144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bence Zsolt Bárdos,404178.0,Left Center Back,57,Diósgyőr,2212,"['30d82fec-e467-4330-83d4-c288ec37a7e8', 'c193ed1d-d9c8-4da4-8c79-ed6b301d5744']",2,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:34:02.523,Carry,
,,,,,,"[10.4, 54.4]",,,,,,,,,,,,,,1.1264660000000148,,,,,,,,,,,,,,,a9ab7474-f9ff-5477-a81b-3f5280fdd024,748,,"[12.8, 51.7]",4003688,34,0.0121164424,0.0149248391,-0.0028083967,0.0085688569,0.0076227831,0.0009460738,0.0037544705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Karlo Sentić,41382.0,Goalkeeper,57,Diósgyőr,2212,"['118e42bf-5b97-490a-a3d5-40e56498fa4f', '732f8b73-4c24-51c7-ac0d-1717b65479c7', '814b0073-2142-4c54-a697-820b5bdd103d']",6,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:34:06.465,Carry,True
,,,,,,"[77.5, 19.4]",,,,,,,,,,,,,,3.057361999999965,,,,,,,,,,,,,,,827a2fd5-b27d-5b12-b1c8-ad9bb50faed8,755,,"[74.8, 23.4]",4003688,34,0.0086113373,0.0109603368,-0.0023489995,0.0219620913,0.0201807488,0.0017813426,0.004130342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Fran Brodić,130597.0,Right Center Forward,58,Ujpest,1033,"['ed201d67-d478-5834-a3ec-145d9e7434d1', 'fb57c8f7-d1ac-5a93-89e3-b3755edfea91', '74eb900a-c31f-4fc1-9c6c-44fe0c32e1c1']",19,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:34:19.641,Carry,True
,,,,,,"[88.2, 14.9]",,,,,,,,,,,,,,0.5622689999998547,,,,,,,,,,,,,,,fa3e7fc4-7bef-5073-ae11-f914ee384706,775,,"[88.8, 14.2]",4003688,35,0.0090010082,0.0089591583,4.18499e-05,0.0268846639,0.0275548957,-0.0006702319,-0.0007120818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fran Brodić,130597.0,Right Center Forward,61,Ujpest,1033,"['f29005ff-9803-4c7f-ac04-32448ca053a4', 'f5924003-6269-5cfe-9bf6-c680e571eab2']",22,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:35:22.428,Carry,
,,,,,,"[84.0, 17.5]",,,,,,,,,,,,,,0.9305729999998584,,,,,,,,,,,,,,,8b844183-ec54-538b-b1a3-3bd8c6b6ea34,778,,"[85.7, 18.7]",4003688,35,0.009133609,0.0093898801,-0.0002562711,0.0252749156,0.0242953058,0.0009796098,0.0012358809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nejc Gradišar,425452.0,Left Center Forward,61,Ujpest,1033,"['446d102f-1a21-56ed-be1f-d58d61483f9e', '02fa4c11-e6af-4b1b-b808-216c77e590f8', 'a7564360-f524-526a-b8a3-42f7f72456b2']",24,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:35:24.022,Carry,True
,,,,,,"[9.1, 38.9]",,,,,,,,,,,,,,7.807,,,,,,,,,,,,,,,5a7635d9-0a69-54a5-9eca-5f71eaf76636,786,,"[0.4, 37.9]",4003688,36,0.0128178047,0.0129266232,-0.0001088185,0.011851836,0.0085711256,0.0032807104,0.003389529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Karlo Sentić,41382.0,Goalkeeper,63,Diósgyőr,2212,"['004729dd-f93c-464a-947e-54a4cbf5011a', 'b28f4f2a-9544-4b3b-8011-d62671816422']",0,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:36:00.114,Carry,
,,,,,,"[22.6, 67.6]",,,,,,,,,,,,,,2.254188000000082,,,,,,,,,,,,,,,f112e843-0c40-5c98-b5e5-33ce5bd2d5c4,789,,"[14.6, 60.9]",4003688,36,0.0121721998,0.0131190429,-0.0009468431,0.0102469865,0.0093590906,0.0008878959,0.001834739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Lirim Kastrati,103001.0,Right Wing Back,63,Diósgyőr,2212,"['18d82879-33d0-48c7-b445-465fb6ba82f9', '5540fe96-4ac1-557f-90cc-11b47512d35f']",9,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:36:09.691,Carry,
,,,,,,"[47.1, 58.1]",,,,,,,,,,,,,,1.979402999999933,,,,,,,,,,,,,,,9f9edc0e-439d-5eb7-92f5-8648fd065880,792,,"[43.1, 61.2]",4003688,36,0.0104194153,0.0099577662,0.0004616491,0.0153125292,0.0149984732,0.0003140559,-0.0001475932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Anderson Esiti,23648.0,Left Defensive Midfield,63,Diósgyőr,2212,"['5481672e-93f6-5fca-a383-d0cd82d2a781', '500485e2-b689-4db1-8668-c11f85c0abd1']",13,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:36:13.285,Carry,
