50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_goal_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[90.2, 74.6]",,,,,,,,,,,,1.014,,,,,,,,,,,,,f49272b8-f064-5501-ab64-da0d0456d461,427,,,"[89.2, 74.9]",4003600,10,0.0089112446,0.0091078039,-0.0001965594,0.0231026262,0.0233046506,-0.0002020244,-5.465e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bálint Lajos Katona,404992.0,Right Center Midfield,39,Nyíregyháza Spartacus,2215,"['7752b0b4-ee8b-5c7e-9cd2-9659ae90d189', '6b522145-3aea-5d88-94ab-ccb51f580bbe']",17,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:10:17.905,Carry,
,,,,,"[40.4, 17.1]",,,,,,,,,,,,1.401,,,,,,,,,,,,,0365ac5a-0999-54d4-8503-bd20f4d71a82,431,,,"[30.5, 17.9]",4003600,10,0.0104652243,0.0118170567,-0.0013518324,0.0134588834,0.0121954372,0.0012634462,0.0026152786,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giorgi Beridze,28763.0,Left Wing,40,Ujpest,1033,"['5b2d5a75-acd4-586e-b046-7de2fe0ab851', 'c2186d83-ce97-5ce0-a218-86dd0427b16c']",22,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:22.648,Carry,
,,,,,"[57.2, 15.9]",,,,,,,,,,,,3.039,,,,,,,,,,,,,469e2cfc-1921-5d69-b528-85fb5141149e,437,,,"[54.9, 3.8]",4003600,10,0.0094684307,0.0102390004,-0.0007705698,0.0161070451,0.014688015,0.0014190301,0.0021895999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Damian Rasak,12829.0,Left Defensive Midfield,41,Ujpest,1033,"['25e293ea-a0ec-53dc-916a-be9b594df039', 'c99bc3bf-f290-534b-8ef0-2b6f72a098b1']",37,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:37.394,Carry,
,,,,,"[63.1, 21.8]",,,,,,,,,,,,1.825,,,,,,,,,,,,,100daf9e-646f-5115-901c-973278535c71,442,,,"[57.0, 16.9]",4003600,10,0.0095952852,0.0094735613,0.0001217239,0.018052794,0.0166377351,0.001415059,0.0012933351,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Damian Rasak,12829.0,Left Defensive Midfield,41,Ujpest,1033,"['ed488f27-392c-5370-b9c8-9d193c0569ce', 'a9713997-e7f9-5a6a-8bab-a49a94fcfdba']",42,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:42.142,Carry,
,,,,,"[70.1, 60.1]",,,,,,,,,,,,2.784,,,,,,,,,,,,,3f32781e-2e1a-5379-b58f-adf4467c8da7,447,,,"[57.6, 60.4]",4003600,10,0.0094550727,0.0097113745,-0.0002563018,0.02095953,0.0171891339,0.0037703961,0.0040266979,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bence Gergényi,404242.0,Right Back,41,Ujpest,1033,"['474993e2-33cb-53c2-9820-b7f59b1402ab', '643f7652-6260-556d-a225-599082541465']",47,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:47.521,Carry,
,,,,,"[75.6, 67.6]",,,,,,,,,,,,1.618,,,,,,,,,,,,,b0570201-fb50-5529-a228-45bfd5f2701f,450,,,"[74.6, 72.3]",4003600,10,0.0092262197,0.0091571277,6.9092e-05,0.0202927981,0.0189387314,0.0013540667,0.0012849746,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Iuri José Picanço Medeiros,7138.0,Center Attacking Midfield,41,Ujpest,1033,"['0d8f62a3-33c9-5882-8d25-2316f4f63e8a', '31fc5ae6-7fb3-595b-a7aa-3fa641459b81']",51,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:51.568,Carry,
,,,,,"[72.7, 38.6]",,,,,,,,,,,,3.01,,,,,,,,,,,,,c3242a63-acd9-50f0-aa12-a4ab1b29234f,453,,,"[71.5, 50.3]",4003600,10,0.0095343115,0.0101129683,-0.0005786568,0.0246612187,0.0227169525,0.0019442663,0.0025229231,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Attila Fiola,11268.0,Right Defensive Midfield,41,Ujpest,1033,"['d97ebba5-e986-580c-9943-e20bdd504d3c', '40881210-7a6a-5cf7-97e7-ef5fcfd70829']",54,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:54.181,Carry,
,,,,,"[75.6, 38.6]",,,,,,,,,,,,1.06,,,,,,,,,,,,,90eb721e-7387-56a2-a3d3-e12f8cbd5af9,458,,,"[73.2, 36.2]",4003600,10,0.0095684286,0.0093377,0.0002307286,0.0248179622,0.0241487995,0.0006691627,0.0004384341,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Attila Fiola,11268.0,Right Defensive Midfield,41,Ujpest,1033,"['9186c4ba-cb50-51f1-9bda-5bb4f812e4dd', '71498cd6-c1e4-5ddf-aa10-93622643809d']",58,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:58.833,Carry,
,,,,,"[96.2, 70.2]",,,,,,,,,,,,3.116,,,,,,,,,,,,,d47ff8da-bc0d-52c9-9e14-d5183a1340db,461,,,"[80.5, 68.5]",4003600,11,0.0082881209,0.0095986389,-0.001310518,0.0283968598,0.0227825586,0.0056143012,0.0069248192,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bence Gergényi,404242.0,Right Back,41,Ujpest,1033,"['89166d11-3ffd-56ef-9a2c-4e5d257e1b02', '36b8944e-7a4a-5c95-93c9-79adcfac1bab']",1,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:01.603,Carry,
,,,,,"[111.3, 75.2]",,,,,,,,,,,,1.694,,,,,,,,,,,,,bf0032e8-67e4-539f-ab45-ee0ea524b8f3,464,,,"[112.1, 73.5]",4003600,11,0.0082766609,0.0089854328,-0.0007087719,0.0290100519,0.0310604591,-0.0020504072,-0.0013416354,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aljoša Matko,101803.0,Right Wing,41,Ujpest,1033,"['95047533-0b80-54bd-aa3a-bf652c735fab', 'a4935e89-4c0e-5902-b920-da63b4e83b34']",6,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:06.375,Carry,
