50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,3.645,,,,,,,,,,,,,,fba13ace-c404-51e0-8177-34e9e00fb414,18,,"[4.0, 45.2]",4003552,0,0.0088281874,0.0130921649,-0.0042639775,0.0092318393,0.0075474628,0.0016843765,0.005948354,,,,0.546713,,Right Foot,,,"[45.9, 70.7]",,High Pass,,49.05,,Incomplete,,14.0,Defensive third - Center - Forwards - Long - High Pass,0.9746965774,0.473555088,Elton-Ofoi Acolatse,23735.0,,,,,,,,1,From Kick Off,Karlo Sentić,41382.0,Goalkeeper,2,Diósgyőr,2212,"['ce026116-5f26-502e-9ec3-60577c75da29', '82532c24-08c1-5df5-b2a9-47a23ebd1559', '2c8fa901-7f63-511c-8aac-4ad02082d650', '9938c3b4-908b-5733-a091-359da26718a1']",10,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:10.331,Pass,True
,,,,,,,,,,,,,,,,,,0.639,,,,,,,,,,,,,,2c8fa901-7f63-511c-8aac-4ad02082d650,20,,"[74.2, 9.4]",4003552,0,0.0089828521,0.0075474628,0.0014353893,0.0230141785,0.0130921649,0.0099220136,0.0084866243,,,,0.373376,,Head,,,"[83.9, 13.2]",,Low Pass,,10.42,,,,57.0,Midfield third - Left - Forwards - Short - Ground Pass,0.9800957521,0.7199211121,Krisztofer Horváth,40039.0,,,,,,Recovery,,1,Regular Play,Bence Gergényi,404242.0,Left Back,3,Ujpest,1033,"['fba13ace-c404-51e0-8177-34e9e00fb414', '7d104e8f-c2f6-576d-91d5-ec7c067d0743']",13,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:13.976,Pass,
,,,,,,,,,,,,,,,,,,1.278,,,,,,,,,,,,,,3c0b1774-4fdc-5cc2-a75e-431eea49d682,22,,"[83.7, 12.5]",4003552,0,0.0092797065,0.0089828521,0.0002968544,0.0221650116,0.0230141785,-0.0008491669,-0.0011460213,,,,2.610415,,Right Foot,,,"[75.7, 17.2]",,Low Pass,,9.28,,,,49.0,Attacking third - Left - Backwards - Short - Ground Pass,0.6827227128,0.8136975169,Arijan Ademi,18879.0,,,,,,,,1,Regular Play,Krisztofer Horváth,40039.0,Left Wing,3,Ujpest,1033,['9d9ee480-4123-52c9-a6fa-878f4478a049'],14,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:14.615,Pass,
,,,,,,,,,,,,,,,,,,0.835,,,,,,,,,,,,,,d60ad1c4-7426-5df2-a1eb-7430f6cd0dc7,24,,"[76.1, 17.4]",4003552,0,0.0091043105,0.0092797065,-0.000175396,0.0202617366,0.0221650116,-0.001903275,-0.001727879,,,,-0.690446,,Left Foot,,,"[83.0, 11.7]",,Ground Pass,,8.95,,,,57.0,Midfield third - Left - Forwards - Short - Ground Pass,0.934187454,0.8739752173,Krisztofer Horváth,40039.0,,,,,,,,1,Regular Play,Arijan Ademi,18879.0,Left Defensive Midfield,3,Ujpest,1033,['e8ad5449-ecd6-534d-82b6-c53dedab45ec'],15,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:15.893,Pass,
,,,,,,,,,,,,,,,,,,0.443,,,,,,,,,,,,,,a00296f6-81f2-5c20-8f07-54d8be79d415,29,,"[81.6, 11.7]",4003552,0,0.0090854447,0.0094291521,-0.0003437074,0.0219218656,0.0205075536,0.001414312,0.0017580194,,,,-3.013269,,Right Foot,,,"[78.5, 11.3]",,Ground Pass,,3.13,,,,24.0,Attacking third - Left - Backwards - Short - Ground Pass,0.5068301396,0.924172461,Arijan Ademi,18879.0,,,,,,,,1,Regular Play,Krisztofer Horváth,40039.0,Left Wing,3,Ujpest,1033,"['77c2ff1d-01e6-5980-8146-4c7af02068ff', '66823af8-3ddf-5ac2-b8ec-91f55aaf7d18', 'e89518b3-c225-5cce-a687-cacd7dc57a89']",16,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:16.734,Pass,True
,,,,,,,,,,,,,,,,,,1.012,,,,,,,,,,,,,,1d3b4000-91e0-52cf-be7d-ed1e21ffe6af,36,,"[37.4, 67.7]",4003552,0,0.0106626172,0.0104134623,0.0002491549,0.0146692572,0.0122895585,0.0023796987,0.0021305438,,,,-0.170375,,Right Foot,,,"[56.0, 64.5]",,Ground Pass,,18.87,,,,12.0,Midfield third - Right - Forwards - Short - Ground Pass,0.9083277694,0.9004251957,Ivan Šaponjić,34532.0,,,,,,,,1,Regular Play,Alejandro Vallejo Mínguez,24323.0,Right Defensive Midfield,4,Diósgyőr,2212,"['4b8129d4-b99f-5079-8c56-220e288d7ca6', '9904d429-bf35-53f6-9003-03bbb76f3ffe']",19,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:19.076,Pass,
,,,,,,,,,,,,,,,,,,0.884,,,,,,,,,,,,,,b2cd3ca0-95ed-5b88-aed0-38f86f3af02c,45,,"[62.0, 23.8]",4003552,0,0.0103906672,0.0109666195,-0.0005759522,0.016556764,0.0165662616,-9.4976e-06,0.0005664546,,,,2.421522,,Right Foot,,,"[50.6, 33.8]",,Ground Pass,,15.16,,,,22.0,Midfield third - Center - To right - Short - Ground Pass,0.7742300482,0.9746401906,João Aniceto Grandela Nunes,7977.0,,,,,,,,1,Regular Play,Tom Lacoux,68861.0,Right Defensive Midfield,5,Ujpest,1033,"['a7c07162-f668-59a9-9d1d-7403b59d9827', '37ff9603-e48d-5d3f-85af-190a9c228e35', 'e45a88d8-882d-59b4-afa5-9473598fee31']",23,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:23.538,Pass,True
,,,,,,,,,,,,,,,,,,1.266,,,,,,,,,,,,,,0b04ce17-c7dd-5940-8967-3a39f9dfda68,48,,"[47.0, 46.5]",4003552,0,0.0100551685,0.0102760587,-0.0002208902,0.0142446915,0.0154924449,-0.0012477534,-0.0010268632,,,,1.427677,,Right Foot,,,"[50.3, 69.4]",,Ground Pass,,23.14,,,,1.0,Midfield third - Center - To right - Short - Ground Pass,0.9944903258,0.9902703762,Barnabás Bese,7390.0,,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,5,Ujpest,1033,"['94c45afb-bd77-5830-8f77-fcec8723736c', '688b7973-d644-51c1-9758-9989ff42994a']",26,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:26.860,Pass,
,,,,,,,,,,,,,,,,,,1.001,,,,,,,,,,,,,,848128f8-a20a-5c27-8b7b-b728faf10c31,51,,"[50.3, 69.4]",4003552,0,0.0102159856,0.0100551685,0.0001608171,0.0146657089,0.0142446915,0.0004210174,0.0002602004,,,,-2.092123,,Right Foot,,,"[41.8, 54.6]",,Ground Pass,,17.07,,,,36.0,Midfield third - Right - Backwards - Short - Ground Pass,0.518346725,0.9951909781,João Aniceto Grandela Nunes,7977.0,,,,,,,,1,Regular Play,Barnabás Bese,7390.0,Right Back,5,Ujpest,1033,"['ed760d72-269c-5061-bb52-8510a196da4e', 'b297285d-7047-59ad-9a8d-4c984066def7']",29,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:29.577,Pass,
,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,387f2414-66c6-5caa-9369-a4c8e4c1992e,54,,"[42.0, 55.0]",4003552,0,0.0100542288,0.0103228698,-0.0002686409,0.0163326953,0.0146657089,0.0016669864,0.0019356273,,,,-0.683709,,Right Foot,,,"[50.1, 48.4]",,Ground Pass,,10.45,,,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.9947370529,0.9830337167,Tom Lacoux,68861.0,,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,5,Ujpest,1033,"['7651d61b-250e-53f2-909e-31fb6182e4cf', '8278336c-8786-55d8-8fcb-b6bbfeaabb6f']",31,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:31.528,Pass,
