50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.2402049999998417,,,,,,,,,,cdafe695-bdb7-4eca-bce3-a7b51ecdc49d,1083,,"[49.7, 29.5]",4070744,34,0.0093089044,0.0102800652,-0.0009711608,0.0194523726,0.0155885993,0.0038637733,0.0048349341,,,,1.084483,,,Left Foot,,"[58.0, 45.2]",,Ground Pass,,17.76,,,22.0,Midfield third - Center - To right - Short - Ground Pass,0.8176232972,0.9832309484,Ábel György Krajcsovics,446356.0,,,,,,,1,Regular Play,Matija Ljujić,10837.0,Left Defensive Midfield,104,Ujpest,1033,"['7f29a585-de26-5b40-b8ae-84f4a200384b', '7371bc00-72b9-5f8a-8c92-360f491e01c6']",48,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:34:48.224,Pass,
,,,,,,,,,,,,,,,,0.9543020000001415,,,,,,,,,,9e2e3af0-2e12-4eaa-af14-2902e6051e5c,1086,,"[61.2, 43.0]",4070744,34,0.0088406298,0.0091220243,-0.0002813945,0.0229926072,0.0198157355,0.0031768717,0.0034582661,,,,-0.809394,,,Left Foot,,"[67.3, 36.6]",,Ground Pass,,8.84,,,11.0,Midfield third - Center - To left - Short - Ground Pass,0.72826885,0.9478901625,Krisztofer Horváth,40039.0,,,,,,,1,Regular Play,Ábel György Krajcsovics,446356.0,Right Wing,104,Ujpest,1033,"['c648c00d-a326-5d3c-bd98-9885b2535eca', '823331ca-18fd-5d17-98fa-a749ec44033d']",49,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:34:49.865,Pass,
,,,,,,,,,,,,,,,,1.6546319999999832,,,,,,,,,,068d9ba5-7a03-4cb5-b241-f21b7a7bd9f1,1089,,"[70.6, 33.5]",4070744,34,0.0085797971,0.0094716512,-0.0008918541,0.0300061312,0.0231355373,0.0068705939,0.0077624479,,,,-0.61246,,,Right Foot,,"[93.8, 17.2]",,Ground Pass,,28.35,,,0.0,Midfield third - Center - To left - Short - Ground Pass,0.9467773157,0.8579337597,Etienne Amenyido,28574.0,,,,,,,1,Regular Play,Krisztofer Horváth,40039.0,Left Wing,104,Ujpest,1033,"['5542d267-5f2e-5a29-a530-202ffe8e23c3', '316d9b12-0b40-59e6-9c14-3a8b5969f699']",52,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:34:52.636,Pass,
,,,,,,,,,,,,,,,,2.8502430000002494,,,,,,,,,,7d9439c9-8ad1-46c1-803a-61f3ee74ce74,1100,,"[89.4, 9.5]",4070744,35,0.0069086393,0.0084611187,-0.0015524793,0.0104644233,0.0231339633,-0.01266954,-0.0111170607,,True,,0.974651,,,Right Foot,True,"[120.0, 54.6]",,High Pass,,54.5,Out,,34.0,Midfield third - Left - To right - Long - High Pass,0.999887501,0.2203417569,,,,True,,,,,1,Regular Play,Ferenc Ujváry,565814.0,Left Back,104,Ujpest,1033,['f46ed2ee-c434-5402-83cc-b176eba3daed'],3,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:35:03.729,Pass,
,,,,,,,,,,,,,,,,4.140665000000038,,,,,,,,,,07184ce9-805b-4080-aa92-6dafe4cfde86,1101,,"[4.4, 34.7]",4070744,35,0.0091941189,0.0104644233,-0.0012703044,0.0126781212,0.0069086393,0.0057694819,0.0070397863,,,,-0.20069,,,Left Foot,,"[79.1, 19.5]",,High Pass,,76.2,,,52.0,Defensive third - Center - Forwards - Long - High Pass,0.8630621356,0.2732499838,János Csaba Hahn,135987.0,,,,,Goal Kick,,1,From Goal Kick,Ádám Kovácsik,16737.0,Goalkeeper,105,Paksi FC,2160,['5eaa2dd8-1f2b-5b0b-8b2d-8999db32baf9'],31,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:35:31.567,Pass,
,,,,,,,,,,,,,,,,1.0834890000000597,,,,,,,,,,23057389-8552-4df0-bd26-de99c735f29c,1103,,"[79.1, 19.5]",4070744,35,0.0091829151,0.0091941189,-1.12038e-05,0.0182484556,0.0126781212,0.0055703344,0.0055815382,,,,-1.729914,,,Head,,"[77.1, 6.9]",,Low Pass,,12.81,,,27.0,Midfield third - Left - To left - Short - Ground Pass,0.9343072087,0.7137419581,Andor Lapu,451994.0,,,,,,,1,From Goal Kick,János Csaba Hahn,135987.0,Left Center Forward,105,Paksi FC,2160,['ff84e4f1-8e79-57a2-b9a4-13a4a5a3f97d'],35,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:35:35.708,Pass,
,,,,,,,,,,,,,,,,1.3084950000001117,,,,,,,,,,26458620-a6ce-44ce-9451-f1bc420276db,1107,,"[83.1, 20.1]",4070744,35,0.0092437752,0.0086454246,0.0005983505,0.0393344238,0.0245516151,0.0147828087,0.0141844582,,,,0.816486,,,Left Foot,,"[93.1, 30.7]",,Ground Pass,,14.56,,,2.0,Attacking third - Center - To right - Short - Ground Pass,0.5482012495,0.7420216203,Kristóf Papp,404306.0,,,,,,,1,From Goal Kick,Andor Lapu,451994.0,Left Wing Back,105,Paksi FC,2160,"['b4109bbc-48c2-5171-8d17-6e4ddb3a4c1a', 'b51495fc-dc56-5bde-a6d1-d7804fad710a']",40,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:35:40.683,Pass,
,,,,,,,,,,,,,,,,1.3039899999997582,,,,,,,,,,f53bac54-aeae-4952-a90a-740f8cad1e14,1110,,"[93.1, 30.7]",4070744,35,0.0092072468,0.0092437752,-3.65283e-05,0.0532464795,0.0393344238,0.0139120556,0.013948584,,,,-0.59474,1ceb0bb6-baf3-4cae-9aee-7de364e63efc,,Right Foot,,"[103.3, 23.8]",True,Ground Pass,,12.35,,,15.0,Attacking third - Left - Forwards - Short - Ground Pass,0.8943094747,0.6643424034,József Szalai,405808.0,,,,,,,1,From Goal Kick,Kristóf Papp,404306.0,Left Center Midfield,105,Paksi FC,2160,"['5ef05a54-1358-53c4-b731-c046ec6dc4ee', 'da1fd4ed-eeed-571e-800d-de02fc4c5793']",41,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:35:41.992,Pass,
,,,,,,,,,,,,,,,,0.59624599999981,,,,,,,,,,ec51d72c-1647-4c31-bc4e-e23b35452693,1120,,"[61.0, 40.1]",4070744,36,0.0102517027,0.0096909162,0.0005607866,0.0169689488,0.0068286974,0.0101402514,0.0095794648,,,,-3.064821,,,Left Foot,,"[53.2, 39.5]",,Ground Pass,,7.82,,,,,,0.9986360669,Matija Ljujić,10837.0,,,,,Kick Off,,1,From Kick Off,Etienne Amenyido,28574.0,Center Attacking Midfield,106,Ujpest,1033,['e7335d3e-f90b-5489-9f9e-273c346a4e70'],49,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:36:49.637,Pass,
,,,,,,,,,,,,,,,,1.4347310000001452,,,,,,,,,,eb4134d3-203d-4f76-8bb6-a205430ba27f,1123,,"[52.1, 37.9]",4070744,36,0.0102142254,0.0097657284,0.000448497,0.01400383,0.0169669036,-0.0029630736,-0.0034115706,,,,-1.777617,,,Left Foot,,"[47.4, 15.5]",,Ground Pass,,22.89,,,30.0,Midfield third - Center - To left - Short - Ground Pass,0.7818068572,0.9906803966,Ferenc Ujváry,565814.0,,,,,,,1,From Kick Off,Matija Ljujić,10837.0,Left Defensive Midfield,106,Ujpest,1033,"['fd0bd650-6d8b-5420-9ff2-5caa2434fbb5', 'de916326-dcae-5fab-a017-c8b4558e0cba']",51,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:36:51.172,Pass,
