50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.1099599999999992,,,,,,,,,,,fabdd72f-036a-4566-bb30-ad1b1ab063a7,57,,"[22.3, 55.2]",4003693,0,,0.0118677961,0.0258999281,-0.014032132,0.0126905553,0.0090470398,0.0036435155,0.0176756475,,,,-0.915101,,,Left Foot,,,,"[25.5, 51.0]",,Ground Pass,,5.25,,,,58.0,Defensive third - Right - Forwards - Short - Ground Pass,0.4785638687,0.9036915302,Noah Dávid Gabriel Fenyö,318547.0,,,,Recovery,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,5,Ujpest,1033,"['7c3402c8-872d-56c1-b965-7fee77fa2e96', 'f77e910b-e862-4a13-a980-1803a0e6ca30']",56,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:56.979,Pass,
,,,,,,,,,,,,,,,0.5916160000000018,,,,,,,,,,,fe6f9ab9-4ba9-4ad5-a638-2aafe13bdb8b,61,,"[25.5, 51.0]",4003693,0,,0.011466505,0.0118677961,-0.0004012911,0.0124848671,0.0126905553,-0.0002056882,0.0001956029,,,,1.111404,,,Right Foot,,,,"[27.8, 55.7]",,Ground Pass,,5.25,,,,33.0,Defensive third - Center - To right - Short - Ground Pass,0.5679103012,0.9276862144,Matija Ljujić,10837.0,,,,,,1,Regular Play,Noah Dávid Gabriel Fenyö,318547.0,Right Defensive Midfield,5,Ujpest,1033,"['e144229a-9870-51a8-92dc-fc9e2fc46cc9', 'eeb46612-2e80-5dc9-8de9-3b36207a9e76']",58,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:58.089,Pass,
,,,,,,,,,,,,,,,5.836923999999999,,,,,,,,,,,1c1b6145-efe9-4362-9e46-01d0bc19d4e2,64,,"[33.2, 52.4]",4003693,1,,0.0104817888,0.0110252574,-0.0005434686,0.0123655796,0.0130972555,-0.0007316759,-0.0001882073,,,,0.069693,,,Left Foot,,,,"[99.7, 57.0]",,Low Pass,,66.63,,Incomplete,,54.0,Defensive third - Center - Forwards - Long - High Pass,0.5846951999,0.6518879533,,,,,,,,1,Regular Play,Matija Ljujić,10837.0,Left Defensive Midfield,5,Ujpest,1033,"['11a9fbda-b3f9-47f4-a162-18a953b5c195', 'e84752fe-d062-5426-a5ad-9a9d27f6ecbf']",0,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:00.243,Pass,
,,,,,,,,,,,,,,,2.3344019999999874,,,,,,,,,,,bbf1c942-bc11-4ed5-a03d-0dfd7b2d2119,67,,"[19.8, 27.9]",4003693,1,,0.0112402095,0.0122000733,-0.0009598639,0.0126003409,0.0116295284,0.0009708125,0.0019306764,,,,1.240017,,,Right Foot,,,,"[28.9, 54.4]",,Ground Pass,,28.02,,,,44.0,Defensive third - Center - To right - Short - Ground Pass,0.5222309304,0.9926101565,Márk Csinger,85510.0,,,,,,1,Regular Play,Balázs Megyeri,31478.0,Goalkeeper,6,Győri ETO,2774,"['13e8a70c-eb48-535c-a455-530bf70e61c5', 'ba007b69-1d55-52bb-b737-0258418a510a']",7,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:01:07.699,Pass,
,,,,,,,,,,,,,,,1.613248000000007,,,,,,,,,,,0b830478-9a69-462e-a4b0-5f451b9e6d66,70,,"[39.6, 58.1]",4003693,1,,0.0106611727,0.0104040131,0.0002571596,0.014122447,0.0141334385,-1.09915e-05,-0.0002681511,,,,-1.584723,,,Right Foot,,,,"[39.1, 22.2]",,Ground Pass,,35.9,,,,47.0,Midfield third - Right - To left - Long - Ground Pass,0.7897421231,0.996152699,Senna Miangue,7959.0,,,,,,1,Regular Play,Márk Csinger,85510.0,Right Center Back,6,Győri ETO,2774,"['8803f91d-cd44-5e41-9bf7-569b4192cf05', 'a41744c2-59f7-56d6-9b23-b624cc8b4eed']",16,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:01:16.154,Pass,
,,,,,,,,,,,,,,,1.615077999999994,,,,,,,,,,,a39b05fe-884c-4c5b-ba12-014805e95ee0,73,,"[41.3, 19.7]",4003693,1,,0.0097584268,0.0105323708,-0.000773944,0.0133819534,0.0142145799,-0.0008326266,-5.86826e-05,,,,-0.925416,,,Left Foot,,,,"[54.1, 2.7]",,Ground Pass,,21.28,,,,30.0,Midfield third - Center - To left - Short - Ground Pass,0.9759355575,0.9845616221,Daniel Štefulj,29986.0,,,,,,1,Regular Play,Senna Miangue,7959.0,Left Center Back,6,Győri ETO,2774,"['83221965-a3f5-56a8-aec6-a6773d36317a', 'f608b78f-e149-5664-9156-80b0d61331b8']",19,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:01:19.172,Pass,
,,,,,,,,,,,,,,,1.6541019999999989,,,,,,,,,,,af1d02d3-14e3-4425-8e50-289c3de147f9,76,,"[53.9, 3.1]",4003693,1,,0.0099181496,0.0102339135,-0.000315764,0.0179733951,0.0134984413,0.0044749537,0.0047907177,,,,0.711459,,,Left Foot,,,,"[71.3, 18.1]",,Ground Pass,,22.97,,,,19.0,Midfield third - Left - Forwards - Short - Ground Pass,0.5746285714,0.764516592,Željko Gavrić,35582.0,,,,,,1,Regular Play,Daniel Štefulj,29986.0,Left Back,6,Győri ETO,2774,"['710ee262-40e0-5ce9-b980-2cf1d0019186', '02f2640a-db88-5ac8-80d0-de9b73577fb0']",21,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:01:21.614,Pass,
,,,,,,,,,,,,,,,3.7562470000000032,,,,,,,,,,,fcbb4222-89ae-457b-87d0-33d0151fe152,80,,"[70.4, 25.9]",4003693,1,,0.0088283084,0.0091907233,-0.0003624149,0.0376862884,0.0215413086,0.0161449797,0.0165073946,,,,0.853534,,,Right Foot,,,,"[105.9, 66.6]",,High Pass,,54.01,,,,34.0,Midfield third - Left - To right - Long - High Pass,0.999867008,0.635368824,Kevin Bánáti,438564.0,,True,,,,1,Regular Play,Željko Gavrić,35582.0,Center Attacking Midfield,6,Győri ETO,2774,"['8ce72205-5922-5899-bb21-054bfa89730a', 'a729803f-b79b-5b14-9aab-339c9dad51c4']",25,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:01:25.543,Pass,
,,,,,,,,,,,,,,,1.326025999999998,,,,,,,,,,,129bce46-3b76-4e14-a65d-90bc0c7869fa,83,,"[105.4, 63.1]",4003693,1,,0.0087232348,0.0083183739,0.0004048608,0.0574357137,0.0419213474,0.0155143663,0.0151095055,,,,-0.439005,,,Right Foot,,,,"[116.9, 57.7]",,Ground Pass,,12.7,,,,31.0,Attacking third - Right - To left - Short - Ground Pass,0.7717695478,0.6895217896,Ștefan Marinel Vlădoiu,101825.0,,,,,,1,Regular Play,Kevin Bánáti,438564.0,Right Wing,6,Győri ETO,2774,"['07dd1077-9299-5655-a3d4-137e9a0c3ce5', '5c07f419-8e57-55b3-b24a-056d30f91fcc']",31,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:01:31.029,Pass,
,,,,,,,,,,,,,,,0.6548099999999977,,,,,,,,,,,b7737ee4-a4d5-46c0-8f92-49a350d7fc44,85,,"[116.9, 57.7]",4003693,1,,0.0107383681,0.0087232348,0.0020151334,0.0144004626,0.0574357137,-0.0430352511,-0.0450503845,,,,-1.788709,,,Right Foot,True,True,,"[113.8, 43.7]",,Ground Pass,,14.34,,Incomplete,,31.0,Attacking third - Right - To left - Short - Ground Pass,0.9965050267,0.1374769062,,,,,,,0.0023240247,1,Regular Play,Ștefan Marinel Vlădoiu,101825.0,Right Back,6,Győri ETO,2774,['a2a135a8-7bbb-452b-8c71-ae92eb1907b9'],32,,,,,,,,,,,,,,,,,,,,,Győri ETO,2774,00:01:32.355,Pass,
