player_id,player_name,player_nickname,birth_date,player_gender,player_height,player_weight,jersey_number,positions,stats,country,formations,events
7138,Iuri José Picanço Medeiros,Iuri Medeiros,1994-07-10,male,175.0,66.0,45,[],[],Portugal,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
7390,Barnabás Bese,,1994-05-06,male,188.0,84.0,33,"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00:00.000', 'to': '01:24:44.372', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)', 'counterpart_id': 396417, 'counterpart_name': 'Dominik Kaczvinszki'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
7977,João Aniceto Grandela Nunes,João Nunes,1995-11-19,male,186.0,78.0,30,"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00:00.000', 'to': '01:24:44.772', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '01:24:44.772', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Portugal,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
10837,Matija Ljujić,,1993-10-28,male,183.0,75.0,88,"[{'position_id': 17, 'position': 'Right Wing', 'from': '01:24:43.572', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle', 'counterpart_id': 28763, 'counterpart_name': 'Giorgi Beridze'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Serbia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
11268,Attila Fiola,,1990-02-17,male,182.0,70.0,55,"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
12829,Damian Rasak,,1996-02-08,male,184.0,77.0,6,"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Poland,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
28763,Giorgi Beridze,,1997-05-12,male,174.0,71.0,7,"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00:00.000', 'to': '01:24:43.572', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)', 'counterpart_id': 10837, 'counterpart_name': 'Matija Ljujić'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 1, 'penalties_saved': 0}",Georgia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
35313,Mátyás Tajti,,1998-06-02,male,183.0,75.0,10,"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00:00.000', 'to': '01:09:17.465', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)', 'counterpart_id': 404214, 'counterpart_name': 'Bálint Geiger'}]","{'own_goals': 0, 'goals': 1, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
38335,Riccardo Piscitelli,,1993-10-10,male,188.0,84.0,1,[],[],Italy,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
40039,Krisztofer Horváth,,2002-01-08,male,185.0,65.0,11,"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00:00.000', 'to': '01:16:17.082', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)', 'counterpart_id': 404242, 'counterpart_name': 'Bence Gergényi'}]","{'own_goals': 0, 'goals': 0, 'assists': 3, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 1, 'timestamp': '00:22:35.306', 'type': 'Low Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:36.592', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 1, 'timestamp': '00:36:36.157', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:47:14.104', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '00:48:02.584', 'type': 'Penalty', 'outcome': 'Saved'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '00:56:06.219', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 35313, 'player_name': 'Mátyás Tajti', 'period': 2, 'timestamp': '00:56:08.764', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 40039, 'player_name': 'Krisztofer Horváth', 'period': 2, 'timestamp': '01:14:21.920', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 2, 'timestamp': '01:14:23.133', 'type': 'Shot', 'outcome': 'Goal'}, {'player_id': 101820, 'player_name': 'George Dănuț Ganea', 'period': 2, 'timestamp': '01:32:23.042', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 12829, 'player_name': 'Damian Rasak', 'period': 2, 'timestamp': '01:32:53.176', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:33.857', 'type': 'Half End'}]"
