50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[3.8, 38.7]",,,,,,,,,,,,0.7719199999999254,,,,,,,,,,,,,27a96ac4-8031-56e4-8bb0-07423e844691,2451,,,"[3.4, 38.7]",4003674,67,0.0134321339,0.0138511835,-0.0004190495,0.0090809818,0.0086395573,0.0004414245,0.0008604741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Dávid Banai,404208.0,Goalkeeper,165,Ujpest,1033,"['be1af9c5-4afa-509d-a203-5622f0dd7f38', 'a443b9b3-c0d1-4e2a-82c0-012c775a6854']",39,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:39.343,Carry,
,,,,,"[8.1, 24.3]",,,,,,,,,,,,0.8779539999999106,,,,,,,,,,,,,683243ec-0d4a-5ce1-81d6-fc72610e4856,2454,,,"[4.6, 25.5]",4003674,67,0.0121929729,0.0130226035,-0.0008296305,0.0091795707,0.0077178255,0.0014617452,0.0022913758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Patrizio Stronati,27815.0,Left Center Back,165,Ujpest,1033,"['d6aa42ac-5fc9-5710-9da0-6cc9e2f2faa2', '1322a830-e232-4500-86cc-04b89f45961d']",41,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:41.273,Carry,
,,,,,"[31.8, 20.0]",,,,,,,,,,,,9.100000001490116e-05,,,,,,,,,,,,,6fdae373-625e-5baa-9162-298d61879cd7,2458,,,"[31.8, 20.0]",4003674,67,0.0132953897,0.0132953897,0.0,0.0107325101,0.0107325101,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Krisztofer Horváth,40039.0,Left Wing,165,Ujpest,1033,"['b1eee478-d364-5fb9-a877-789b2884bc71', '050f1cd2-7409-449a-a476-07a3ce3a9b7d', '4d20d50b-8b4a-4351-bb46-8e5ea09447b0']",43,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:43.580,Carry,True
,,,,,"[25.3, 25.2]",,,,,,,,,,,,2.3999999975785612e-05,,,,,,,,,,,,,8ffe1094-cc6c-5fa8-ba58-6545f270ecbd,2462,,,"[25.3, 25.2]",4003674,67,0.0150776757,0.0150776757,0.0,0.0102081485,0.0102081485,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Tom Lacoux,68861.0,Center Defensive Midfield,165,Ujpest,1033,"['afc14adf-85a0-5ab0-bf9c-698c5c82cc33', 'cc1c6b61-32e0-4554-b5be-8b868bee6b8d', '1599a063-01ff-4edb-bc73-6ded62086b12']",44,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:44.479,Carry,True
,,,,,"[47.7, 19.0]",,,,,,,,,,,,0.00046299999998882413,,,,,,,,,,,,,1e170557-49fb-50f0-be6d-2cb0ad86e284,2466,,,"[47.7, 19.0]",4003674,67,0.0110786622,0.0110786622,0.0,0.0129846176,0.0129846176,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Nejc Gradišar,425452.0,Center Forward,165,Ujpest,1033,"['a66b94ad-d86e-48c3-b0da-8946451958ef', 'da1bb0dc-c71a-438b-abbf-e1a52b8159c1', '1c168019-fe8d-5ce9-9085-628ba9ef4beb']",45,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:45.603,Carry,True
,,,,,"[48.6, 32.6]",,,,,,,,,,,,1.1562299999999814,,,,,,,,,,,,,cfeac027-a72b-5918-972f-07cb96a9b22a,2469,,,"[45.0, 29.9]",4003674,67,0.0101911165,0.010421549,-0.0002304325,0.015581754,0.0149067771,0.000674977,0.0009054095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Fran Brodić,130597.0,Left Center Midfield,165,Ujpest,1033,"['f18073e2-6dad-5eda-abf9-79188c4070c0', '2150494e-be10-42a1-94ec-3b17e5c73495']",47,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:47.001,Carry,
,,,,,"[63.0, 39.2]",,,,,,,,,,,,2.5223219999999276,,,,,,,,,,,,,b7d258d4-89d4-5167-bd2b-2d7e7ff89a9e,2472,,,"[49.2, 51.2]",4003674,67,0.0095688626,0.0105942395,-0.0010253768,0.0209954884,0.0160868056,0.0049086828,0.0059340596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Matija Ljujić,10837.0,Right Center Midfield,165,Ujpest,1033,"['7a76abb9-8070-5704-81e9-c97461f88b54', 'b8cf39ba-7ed7-451b-bcb6-ab82ccdd080e']",49,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:49.268,Carry,
,,,,,"[84.5, 22.0]",,,,,,,,,,,,2.281192000000039,,,,,,,,,,,,,aa45032b-b08a-52fe-bfbb-8b786c93d9ce,2475,,,"[79.7, 14.6]",4003674,67,0.0089981034,0.0093184654,-0.0003203619,0.0267015863,0.0223300904,0.0043714959,0.0046918578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Krisztofer Horváth,40039.0,Left Wing,165,Ujpest,1033,"['aac193c4-c238-5d7a-84b0-c750f615d46b', 'cb1bd11a-2da1-4355-a20d-62b2fcd5ca92']",53,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:53.254,Carry,
,,,,,"[5.1, 76.1]",,,,,,,,,,,,2.593,,,,,,,,,,,,,7e0ed6db-cebd-52f2-8a8c-383e4a16b03c,2482,,,"[2.9, 70.2]",4003674,68,0.0153594697,0.0151047083,0.0002547614,0.005311341,0.0064265314,-0.0011151903,-0.0013699518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Attila Osváth,404304.0,Right Wing Back,166,Ferencvaros,1476,"['e8a98f23-53cd-4853-b20c-4a6e00389512', '5742efa3-5bf7-428c-a7d2-a82d64560152']",0,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:23:00.733,Carry,
,,,,,"[103.2, 72.3]",,,,,,,,,,,,0.557,,,,,,,,,,,,,09455ad8-d36c-50c4-857c-278aee3221b5,2491,,,"[101.8, 73.9]",4003674,68,0.0057395701,0.0084090875,-0.0026695174,0.0137021411,0.0297774132,-0.0160752721,-0.0134057547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gergő János Bodnár,247192.0,Right Back,168,Ujpest,1033,"['c77c9455-d8f6-5d7c-8d5c-443f2e9ebdd2', 'c44078c7-a7f6-4528-bde7-9f28be7a9f67']",37,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:23:37.900,Carry,
