bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.8867800000000279,,,,,,,,,,,,c9edc1b6-80be-4d6f-bccc-f61248af61b6,1849,,,"[76.1, 72.6]",4003670,52,,0.0089509869,0.0080456641,0.0009053228,0.023233531,0.0154268201,0.0078067109,0.0069013881,,,,-0.560804,,True,Left Foot,,,"[87.5, 65.4]",,Ground Pass,,13.46,,,51.0,Midfield third - Right - To left - Short - Ground Pass,0.879419299,0.4500366747,Matija Ljujić,10837.0,,,,,,2,From Throw In,Aljoša Matko,101803.0,Right Midfield,130,Ujpest,1033,"['71a62cce-bb62-47d0-8f30-b1ab3077107d', '1c4dad62-d893-5ef1-9cb5-16609aa420bd']",26,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:07:26.101,Pass,True
,,,,,,,,,,,,,,,,1.280144000000029,,,,,,,,,,,,97c79934-5d3e-46ab-b30d-a1b256e20cd9,1853,,,"[100.3, 70.9]",4003670,52,,0.0086056767,0.0083091082,0.0002965685,0.0306853689,0.0283642393,0.0023211297,0.0020245612,,,,-1.687452,,,Right Foot,,,"[100.0, 68.3]",,Ground Pass,,2.58,,,31.0,Attacking third - Right - To left - Short - Ground Pass,0.9523936069,0.829234302,Tom Lacoux,68861.0,,,,,,2,From Throw In,Matija Ljujić,10837.0,Right Center Forward,130,Ujpest,1033,"['46a3ddd0-aa84-553d-b87f-128cff8ba63d', 'badfc5fb-e4c0-5cf0-938c-5ee9bc684037']",30,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:07:30.103,Pass,
,,,,,,,,,,,,,,,,0.604140000000014,,,,,,,,,,,,7a97c9ea-f831-40ff-ad2e-ee05f6529aa6,1855,,,"[100.0, 68.3]",4003670,52,,0.0086234156,0.0086056767,1.77389e-05,0.0265032053,0.0306853689,-0.0041821636,-0.0041999025,,,,2.094595,,,Right Foot,,,"[96.8, 73.8]",,Ground Pass,,6.4,,,55.0,Attacking third - Right - Backwards - Short - Ground Pass,0.9977535519,0.9512839317,Matija Ljujić,10837.0,,,,,,2,From Throw In,Tom Lacoux,68861.0,Left Defensive Midfield,130,Ujpest,1033,['9010e41b-4bc0-53c0-b1dc-6a1ae10360ca'],31,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:07:31.383,Pass,
,,,,,,,,,,,,,,,,0.8778759999999893,,,,,,,,,,,,6b36201b-db40-43f3-a1f3-6629333dbdcc,1857,,,"[96.8, 73.8]",4003670,52,,0.0093833981,0.0086234156,0.0007599825,0.0371891744,0.0265032053,0.0106859691,0.0099259866,,,,-1.842121,,,Left Foot,,,"[93.0, 60.1]",,Ground Pass,,14.18,,,3.0,Attacking third - Right - Backwards - Short - Ground Pass,0.7055617144,0.8696340322,Aljoša Matko,101803.0,,,,,,2,From Throw In,Matija Ljujić,10837.0,Right Center Forward,130,Ujpest,1033,['fcaa9067-0a6f-501e-8d24-575c0259b108'],31,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:07:31.987,Pass,
,,,,,,,,,,,,,,,,2.412923999999999,,,,,,,,,,,,042fee05-4c37-46fa-894f-02ccbdae9beb,1862,,,"[20.6, 24.0]",4003670,52,,0.0102472473,0.0122372117,-0.0019899644,0.018336473,0.0099201035,0.0084163696,0.010406334,,,,0.358455,,,Right Foot,,,"[55.3, 37.0]",,High Pass,,37.06,,,28.0,Defensive third - Left - Forwards - Long - High Pass,0.9942469633,0.2771786451,Joel Fameyeh,136301.0,,,,Recovery,,2,From Counter,Laros Duarte,21173.0,Left Defensive Midfield,131,Puskas,2565,['c507b709-cf9d-594f-9a16-3a41860ce8db'],35,,,,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:07:35.636,Pass,
,,,,,,,,,,,,,,,,1.414314000000013,,,,,,,,,,,,76f74146-fb09-4517-8365-962f231fec2b,1867,,,"[22.1, 25.3]",4003670,52,,0.0131461602,0.018336473,-0.0051903129,0.0069466336,0.0102472473,-0.0033006137,0.0018896991,,,,2.499484,,,Right Foot,,,"[6.0, 37.3]",,Ground Pass,,20.1,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9933333045,0.9902111888,Dávid Banai,404208.0,,,,Recovery,,2,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,132,Ujpest,1033,"['74eb07ed-f925-5090-a7da-433ead2fbf03', '8acd318b-668d-43aa-9b03-3e4bc16343e7']",43,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:07:43.061,Pass,True
,,,,,,,,,,,,,,,,3.356545999999973,,,,,,,,,,,,6de914d0-d3dd-414c-a4b3-d25ee72ef24a,1871,,,"[3.1, 37.9]",4003670,52,,0.0126778362,0.0133533208,-0.0006754845,0.0088591212,0.0071438649,0.0017152564,0.0023907409,,,,1.133483,,,Right Foot,,,"[11.3, 55.4]",,Ground Pass,,19.36,,,33.0,Defensive third - Center - To right - Short - Ground Pass,0.9962606877,0.960488975,Patrizio Stronati,27815.0,,,,,,2,Regular Play,Dávid Banai,404208.0,Goalkeeper,132,Ujpest,1033,"['63b3d6dc-26ca-4389-b32e-3f84414ff58c', '8b1ad28d-62e4-59d4-9812-edf48739e37c', 'af18db01-642b-5ce0-8b48-fb0c2aa5d9e7']",45,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:07:45.614,Pass,True
,,,,,,,,,,,,,,,,1.6520860000000102,,,,,,,,,,,,ddf48e51-2ed0-4fbc-ae62-ff24d9872633,1874,,,"[11.3, 55.4]",4003670,52,,0.0112426626,0.0126778362,-0.0014351737,0.0120950118,0.0088591212,0.0032358905,0.0046710642,,,,0.564484,,,Left Foot,,,"[39.0, 72.9]",,Ground Pass,,32.79,,,44.0,Defensive third - Center - To right - Short - Ground Pass,0.9209078578,0.865852356,Gergő János Bodnár,247192.0,,,,,,2,Regular Play,Patrizio Stronati,27815.0,Left Center Back,132,Ujpest,1033,"['1a29c215-e741-5f12-86f3-c966f2387584', '09b19003-586d-543b-996a-9c1a53406a0f']",48,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:07:48.971,Pass,
,,,,,,,,,,,,,,,,3.764827999999979,,,,,,,,,,,,d6a4b421-b433-4a2c-9662-2e53e282fbc8,1877,,,"[42.0, 70.4]",4003670,52,,0.0105328672,0.0105947135,-6.18463e-05,0.0127003212,0.0135067487,-0.0008064276,-0.0007445812,,,,-0.123106,,,Left Foot,,,"[103.1, 62.8]",,High Pass,,61.57,Incomplete,,9.0,Midfield third - Right - Forwards - Long - High Pass,0.9974828286,0.286231339,,,,,,,,2,Regular Play,Gergő János Bodnár,247192.0,Right Back,132,Ujpest,1033,"['6ca0713a-08cb-49a5-893f-009e82231e65', '3bf35760-6a11-5165-a2a8-07cc02da0652']",52,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:07:52.283,Pass,
,,,,,,,,,,,,,,,,2.6993479999999983,,,,,,,,,,,,26f20d4f-2be3-4810-95c2-6e7eb88868a4,1880,,,"[9.5, 10.5]",4003670,52,,0.0190546606,0.0126438178,0.0064108428,0.0102748126,0.0072670733,0.0030077393,-0.0034031034,,,,0.301,,,Left Foot,,,"[48.8, 22.7]",,High Pass,,41.15,Incomplete,,28.0,Defensive third - Left - Forwards - Long - High Pass,0.9999773398,0.2153482735,,,,,,,,2,Regular Play,Georgi Harutyunyan,294552.0,Left Center Back,133,Puskas,2565,"['5d82f35b-6081-4240-bc9a-31293526663e', '583d60ba-49db-5eee-891f-99dcd8acd1c1']",58,,,,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:07:58.736,Pass,
