50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.5526039999998178,,,,,,,,,,01875c9f-6283-407f-9d8e-08e5eef5ff03,725,,,"[64.5, 37.6]",4003713,18,0.0094720051,0.0091857444,0.0002862606,0.0190614853,0.0201221015,-0.0010606162,-0.0013468768,,,,-1.554404,,,Right Foot,,,,"[64.8, 19.3]",Ground Pass,,18.3,,,11.0,Midfield third - Center - To left - Short - Ground Pass,0.6979200798,0.9861589074,Diogo Antônio Rodrigues Da Silva,437709.0,,,,,,1,Regular Play,Fabricio Amato,406490.0,Right Defensive Midfield,43,Zalaegerszegi TE,2209,"['61f6ed2a-7289-5b95-aa6b-a5e9eb59f501', '157025e7-6f78-5045-ab28-d3c4bbd1c434']",31,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:31.387,Pass,
,,,,,,,,,,,,,,,,1.8169220000000206,,,,,,,,,,e9569b2b-c636-4514-b4ff-08f2dcaebebd,728,,,"[68.3, 19.4]",4003713,18,0.0084983921,0.0092918668,-0.0007934747,0.0296144895,0.0194554236,0.0101590659,0.0109525407,,,,-0.284226,,,Left Foot,,,,"[103.9, 9.0]",Ground Pass,,37.09,,,13.0,Midfield third - Left - Forwards - Short - High Pass,0.9812951589,0.7646784782,Alen Martin Skribek,101837.0,,,,,,1,Regular Play,Diogo Antônio Rodrigues Da Silva,437709.0,Left Center Back,43,Zalaegerszegi TE,2209,"['6733c6b8-20c5-5fbe-91fa-d0fe47a224d4', 'a7cf4988-bfb9-5edf-a01d-7a2d8b053f43']",34,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:34.858,Pass,
,,,,,,,,,,,,,,,,1.2585870000000574,,,,,,,,,,9f4a834f-d1f3-47cd-98e9-77faf43501d4,731,,,"[102.7, 9.3]",4003713,18,0.0088034207,0.0084983921,0.0003050286,0.0264300033,0.0290769897,-0.0026469864,-0.002952015,,,,-2.649381,,,Left Foot,,,,"[95.8, 5.6]",Ground Pass,,7.83,,,24.0,Attacking third - Left - Backwards - Short - Ground Pass,0.999946351,0.9651854038,Maxsuell Alexandre Alves Soares,428358.0,,,,,,1,Regular Play,Alen Martin Skribek,101837.0,Left Midfield,43,Zalaegerszegi TE,2209,"['e52ae72b-ddd2-521f-8f74-3e63d88c189a', 'c68012c5-f9d2-5672-b4f9-67cfe2f429f5']",38,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:38.892,Pass,
,,,,,,,,,,,,,,,,1.7885359999998474,,,,,,,,,,dd09024a-4b59-4740-8ccd-564f8f15f579,734,,,"[92.3, 6.8]",4003713,18,0.0095343115,0.0084061977,0.0011281138,0.0252723135,0.0239035543,0.0013687592,0.0002406454,,,,2.113547,,,Right Foot,,,,"[73.3, 38.3]",Ground Pass,,36.79,,,46.0,Midfield third - Left - To right - Short - Ground Pass,0.9728038198,0.9797730446,Fabricio Amato,406490.0,,,,,,1,Regular Play,Maxsuell Alexandre Alves Soares,428358.0,Center Attacking Midfield,43,Zalaegerszegi TE,2209,"['0cc52890-34ed-54c9-81a0-43874dc39514', '6a199999-093a-5d03-94ac-7bb1706a3465']",41,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:41.444,Pass,
,,,,,,,,,,,,,,,,2.4,,,,,,,,,,081d5cce-daf0-4304-a055-73b582d79265,737,,,"[74.0, 38.7]",4003713,18,0.0088694692,0.0094837239,-0.0006142547,0.0238673799,0.0247777756,-0.0009103958,-0.000296141,,,,1.172518,,,Right Foot,,,,"[89.4, 75.3]",Ground Pass,,39.71,,,8.0,Midfield third - Center - To right - Short - Ground Pass,0.9334750278,0.9626916051,András Mátyás Csonka,101841.0,,,,,,1,Regular Play,Fabricio Amato,406490.0,Right Defensive Midfield,43,Zalaegerszegi TE,2209,"['8e5da6fc-9f53-5bcb-8372-81ab09843087', '12b02998-c59c-518f-af45-f3bc2ff4aeb0']",44,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:44.525,Pass,
,,,,,,,,,,,,,,,,1.3564359999999869,,,,,,,,,,8edcb7c2-51aa-4f9c-9703-f9e607290c6e,740,,,"[86.3, 74.2]",4003713,18,0.0094680544,0.0087783867,0.0006896676,0.022210665,0.0232944619,-0.0010837968,-0.0017734645,,,,-2.246996,,,Right Foot,,,,"[72.9, 57.5]",Ground Pass,,21.41,,,3.0,Attacking third - Right - Backwards - Short - Ground Pass,0.9608321939,0.9886232615,Fabricio Amato,406490.0,,,,,,1,Regular Play,András Mátyás Csonka,101841.0,Right Back,43,Zalaegerszegi TE,2209,"['ec281ca0-bd7f-5def-9012-bdc784acac62', '426895a9-5528-51c3-a652-24cc5d490d9f']",50,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:50.764,Pass,
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1de39499-6556-4804-9f3c-a4eaeda5f750,743,,,"[70.1, 55.5]",4003713,18,0.0093285954,0.0092444746,8.41208e-05,0.0224131253,0.021111805,0.0013013203,0.0012171995,,,,-1.498554,,,Right Foot,,,,"[72.3, 25.1]",Ground Pass,,30.48,,,18.0,Midfield third - Right - To left - Short - Ground Pass,0.8697274081,0.9758856893,Diogo Antônio Rodrigues Da Silva,437709.0,,,,,,1,Regular Play,Fabricio Amato,406490.0,Right Defensive Midfield,43,Zalaegerszegi TE,2209,"['a5f3b378-6ab0-51bb-aaf6-e5f51ad55a1d', '4fab27c7-2f91-5542-9061-459d1f7abd92']",53,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:53.379,Pass,
,,,,,,,,,,,,,,,,0.8824010000000708,,,,,,,,,,6740f1ee-27cc-47f0-91e8-282c4b0929d1,746,,,"[82.3, 23.1]",4003713,18,0.009099395,0.0089205438,0.0001788512,0.0256182011,0.0252846628,0.0003335383,0.0001546871,,,,1.943784,,,Left Foot,,,,"[78.7, 32.3]",Ground Pass,,9.88,,,2.0,Attacking third - Center - To right - Short - Ground Pass,0.4940358425,0.9664958715,Alen Martin Skribek,101837.0,,,,,,1,Regular Play,Diogo Antônio Rodrigues Da Silva,437709.0,Left Center Back,43,Zalaegerszegi TE,2209,"['797c4d6b-73e1-5bbb-841b-46f4d7b3dab1', 'e4753c47-9757-50fc-94c6-f071698d7f96']",57,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:57.790,Pass,
,,,,,,,,,,,,,,,,1.229493999999948,,,,,,,,,,0a6416a1-f73b-4578-90e7-7c873e1ed6c6,749,,,"[77.6, 34.3]",4003713,18,0.0095298681,0.0089374101,0.0005924581,0.0248467308,0.0256727152,-0.0008259844,-0.0014184425,,,,1.900633,,,Right Foot,,,,"[73.8, 45.4]",Ground Pass,,11.73,,,2.0,Attacking third - Center - To right - Short - Ground Pass,0.8136769824,0.9818902016,Fabricio Amato,406490.0,,,,,,1,Regular Play,Alen Martin Skribek,101837.0,Left Midfield,43,Zalaegerszegi TE,2209,"['0da1f0f6-f653-5a35-900a-662cb64c760d', 'c456e271-2e43-50ce-acb5-1afcaa2041f9']",59,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:18:59.073,Pass,
,,,,,,,,,,,,,,,,1.6,,,,,,,,,,cde67651-1374-4087-a7e1-3d770b690a62,752,,,"[72.3, 46.8]",4003713,19,0.0092831794,0.0101088304,-0.000825651,0.0220765751,0.0237188581,-0.0016422831,-0.0008166321,,,,1.367138,,,Right Foot,,,,"[76.1, 65.2]",Ground Pass,,18.79,,,8.0,Midfield third - Center - To right - Short - Ground Pass,0.8107933022,0.9719903469,Bence András Kiss,404968.0,,,,,,1,Regular Play,Fabricio Amato,406490.0,Right Defensive Midfield,43,Zalaegerszegi TE,2209,"['10549114-3a3d-587a-86ea-218aee52b2ce', 'b8cf7b5f-b25b-51b6-84c4-6867290224f8']",1,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:19:01.309,Pass,
