,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
2547,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,76fe982e-f176-4639-84f4-8751e4b49e40,1925,,,"[56.9, 6.5]",4003664,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Balázs Manner,345335.0,Left Midfield,147,Nyíregyháza Spartacus,2215,,34,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:16:34.052,Miscontrol,
2548,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c43dac36-89c7-46db-b5d3-14e3886c0144,2369,,,"[22.2, 25.7]",4003664,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ábel György Krajcsovics,446356.0,Left Midfield,177,Ujpest,1033,['505293b4-ea55-5d1a-a5b3-948dd20dfd65'],39,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:29:39.179,Miscontrol,
2549,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1899c276-ae6c-4976-b738-2acd3cac1a2a,2437,,,"[97.8, 23.9]",4003664,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Aljoša Matko,101803.0,Right Center Forward,181,Ujpest,1033,,23,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:32:23.299,Miscontrol,
2550,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,37625c76-7a30-4a6a-8899-c96ef0892af3,2605,,,"[99.5, 56.0]",4003664,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Attila Temesvári,405771.0,Center Back,199,Nyíregyháza Spartacus,2215,['1720a2a6-9202-515c-88ad-163fd716d8d1'],39,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:40:39.796,Miscontrol,
2551,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bb10b6ba-0bd4-4072-8e7d-8844c19af29c,2655,,,"[29.7, 72.4]",4003664,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Marko Kvasina,8042.0,Right Center Midfield,206,Nyíregyháza Spartacus,2215,,54,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:42:54.955,Miscontrol,
2552,,,,,,,,,,,,True,,,,,,0.0,True,,,,,,,,,,,,,804f8fe4-a05c-48ae-a9e8-ee544fb2e554,88,,,"[43.3, 23.4]",4003664,1,0.0254903417,0.0358536281,-0.0103632864,0.0091019962,0.0097909784,-0.0006889822,0.0096743042,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,8,Nyíregyháza Spartacus,2215,['a906e507-2cf1-548f-9272-96e12acc9552'],53,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:53.974,Foul Committed,
2553,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3ff7df0d-f77d-4a72-b905-ea8a815e7748,139,,,"[82.6, 46.6]",4003664,2,0.0114145186,0.0131272925,-0.0017127739,0.0099924253,0.0124885412,-0.0024961159,-0.0007833419,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bálint Lajos Katona,404992.0,Center Attacking Midfield,12,Nyíregyháza Spartacus,2215,['93a32748-d894-5c74-87b6-519e1d031cf9'],53,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:02:53.852,Foul Committed,
2554,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7256a3aa-14a9-46ef-b443-c3c9625dbb27,324,,,"[117.5, 57.2]",4003664,8,0.007820298,0.0079046171,-8.43192e-05,0.0092963055,0.0282974914,-0.0190011859,-0.0189168667,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,João Aniceto Grandela Nunes,7977.0,Right Center Back,22,Ujpest,1033,"['4477c00f-fcc2-5db1-870d-0eb684209f3c', '71355d56-23ca-4b6d-a7df-e7d31fd4043b']",9,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:09.994,Foul Committed,
2555,,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,c5243fe9-f86a-4e06-aa04-199323936919,368,,,"[81.4, 5.4]",4003664,9,0.0112306625,0.0103364019,0.0008942606,0.0113308132,0.0114025194,-7.17063e-05,-0.0009659668,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bálint Lajos Katona,404992.0,Center Attacking Midfield,26,Ujpest,1033,['f71deaf1-7f99-503e-9928-d81a99b12738'],23,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:09:23.421,Foul Committed,
2556,,,,,,,,,,,,,,,,,,0.0,,Yellow Card,,,,,,,,,,,,552a8b16-0168-47a9-b274-be05bd9e203e,421,,,"[107.4, 27.2]",4003664,12,0.0072478512,0.005679586,0.0015682653,0.0094010057,0.0137016391,-0.0043006334,-0.0058688987,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Attila Temesvári,405771.0,Right Center Back,33,Nyíregyháza Spartacus,2215,['600dbc32-5300-5dba-83d1-1b83a61fd9b0'],34,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:12:34.176,Foul Committed,
2557,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0886d29f-0748-4946-aaf4-4274af743380,427,,,"[54.9, 77.8]",4003664,13,0.0136300186,0.0136605166,-3.0498e-05,0.0100567015,0.0095071429,0.0005495586,0.0005800566,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Meldin Drešković,136224.0,Right Back,34,Ujpest,1033,['d81a425b-ca85-5202-b7d2-758fb6e4affb'],13,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:13:13.980,Foul Committed,
2558,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1d9a7158-abc7-419e-9191-72a6bd9e077c,440,,,"[118.2, 31.9]",4003664,14,0.0071915952,0.0089347791,-0.0017431839,0.0090761213,0.0117484918,-0.0026723705,-0.0009291866,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Milan Tučić,48713.0,Center Forward,35,Ujpest,1033,['b540d820-a0dc-5827-96ba-22a731ae65d6'],3,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:14:03.358,Foul Committed,
