50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.206,,,,,,,,,,,,,,5c4f7188-c9fe-5085-9522-1c6cddb6df47,2327,,"[76.8, 8.9]",4003593,65,0.0097174933,0.0094319982,0.0002854951,0.022492718,0.0209118761,0.0015808418,0.0012953468,,,,1.696063,,Right Foot,,,,"[75.1, 22.4]",Ground Pass,,13.61,,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.8106796318,0.9438021779,Damian Rasak,12829.0,,,,,,,2,From Throw In,André Lourenço Duarte,132838.0,Left Center Back,177,Ujpest,1033,"['639dbfd2-2989-59ef-af56-f1c29f8fec70', 'e6974490-85c4-5abc-b1bb-21c35c0dbbc4']",10,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:10.656,Pass,
,,,,,,,,,,,,,,,,,,,,2.207,,,,,,,,,,,,,,f3dce3e5-84b8-56b0-a94c-a7381fbf26e8,2330,,"[77.9, 29.3]",4003593,65,0.0087957224,0.0090463385,-0.0002506161,0.0321437456,0.0255250782,0.0066186674,0.0068692835,,,,1.119437,,Right Foot,,,,"[90.6, 55.5]",Ground Pass,,29.12,,,,8.0,Midfield third - Center - To right - Short - Ground Pass,0.7779268385,0.8963887095,Aljoša Matko,101803.0,,,,,,,2,From Throw In,Damian Rasak,12829.0,Right Defensive Midfield,177,Ujpest,1033,"['cf85f6ff-12da-5572-96f2-d323507eb2d8', '217b89bf-c32a-5366-809b-4a72fe9040be']",13,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:13.538,Pass,
,,,,,,,,,,,,,,,,,,,,0.919,,,,,,,,,,,,,,3071c53c-7fa8-519f-b87f-d92c369b1f9b,2333,,"[92.6, 58.9]",4003593,65,0.0092117153,0.0095273033,-0.000315588,0.0369511098,0.03326625,0.0036848597,0.0040004477,,,,-1.570796,,Right Foot,,,,"[92.6, 51.4]",Ground Pass,,7.5,,,,31.0,Attacking third - Right - To left - Short - Ground Pass,0.763200821,0.8896759748,Iuri José Picanço Medeiros,7138.0,,,,,,,2,From Throw In,Aljoša Matko,101803.0,Right Wing,177,Ujpest,1033,"['e008bc30-dc9f-5e26-a60f-6f1dc6086e6f', '68ec740d-eb6e-5034-9604-2774854e7614']",16,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:16.966,Pass,
,,,,,,,,,,,,,,,,,,,,0.729,,,,,,,,,,,,,,7a16399d-96b6-5807-8858-eb375cbda90d,2336,,"[92.6, 50.2]",4003593,65,0.009093618,0.0088356007,0.0002580173,0.0271981005,0.0374574326,-0.0102593321,-0.0105173495,,,,1.973708,,Left Foot,,,,"[87.4, 62.4]",Ground Pass,,13.26,,,,55.0,Attacking third - Right - Backwards - Short - Ground Pass,0.5268127588,0.8976837993,Aljoša Matko,101803.0,,,,,,,2,From Throw In,Iuri José Picanço Medeiros,7138.0,Center Attacking Midfield,177,Ujpest,1033,"['9e5b32b2-c133-53a8-a1b3-d1fe09d64cc7', '5c977c11-6909-5dac-8d7f-d3852cc2ed09']",17,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:17.973,Pass,
,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,3b65a160-693d-5448-a77d-1340a4812903,2339,,"[85.2, 62.4]",4003593,65,0.0095607899,0.0092013991,0.0003593909,0.0359008983,0.026175186,0.0097257122,0.0093663214,,,,-0.785398,,Right Foot,,,,"[93.6, 54.0]",Low Pass,,11.88,,,,51.0,Midfield third - Right - To left - Short - Ground Pass,0.4511627449,0.5692398548,Iuri José Picanço Medeiros,7138.0,,,,,,,2,From Throw In,Aljoša Matko,101803.0,Right Wing,177,Ujpest,1033,"['22fb0728-940d-5c3e-8a0e-75cdb9a5f646', 'c492b792-b6cb-5664-8a58-1a0f8dd088d6']",19,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:19.298,Pass,
,,,,,,,,,,,,,,,,,,,,2.044,,,,,,,,,,,,,,3a5e4acd-1357-55ac-844d-ad3b8c53669c,2345,,"[97.9, 60.7]",4003593,65,0.0097076884,0.0088542858,0.0008534025,0.0416367538,0.03389192,0.0077448338,0.0068914313,,,,-1.112674,,Left Foot,,,,"[115.8, 24.4]",High Pass,,40.47,,Incomplete,,40.0,Attacking third - Right - To left - Short - High Pass,0.8591630284,0.2824389935,,,,,,,,0.015020166,2,From Throw In,Iuri José Picanço Medeiros,7138.0,Center Attacking Midfield,177,Ujpest,1033,"['2ab334c5-749c-5af8-99c2-3dabbb600db9', '94d8528e-56de-595d-aca3-c72e77cd922f']",23,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:23.610,Pass,
,,,,,,,,,,,,,,,,,,,,1.749,,,,,,,,,,,,,,24d5313b-e38b-57cb-b130-957359a7a464,2347,,"[120.0, 0.1]",4003593,65,0.0091490103,0.0097076884,-0.0005586781,0.0228184573,0.0416367538,-0.0188182965,-0.0182596184,,,,1.732948,,Right Foot,,,,"[113.8, 38.0]",High Pass,True,38.4,,Incomplete,,,,,0.4317280352,,,,,Inswinging,,Corner,0.016927216,2,From Corner,Giorgi Beridze,28763.0,Left Wing,178,Ujpest,1033,['b7fdfa25-b5a6-5305-b208-ea77cfea4d69'],49,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:49.709,Pass,
,,,,,,,,,,,,,,,,,,,,1.674,,,,,,,,,,,,,,c00520dc-d9bf-507b-8f98-07247df6618a,2350,,"[76.8, 58.9]",4003593,65,0.0088707134,0.0071070031,0.0017637103,0.0250904523,0.0168026462,0.0082878061,0.0065240958,,,,0.602287,,Left Foot,,,,"[84.8, 64.4]",Ground Pass,,9.71,,,,17.0,Midfield third - Right - Forwards - Short - Ground Pass,0.8093037833,0.8656301498,Damian Rasak,12829.0,,,,,Recovery,,2,From Corner,Krisztián Tamás,348792.0,Left Back,178,Ujpest,1033,['e527fbb2-f7b6-5330-b0ef-1abcce89da25'],55,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:55.709,Pass,
,,,,,,,,,,,,,,,,,,,,1.161,,,,,,,,,,,,,,731865b0-183b-5359-85f1-30701e929783,2353,,"[85.7, 66.1]",4003593,65,0.008326658,0.0087841107,-0.0004574526,0.0296745803,0.0244532265,0.0052213538,0.0056788065,,,,0.279223,,Right Foot,,,,"[100.0, 70.2]",Ground Pass,,14.88,,,,43.0,Attacking third - Right - Forwards - Short - Ground Pass,0.9911344953,0.8096833825,Iuri José Picanço Medeiros,7138.0,,,,,,,2,From Corner,Damian Rasak,12829.0,Right Defensive Midfield,178,Ujpest,1033,"['ad68214c-2bd5-54d9-972d-33e0788004de', '093e912b-66c4-5584-9e65-7e890db83fc7']",57,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:20:57.580,Pass,
,,,,,,,,,,,,,,,,,,,,1.048,,,,,,,,,,,,,,4209c0c3-0627-581c-9046-11690aa720a2,2356,,"[97.4, 70.7]",4003593,66,0.0090289237,0.0084274933,0.0006014304,0.0208897796,0.02807853,-0.0071887504,-0.0077901809,,,,-3.096169,,Left Foot,,,,"[86.4, 70.2]",Low Pass,,11.01,,,,3.0,Attacking third - Right - Backwards - Short - Ground Pass,0.9976266651,0.8306218386,Damian Rasak,12829.0,,,,,,,2,From Corner,Iuri José Picanço Medeiros,7138.0,Center Attacking Midfield,178,Ujpest,1033,"['8d7fbae6-a234-5b60-b7b4-886946e67f0d', '27c7bd41-dda2-5d53-a37c-d41b3a2e452e']",0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:21:00.448,Pass,
