50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[31.7, 56.1]",,,,,,,,,,,5.203261999999988,,,,,,,,,,,ea57d9ba-be37-5368-bea9-616f027a41a2,1977,,,"[14.3, 51.3]",4003603,55,0.0110743428,0.0118224528,-0.00074811,0.0131445946,0.0101621347,0.00298246,0.00373057,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,André Lourenço Duarte,132838.0,Right Center Back,142,Ujpest,1033,"['e967eaa2-92d9-417f-b615-096736756260', '0a03d06c-c8e7-599e-8173-4231b1e64727']",21,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:21.526,Carry,
,,,,,"[45.5, 70.8]",,,,,,,,,,,0.00030000000004656613,,,,,,,,,,,1c91a7ce-1eba-52f8-ba71-463b39d2d826,1980,,,"[45.5, 70.8]",4003603,55,0.0107096042,0.0107096042,0.0,0.0139071578,0.0139071578,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,João Aniceto Grandela Nunes,7977.0,Right Back,142,Ujpest,1033,"['a78632e7-9e74-5df4-9745-4a886ad069ae', '3d3b397f-ad85-4d8b-9f8b-635bf7cb76a9']",28,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:28.160,Carry,
,,,,,"[37.5, 57.8]",,,,,,,,,,,2.025487999999896,,,,,,,,,,,6b8d130f-e031-57a4-8f7e-34be8871af61,1983,,,"[33.7, 59.4]",4003603,55,0.0121961841,0.0128249992,-0.000628815,0.0121675571,0.0112790568,0.0008885004,0.0015173154,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,André Lourenço Duarte,132838.0,Right Center Back,142,Ujpest,1033,"['b1af8450-7335-4933-bc6f-e08e5a8f68ae', 'c4996172-70c7-54ac-adf9-3501ca523c34', '0c0c3729-97b3-480c-90f1-969e4a428ad6']",29,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:29.330,Carry,True
,,,,,"[50.0, 72.6]",,,,,,,,,,,1.623951000000001,,,,,,,,,,,af8d06ed-eb17-51e4-988e-14bd81c0ed4e,1987,,,"[41.8, 74.8]",4003603,55,0.0095518995,0.0118367234,-0.0022848239,0.0115109812,0.0105771087,0.0009338725,0.0032186965,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,João Aniceto Grandela Nunes,7977.0,Right Back,142,Ujpest,1033,"['9919c40e-c358-5b61-8c37-ee67a83ae69e', '767ecf1f-bb34-5270-88c4-6a1aca8794cb', '85d53513-bcca-47db-a66c-4677c390f90d']",33,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:33.321,Carry,True
,,,,,"[30.8, 24.1]",,,,,,,,,,,1.171731000000029,,,,,,,,,,,668b2a2a-dc5f-5094-8c9f-9f809c6f9544,1995,,,"[30.8, 26.6]",4003603,55,0.0110599026,0.0113942781,-0.0003343755,0.0131719867,0.0135809174,-0.0004089307,-7.45552e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Davit Kobouri,46812.0,Left Center Back,143,Ujpest,1033,"['aecf87b0-869f-51fe-8248-7d5eb08c46fa', 'a16358ce-2d0a-4b16-a658-0445b7e1d5d9']",58,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:10:58.500,Carry,
,,,,,"[45.2, 7.6]",,,,,,,,,,,0.8006819999999134,,,,,,,,,,,9c2741ae-c457-5478-9e53-d8898927967a,1998,,,"[42.3, 8.4]",4003603,56,0.0109138926,0.0114077395,-0.0004938468,0.0126780206,0.01230154,0.0003764806,0.0008703275,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Damian Rasak,12829.0,Left Defensive Midfield,143,Ujpest,1033,"['236270b0-4731-4655-a33b-c800035a35e1', '3c46e70e-7c1a-5f47-a04d-05d0597ec0f7']",1,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:01.216,Carry,
,,,,,"[75.2, 3.4]",,,,,,,,,,,4.159008000000031,,,,,,,,,,,da91fb27-5b3e-53b7-acb3-33ec15a0f916,2001,,,"[62.5, 1.6]",4003603,56,0.0095132124,0.009468914,4.42984e-05,0.0190688372,0.0160786044,0.0029902328,0.0029459344,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,143,Ujpest,1033,"['6dde74ac-1b5c-4e5c-ac9b-e2a218a4d632', '8faca958-2ebf-5644-8071-550702e6b557']",3,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:03.186,Carry,
,,,,,"[84.3, 9.6]",,,,,,,,,,,2.643476000000024,,,,,,,,,,,0d51759b-398e-5817-82e5-ce8f15eb6432,2004,,,"[88.5, 3.8]",4003603,56,0.0088435886,0.0083537875,0.0004898012,0.0226619802,0.0224799849,0.0001819953,-0.0003078058,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Krisztofer Horváth,40039.0,Left Wing,143,Ujpest,1033,"['fa0fdf86-bd18-5c57-9b3f-35776475b05e', '1f37b010-f264-46da-b991-6cfa67eec3f3', '6bb13a26-01aa-408e-b973-4c1cf684bc19']",8,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:08.305,Carry,True
,,,,,"[98.2, 43.6]",,,,,,,,,,,0.8622119999999414,,,,,,,,,,,09b6b7b3-1f0d-582c-aa90-f9c6b61d9e9e,2008,,,"[93.5, 42.8]",4003603,56,0.0091142058,0.0090783304,3.58755e-05,0.0652629435,0.0445089042,0.0207540393,0.0207181638,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Iuri José Picanço Medeiros,7138.0,Center Attacking Midfield,143,Ujpest,1033,"['8594e025-c478-573c-8c8d-b3a7d12ef63c', 'b8843e9f-4ad2-40b7-bda8-255d60188781']",12,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:12.462,Carry,
,,,,,"[111.6, 55.2]",,,,,,,,,,,1.023697999999975,,,,,,,,,,,bbd104bc-d139-54ac-b46c-6732b7d3b518,2011,,,"[105.8, 54.9]",4003603,56,0.0083448924,0.0087481877,-0.0004032953,0.0735240132,0.0653499588,0.0081740543,0.0085773496,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Aljoša Matko,101803.0,Right Wing,143,Ujpest,1033,"['940d2caf-7d91-459c-86c3-ab6377bd8555', '5a286871-5ac5-4680-b372-ef83c6a20d68', '99e4f01b-8fea-5844-bfa4-bb8b7af81ea4']",14,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:11:14.764,Carry,True
,,,,,"[109.0, 2.9]",,,,,,,,,,,0.612,,,,,,,,,,,ffe63dcd-cf17-5d25-8a44-73ee03000cf9,2021,,,"[108.8, 2.9]",4003603,57,0.0083094854,0.0052428888,0.0030665966,0.0250043012,0.0132988933,0.0117054079,0.0086388113,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Krisztofer Horváth,40039.0,Left Wing,144,Ujpest,1033,"['8f6fb50a-c306-41ec-86e3-2d141bb326f9', '2252d427-1575-4f5c-b17f-881d30200eb6']",9,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:09.977,Carry,
,,,,,"[95.2, 7.8]",,,,,,,,,,,0.00025600000005215407,,,,,,,,,,,b39b30f9-50ef-5dab-82d7-96036c587d2b,2024,,,"[95.2, 7.8]",4003603,57,0.0086975964,0.0086975964,0.0,0.0267514102,0.0267514102,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Tiago Lisboa Silva Gonçalves,418965.0,Left Back,144,Ujpest,1033,"['1cb4a399-5629-4173-8598-bc8ada5bcf90', 'ec655cd7-f601-5d97-bc3a-75e5a60f44ec']",12,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:12.123,Carry,
