50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.8360570000000296,,,,,,,,,,,,,54022109-da59-47c2-83c7-745f6fbea608,1981,,"[6.8, 37.4]",4070738,61,,0.0074014869,0.011134522,-0.0037330352,0.0090889828,0.0069964635,0.0020925193,0.0058255545,True,,-0.453149,,,Right Foot,,,"[83.4, 0.1]",,High Pass,,85.2,,Out,54.0,Defensive third - Center - Forwards - Long - High Pass,0.9614175046,0.3935473859,,,,,,,,Goal Kick,,2,From Goal Kick,Péter Szappanos,158733.0,Goalkeeper,149,Ujpest,1033,,18,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:16:18.918,Pass,
,,,,,,,,,,,,,,,,,0.9419340000000084,,,,,,,,,,,,,eb02c1d0-5468-4340-bc1a-c06605990db7,1982,,"[36.3, 80.0]",4070738,61,,0.009934566,0.0090889828,0.0008455832,0.0143341329,0.0074014869,0.006932646,0.0060870629,,,-1.204792,,,,,,"[42.7, 63.4]",,Low Pass,,17.8,,,,,,0.9539217949,István Bognár,404294.0,,,,,,Throw-in,,2,From Throw In,Benedek Varju,40491.0,Right Back,150,MTK Budapest,2207,['66b8d950-9f02-51e5-b902-697eb83cbfb4'],32,,,,,,,,,,,,,,,,,,,,,MTK Budapest,2207,00:16:32.754,Pass,
,,,,,,,,,,,,,,,,,1.7135579999999608,,,,,,,,,,,,,08760f95-9ff6-4e15-9db6-8c27ef763981,1985,,"[42.7, 63.4]",4070738,61,,0.0133594219,0.009934566,0.0034248559,0.0095207365,0.0143341329,-0.0048133964,-0.0082382523,True,,1.502829,,,Right Foot,,,"[43.8, 80.0]",,Low Pass,,16.64,,Out,1.0,Midfield third - Center - To right - Short - Ground Pass,0.483776248,0.8038161993,,,,,,,,,,2,From Throw In,István Bognár,404294.0,Center Attacking Midfield,150,MTK Budapest,2207,['d11ac412-6f0e-5b04-a637-14da77fa4f06'],33,,,,,,,,,,,,,,,,,,,,,MTK Budapest,2207,00:16:33.696,Pass,
,,,,,,,,,,,,,,,,,1.2471459999999497,,,,,,,,,,,,,24b7370a-15ad-48b2-9de3-120993fd7c98,1986,,"[77.8, 0.1]",4070738,61,,0.0092932628,0.0095207365,-0.0002274737,0.0192665383,0.0133594219,0.0059071165,0.0061345901,,,0.799286,,,,,,"[84.9, 7.4]",,Low Pass,,10.18,,,,,,0.9705014825,Etienne Amenyido,28574.0,,,,,,Throw-in,,2,From Throw In,Ferenc Ujváry,565814.0,Left Back,151,Ujpest,1033,['90b731a9-dfe2-5ea6-bc6d-ee0082c415a2'],44,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:16:44.441,Pass,
,,,,,,,,,,,,,,,,,1.2976919999999228,,,,,,,,,,,,,5195a5d9-d3d4-4660-b523-3fe32a3622c8,1990,,"[83.8, 7.7]",4070738,61,,0.0081690773,0.0082320208,-6.29434e-05,0.0213851128,0.0188366938,0.0025484189,0.0026113624,,,-0.550982,,True,Right Foot,,,"[92.1, 2.6]",,Ground Pass,,9.74,,,57.0,Midfield third - Left - Forwards - Short - Ground Pass,0.6103361006,0.6845753193,Ferenc Ujváry,565814.0,,,,,,,,2,From Throw In,Etienne Amenyido,28574.0,Left Center Forward,151,Ujpest,1033,"['2170975b-0a5c-5e32-9516-960e327f642d', '03b4c75b-ef2d-4b53-98e7-4a0b72d636d5', 'd5500b17-0d5c-5028-8de2-d3d0ba1b48e7']",46,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:16:46.690,Pass,True
,,,,,,,,,,,,,,,,,0.5122699999999022,,,,,,,,,,,,,40748bce-e65f-4fea-a811-abe4b05611c2,1994,,"[109.3, 7.7]",4070738,61,,0.0084407208,0.00812665,0.0003140708,0.0135687403,0.0266081151,-0.0130393747,-0.0133534456,,,1.384459,,,Left Foot,,,"[111.6, 19.9]",,Ground Pass,,12.41,,Incomplete,7.0,Attacking third - Left - To right - Short - Ground Pass,0.9865489753,0.2118572891,,,,,,,,,,2,From Throw In,Ferenc Ujváry,565814.0,Left Back,151,Ujpest,1033,"['60243353-8db7-4901-9229-4c8f5f3093b4', 'bfac7794-b2d2-5480-8bb9-a699b809a82c', 'b501fc70-7b46-44b8-8561-c591ec16d080']",50,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:16:50.958,Pass,True
,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,2d582fa3-9532-4af7-ba07-4b0a9d5b9c30,1998,,"[10.2, 42.5]",4070738,61,,0.0118583655,0.0119251367,-6.67712e-05,0.0137374997,0.0130971139,0.0006403858,0.000707157,,,-0.415582,,,Keeper Arm,,,"[32.0, 32.9]",,Ground Pass,,23.83,,,21.0,Defensive third - Center - To left - Short - Ground Pass,0.9508036946,0.9964088798,Adrian Zeljković,404312.0,,,,,,,,2,Regular Play,Patrik Demjén,389883.0,Goalkeeper,152,MTK Budapest,2207,"['ae300af0-de5f-53c6-9e92-71e6828064be', 'f7148f86-f446-5ba7-98d5-4af0229aed61']",58,,,,,,,,,,,,,,,,,,,,,MTK Budapest,2207,00:16:58.815,Pass,
,,,,,,,,,,,,,,,,,1.455246999999974,,,,,,,,,,,,,4041be11-eff2-4449-bf20-ae48f1daef15,2001,,"[31.7, 33.4]",4070738,62,,0.0109729823,0.0113946907,-0.0004217084,0.0147156166,0.0137374997,0.0009781169,0.0013998253,,,0.736527,,,Right Foot,,,"[49.5, 49.5]",,Low Pass,,24.03,,,45.0,Midfield third - Center - To right - Short - Ground Pass,0.9718006377,0.5706143379,István Bognár,404294.0,,,,,,,,2,Regular Play,Adrian Zeljković,404312.0,Left Defensive Midfield,152,MTK Budapest,2207,"['93a068ca-8233-57d7-ac3a-e3a28eb7aa3e', '48189b6e-dd59-5ae5-b5c4-b0f0463a8a5a']",1,,,,,,,,,,,,,,,,,,,,,MTK Budapest,2207,00:17:01.426,Pass,
,,,,,,,,,,,,,,,,,2.908150000000023,,,,,,,,,,,,,7acf1678-3d6f-41eb-b333-1b45e9200903,2004,,"[49.5, 49.5]",4070738,62,,0.0094459448,0.0109729823,-0.0015270375,0.0145776179,0.0147156166,-0.0001379987,0.0013890387,,,1.291308,,,Right Foot,,,"[56.8, 75.0]",,Low Pass,,26.57,,,1.0,Midfield third - Center - To right - Short - Ground Pass,0.9973563333,0.3959766924,Gábor Jurek,405025.0,,,,,,,,2,Regular Play,István Bognár,404294.0,Center Attacking Midfield,152,MTK Budapest,2207,"['b36d34e1-29df-4b79-8612-13c0f22acd40', '1313555c-86e0-5c98-abfb-7f0bb840869e']",2,,,,,,,,,,,,,,,,,,,,,MTK Budapest,2207,00:17:02.881,Pass,True
,,,,,,,,,,,,,,,,,1.4208009999999776,,,,,,,,,,,,,258a5d85-332c-47dd-86ab-f0733f45b832,2007,,"[56.0, 75.0]",4070738,62,,0.0108236037,0.0093210842,0.0015025195,0.011523027,0.0145298559,-0.0030068289,-0.0045093484,,,-2.946405,,,Left Foot,,,"[36.8, 71.2]",,Ground Pass,,19.54,,,36.0,Midfield third - Right - Backwards - Short - Ground Pass,0.8909258354,0.9924243689,Benedek Varju,40491.0,,,,,,,,2,Regular Play,Gábor Jurek,405025.0,Right Wing,152,MTK Budapest,2207,"['f8fee44f-46ef-52f6-a221-5577d10de929', '327382d4-7ea4-5b4a-b4b2-d03d6eb6bc8d']",6,,,,,,,,,,,,,,,,,,,,,MTK Budapest,2207,00:17:06.438,Pass,
