bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,58aec91c-94fa-5043-b037-65aa6ac57b85,235,,,"[40.5, 61.7]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,19,Ujpest,1033,"['8b4aa1d2-a091-4b19-bbfc-d9a374ba0c1c', 'b46c64ff-9e0a-59dc-a162-b4ab5b806c74']",15,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:15.117,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9bab325b-240f-5ad0-95f1-96cadd847dcd,238,,,"[25.3, 27.7]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,19,Ujpest,1033,"['d16169fe-8e09-4021-b88e-c29339b247bf', '8c50507d-d196-5c03-bfd7-a44d0b3c9e9c']",18,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:18.525,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,f9bb585a-6012-5e09-813c-049c230b86a4,241,,,"[9.3, 45.4]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dávid Banai,404208.0,Goalkeeper,19,Ujpest,1033,"['f268fb3a-4603-5b47-a3ff-82395c9b05be', '696a95be-63da-4218-bd40-bb658eaf60eb']",19,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:19.688,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2b6c8192-129c-5653-8093-e2352434d127,244,,,"[11.7, 71.7]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,19,Ujpest,1033,"['c5ba33a3-2b1c-4a06-9fb4-a5512994af07', 'f7a2d108-3e4c-5240-9cdb-63f42ab91ce8']",22,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:22.193,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,72f488b3-8464-5f18-8085-9863fbe50103,248,,,"[6.7, 53.5]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dávid Banai,404208.0,Goalkeeper,19,Ujpest,1033,"['489e51c0-e31b-5ca0-a118-dee6b5ce9b9c', '3bf78064-0e45-4a9f-b495-d7723eb4dbca']",24,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:24.618,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,59ebdd41-50fe-53fa-bf7b-5f474a0b357c,252,,,"[11.7, 22.4]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,19,Ujpest,1033,"['41fa0e65-3d5d-5dc3-93f7-74344f1b9516', 'a2a95544-111f-49bf-b77e-e3fda7402d94']",28,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:28.188,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,79122edf-f3f3-51ac-8218-2822e9c665bc,256,,,"[41.3, 13.4]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Krisztofer Horváth,40039.0,Left Midfield,19,Ujpest,1033,"['d027ee5b-26f4-4515-a9d6-62c158aecdea', '8d1e80d1-26ef-43a9-8f38-e54050fdecc9', '0a9056f8-c810-5778-a181-dfb9ef095cd3']",31,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:31.655,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,62651b95-42c7-501e-9a20-3108796f4b9a,259,,,"[23.2, 3.4]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bence Gergényi,404242.0,Left Back,19,Ujpest,1033,"['6af9ccdd-f38e-52f3-ab0b-7554443a059a', '607c301f-5fe3-4474-8621-07984e0a59c2']",34,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:34.978,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,be1c7070-9074-5a1f-84f6-36cdbc939d37,264,,,"[26.3, 17.9]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Noah Dávid Gabriel Fenyö,318547.0,Left Defensive Midfield,19,Ujpest,1033,"['391e763e-dc74-4399-a394-d09f728adfaf', '0ec4c9d1-4f1d-5d1b-9fa7-545e2b72e44c', 'cf6cf79d-ca41-431e-9d7a-62c0507deef9']",36,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:36.753,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,40be2b80-8b30-5bae-8819-22b3db282469,267,,,"[26.3, 13.7]",4003707,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,19,Ujpest,1033,['013c3016-c76e-487a-bc4e-3c7cefc2fef3'],37,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:06:37.344,Ball Receipt*,
