50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.1965040000000153,,,,,,,,,,,,,,ff1700be-d344-45d4-8b3d-e6512c28e486,2079,,,"[16.3, 41.6]",4003656,52,0.014737661,0.0665616393,-0.0518239783,0.0107349148,0.0092589501,0.0014759647,0.053299943,,,True,-0.190831,,,Head,,,"[25.1, 39.9]",,Low Pass,,8.96,,,,21.0,Defensive third - Center - To left - Short - Ground Pass,0.9203344211,0.7581015229,Meshack Izuchukwu Ubochioma,404244.0,,,,Recovery,,2,Regular Play,László Rácz,484587.0,Right Center Back,146,Kazincbarcika,2541,"['43365cd0-e817-589f-b563-a472a88db054', 'ce3bde88-75f4-51f5-a4ce-a0162e0be594']",37,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:07:37.733,Pass,True
,,,,,,,,,,,,,,,,,,1.2004890000000015,,,,,,,,,,,,,,c78f6360-0d17-4b5c-8f2f-bdb8580bffd6,2084,,,"[29.3, 44.7]",4003656,52,0.0126734609,0.0148380175,-0.0021645566,0.0118320333,0.0118512828,-1.92495e-05,0.0021453071,,,,2.104505,,,Left Foot,,,"[22.8, 55.7]",,Ground Pass,,12.78,,,,33.0,Defensive third - Center - To right - Short - Ground Pass,0.5553987718,0.9832001925,Martin Šlogar,439192.0,,,,,,2,Regular Play,Meshack Izuchukwu Ubochioma,404244.0,Left Midfield,146,Kazincbarcika,2541,"['37532fe3-d755-526f-8060-83ba5196db48', '87b3bc46-ce44-5841-9e66-e69d109be48f', 'e041e669-d782-4b11-93f2-c406e85949db']",40,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:07:40.766,Pass,True
,,,,,,,,,,,,,,,,,,1.7481469999999972,,,,,,,,,,,,,,71270ae4-dfec-4835-b33b-6207cab2bc6d,2087,,,"[25.6, 55.7]",4003656,52,0.0118143894,0.0117821116,3.22778e-05,0.0095712356,0.0120257549,-0.0024545193,-0.002486797,,,,1.553557,,,Right Foot,,,"[25.9, 73.1]",,Ground Pass,,17.4,,,,39.0,Defensive third - Right - Backwards - Short - Ground Pass,0.6117846652,0.9748061895,Attila Szujó,489653.0,,,,,,2,Regular Play,Martin Šlogar,439192.0,Right Midfield,146,Kazincbarcika,2541,"['70e310dd-ba4f-5f59-9102-303323c1d781', '9374089f-d705-50be-a6b9-193ec28868c5']",42,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:07:42.855,Pass,
,,,,,,,,,,,,,,,,,,2.591070000000007,,,,,,,,,,,,,,94684a9e-7827-4c86-9577-7dde6a38594b,2089,,,"[25.9, 73.1]",4003656,52,0.0090213064,0.0118143894,-0.002793083,0.0104503706,0.0095712356,0.000879135,0.003672218,,,,0.077967,,,Right Foot,,,"[64.3, 76.1]",,Low Pass,,38.52,,Incomplete,,41.0,Defensive third - Right - Forwards - Long - High Pass,0.9997959952,0.3987967074,Marcell Major,484584.0,,,,,,2,Regular Play,Attila Szujó,489653.0,Right Back,146,Kazincbarcika,2541,"['dcbb7a08-1514-41d4-a15d-595b4ed93097', '6966b1d7-fa73-5064-b696-248606e9a61a']",44,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:07:44.603,Pass,
,,,,,,,,,,,,,,,,,,2.535947999999975,,,,,,,,,,,,,,ad06c9a0-326c-4f22-9444-173dc9c10ff3,2092,,,"[63.6, 80.0]",4003656,53,0.0084891198,0.0090213064,-0.0005321866,0.0109510887,0.0104503706,0.0005007181,0.0010329047,,,,-0.896949,,,,,,"[85.4, 52.7]",,High Pass,,34.94,,Incomplete,,,,,0.7092552185,,,,,,Throw-in,,2,From Throw In,Attila Szujó,489653.0,Right Back,147,Kazincbarcika,2541,['27c80435-dca0-4e78-837b-3a785d4942f4'],5,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:08:05.971,Pass,
,,,,,,,,,,,,,,,,,,0.9389249999999884,,,,,,,,,,,,,,27c80435-dca0-4e78-837b-3a785d4942f4,2093,,,"[34.7, 27.4]",4003656,53,0.0103496592,0.0104503706,-0.0001007114,0.0140629653,0.0090213064,0.0050416589,0.0051423702,,,,-0.950901,,,Head,,,"[42.3, 16.7]",,High Pass,,13.13,,,,30.0,Midfield third - Center - To left - Short - Ground Pass,0.3395135323,0.6683165431,Giorgi Beridze,28763.0,,,,Recovery,,2,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,148,Ujpest,1033,"['2d57c0d1-7535-571a-9d6f-3a65ad3000aa', 'ad06c9a0-326c-4f22-9444-173dc9c10ff3']",8,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:08.507,Pass,
,,,,,,,,,,,,,,,,,,0.4063550000000396,,,,,,,,,,,,,,892a3944-b976-446d-b7d4-cfeac0a4fae4,2096,,,"[42.3, 16.7]",4003656,53,0.0126825282,0.0103496592,0.002332869,0.0087073585,0.0140629653,-0.0053556068,-0.0076884758,,,,1.372356,,,Right Foot,,,"[42.7, 18.5]",,Low Pass,,1.88,,Incomplete,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.8460674074,0.7541518807,,,,,,,,2,Regular Play,Giorgi Beridze,28763.0,Left Wing,148,Ujpest,1033,"['a36326e9-77be-5df8-9ed6-a89fd57bbbcc', '085ccef6-a3d4-4ba8-b5b8-c886d13f2c07']",9,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:09.446,Pass,
,,,,,,,,,,,,,,,,,,2.2191160000000383,,,,,,,,,,,,,,5028e8a8-0e56-4342-95d3-4e50b3dbb553,2101,,,"[20.8, 6.4]",4003656,53,0.0163363349,0.0133258505,0.0030104844,0.0063899192,0.0076212068,-0.0012312876,-0.004241772,,,,1.814077,,,Right Foot,,,"[16.7, 23.0]",,High Pass,,17.14,,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9878024919,0.7685586214,João Aniceto Grandela Nunes,7977.0,,,,,,2,Regular Play,Bence Gergényi,404242.0,Left Back,148,Ujpest,1033,"['9e4eeda5-6076-5e75-b111-3bd15d6a4754', 'e15fe4d5-f83a-5f42-80c2-8e089f0bc168', 'b83e9e02-952d-4586-9641-b2a472766ea1']",13,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:13.737,Pass,True
,,,,,,,,,,,,,,,,,,1.4984959999999847,,,,,,,,,,,,,,d45b3eda-9885-462a-93b0-0c7e997f996a,2103,,,"[16.7, 23.0]",4003656,53,0.0111600775,0.0163363349,-0.0051762573,0.0055348394,0.0063899192,-0.0008550799,0.0043211775,,,,-0.534783,,,Head,,,"[32.7, 13.5]",,High Pass,,18.56,,,,50.0,Defensive third - Left - Forwards - Short - Ground Pass,0.9489347603,0.4814744592,Giorgi Beridze,28763.0,,,,,,2,Regular Play,João Aniceto Grandela Nunes,7977.0,Right Center Back,148,Ujpest,1033,['74ae1a2f-14f2-5511-af6d-22a3fdc99e2f'],15,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:15.956,Pass,
,,,,,,,,,,,,,,,,,,0.7720470000000205,,,,,,,,,,,,,,9af227a4-b984-4cf9-bb39-a6952e6635e5,2105,,,"[32.7, 13.5]",4003656,53,0.0202831458,0.0111600775,0.0091230683,0.0095881103,0.0055348394,0.0040532709,-0.0050697974,,,,-0.238609,,,Head,,,"[44.2, 10.7]",,High Pass,,11.8,,Incomplete,,50.0,Defensive third - Left - Forwards - Short - Ground Pass,0.5040463308,0.4430594742,,,,,,,,2,Regular Play,Giorgi Beridze,28763.0,Left Wing,148,Ujpest,1033,['98d9fb56-461a-4d14-b3ef-f9814ad3f7dc'],17,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:17.455,Pass,
,,,,,,,,,,,,,,,,,,3.568627999999968,,,,,,,,,,,,,,98d9fb56-461a-4d14-b3ef-f9814ad3f7dc,2106,,,"[75.9, 69.4]",4003656,53,0.0078636119,0.0055348394,0.0023287726,0.0140055614,0.0111600775,0.0028454838,0.0005167113,,,,-1.236895,,,Left Foot,,,"[90.4, 27.6]",,High Pass,,44.24,,Incomplete,,25.0,Midfield third - Right - To left - Long - High Pass,0.9972089649,0.2875550687,,,,True,,Recovery,,2,Regular Play,Attila Szujó,489653.0,Right Back,148,Ujpest,1033,"['3f584af1-e937-4ecf-a719-f15215a43795', '9af227a4-b984-4cf9-bb39-a6952e6635e5']",18,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:08:18.227,Pass,
,,,,,,,,,,,,,,,,,,1.4312299999999814,,,,,,,,,,,,,,3f584af1-e937-4ecf-a719-f15215a43795,2108,,,"[29.7, 52.5]",4003656,53,0.0117006665,0.0202831458,-0.0085824793,0.0138621815,0.0095881103,0.0042740712,0.0128565505,,,,-1.150452,,,Head,,,"[34.0, 42.9]",,Low Pass,,10.54,,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.4469479059,0.8431356549,Mátyás Tajti,35313.0,,,,Recovery,,2,Regular Play,Damian Rasak,12829.0,Right Back,148,Ujpest,1033,"['0ebd3bfc-511e-4812-8356-856d7c789740', '98d9fb56-461a-4d14-b3ef-f9814ad3f7dc', '1ac30655-8b56-5fe5-85aa-d525df1cded1']",21,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:21.796,Pass,True
,,,,,,,,,,,,,,,,,,1.9189370000000345,,,,,,,,,,,,,,9b76b178-0a09-4da3-8dbe-7610d9ee609f,2110,,,"[34.0, 42.9]",4003656,53,0.0091937855,0.0117006665,-0.002506881,0.0098510003,0.0138621815,-0.0040111812,-0.0015043002,,,,-0.128685,,,Right Foot,,,"[63.8, 39.0]",,High Pass,,30.08,,Incomplete,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.4588471193,0.1857196689,,,,,,,,2,Regular Play,Mátyás Tajti,35313.0,Right Defensive Midfield,148,Ujpest,1033,['ad85cd41-4b48-4b61-8192-7a74e09cd141'],23,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:23.227,Pass,
,,,,,,,,,,,,,,,,,,1.972380999999994,,,,,,,,,,,,,,ad85cd41-4b48-4b61-8192-7a74e09cd141,2111,,,"[56.3, 41.1]",4003656,53,0.0158650931,0.0138621815,0.0020029116,0.0115944594,0.0117006665,-0.0001062071,-0.0021091187,,,,-0.645689,,,Head,,,"[70.9, 30.1]",,Low Pass,,18.28,,,,53.0,Midfield third - Center - Forwards - Short - Ground Pass,0.6254950097,0.6062748432,Bálint Kártik,484588.0,,,,Recovery,,2,Regular Play,László Rácz,484587.0,Right Center Back,149,Kazincbarcika,2541,"['9b76b178-0a09-4da3-8dbe-7610d9ee609f', 'd889a69c-1eeb-5e0d-9684-58c10a05d4bd']",25,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:08:25.146,Pass,
,,,,,,,,,,,,,,,,,,4.4879330000000195,,,,,,,,,,,,,,a3139273-48a6-425f-9282-9eded5162164,2120,,,"[55.8, 44.5]",4003656,53,0.0099367891,0.0095114335,0.0004253555,0.0154123912,0.0146489674,0.0007634237,0.0003380682,True,,,1.485434,,,Right Foot,,,"[58.0, 70.2]",,Ground Pass,,25.8,,,,,,,0.9969985485,Damian Rasak,12829.0,,,,Free Kick,,2,From Free Kick,Mátyás Tajti,35313.0,Right Defensive Midfield,151,Ujpest,1033,['87fc502a-0d2b-50fb-9c50-41ba6a926844'],33,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:33.624,Pass,
,,,,,,,,,,,,,,,,,,1.3135680000000285,,,,,,,,,,,,,,7ba73eb8-771b-41d4-b30a-abe59adeb70a,2122,,,"[58.7, 70.7]",4003656,53,0.0098345773,0.0099367891,-0.0001022117,0.0176195875,0.0154123912,0.0022071963,0.002309408,,,,-1.615606,,,Right Foot,,,"[58.2, 58.9]",,Ground Pass,,11.83,,,,36.0,Midfield third - Right - Backwards - Short - Ground Pass,0.9342848342,0.9862790108,João Aniceto Grandela Nunes,7977.0,,,,,,2,From Free Kick,Damian Rasak,12829.0,Right Back,151,Ujpest,1033,['8b81126c-93a4-5972-bfc8-0e9ab770f670'],40,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:40.073,Pass,
,,,,,,,,,,,,,,,,,,0.8246609999999637,,,,,,,,,,,,,,41c818aa-0fda-493a-8660-f03feb38bc6f,2125,,,"[58.0, 58.5]",4003656,53,0.0100860251,0.0096491696,0.0004368555,0.0184795763,0.0176195875,0.0008599889,0.0004231334,,,,-0.551119,,,Right Foot,,,"[66.3, 53.4]",,Ground Pass,,9.78,,,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.7085809509,0.912235558,Mátyás Tajti,35313.0,,,,,,2,From Free Kick,João Aniceto Grandela Nunes,7977.0,Right Center Back,151,Ujpest,1033,"['d9c05fb0-7234-5bda-a60b-563ad7462b5c', '7c299277-beae-52f3-8d8c-d0247945a976']",41,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:41.735,Pass,
,,,,,,,,,,,,,,,,,,1.2371900000000604,,,,,,,,,,,,,,201510b9-4df4-4315-96c1-1c398d4a9a34,2129,,,"[64.7, 53.7]",4003656,53,0.0096344128,0.0103965523,-0.0007621394,0.0192903783,0.017520126,0.0017702524,0.0025323918,,,,-1.904456,,,Right Foot,,,"[57.8, 33.9]",,Ground Pass,,20.98,,,,11.0,Midfield third - Center - To left - Short - Ground Pass,0.8050405494,0.9818712473,Attila Fiola,11268.0,,,,,,2,From Free Kick,Mátyás Tajti,35313.0,Right Defensive Midfield,151,Ujpest,1033,"['3eefd2f4-8521-56af-a514-6156e6cbb59e', '77157119-cf1e-4ce5-b0ff-7a2d1c6bd367', 'c9fc1064-1d42-5db4-af35-ade1c643f7f1']",45,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:45.590,Pass,True
,,,,,,,,,,,,,,,,,,1.677994999999995,,,,,,,,,,,,,,9986801f-4e33-4689-9159-6489e5fb6198,2132,,,"[62.2, 33.9]",4003656,53,0.0094597582,0.0097779743,-0.0003182162,0.0178967249,0.020142857,-0.0022461321,-0.001927916,,,,-1.250268,,,Right Foot,,,"[71.2, 6.9]",,Ground Pass,,28.47,,,,0.0,Midfield third - Center - To left - Short - Ground Pass,0.9781084162,0.9740541577,Giorgi Beridze,28763.0,,,,,,2,From Free Kick,Attila Fiola,11268.0,Left Center Back,151,Ujpest,1033,"['f3317a1c-9612-5392-a01d-27966d8e7e30', '6c1ae0b7-53ab-5a45-bcc6-cc46de338d47']",47,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:47.766,Pass,
,,,,,,,,,,,,,,,,,,2.590832999999984,,,,,,,,,,,,,,fb8338a7-673a-4853-a0e4-43579d0ce698,2135,,,"[72.5, 6.0]",4003656,53,0.0089731487,0.0093153752,-0.0003422266,0.0223971512,0.0178101268,0.0045870245,0.004929251,,,,1.821864,,,Right Foot,,,"[63.0, 43.0]",,Low Pass,,38.24,,,,46.0,Midfield third - Left - To right - Short - Ground Pass,0.996562033,0.9711391926,João Aniceto Grandela Nunes,7977.0,,,,,,2,From Free Kick,Giorgi Beridze,28763.0,Left Wing,151,Ujpest,1033,"['9f94c5c7-0bf5-5f6a-acae-770613ea9a33', '9530fd05-0188-5116-a1f6-15ed1b313f13']",53,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:53.249,Pass,
,,,,,,,,,,,,,,,,,,1.6405590000000083,,,,,,,,,,,,,,25c69c93-309f-453b-8c44-b1169e686270,2138,,,"[63.0, 43.0]",4003656,53,0.0099396138,0.0089731487,0.0009664651,0.0206625927,0.0223971512,-0.0017345585,-0.0027010236,,,,0.861835,,,Right Foot,,,"[69.3, 50.4]",,Ground Pass,,9.72,,,,22.0,Midfield third - Center - To right - Short - Ground Pass,0.5604377142,0.9210798144,Mátyás Tajti,35313.0,,,,,,2,From Free Kick,João Aniceto Grandela Nunes,7977.0,Right Center Back,151,Ujpest,1033,"['b8d66e92-ba9e-50ae-982b-493bc3055f01', 'c83fb9ae-2ef9-54d8-8010-99f166c6286e']",55,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:08:55.840,Pass,
