50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.4162180000000009,,,,,,,,,,1000ffaa-336e-4c34-9440-8d85d9b2dbc4,23,,,"[63.3, 25.7]",4003722,0,0.0103974808,0.0111083435,-0.0007108627,0.0147350719,0.0182480011,-0.0035129292,-0.0028020665,,,,-2.852863,,,Right Foot,,"[43.1, 19.7]",,Ground Pass,,21.07,,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.7129245964,0.9750266671,Kacper Radkowski,26739.0,,,,,,,1,Regular Play,Mykhailo Meskhi,132561.0,Right Defensive Midfield,4,Kazincbarcika,2541,"['be0439f4-2ef1-46cd-8d6d-7f3aa2ab8468', '3ecd0d7e-1f11-53f7-ba87-c1637aea6511', '2d5effdb-54df-5649-972f-8411f78e28ee']",16,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:16.185,Pass,True
,,,,,,,,,,,,,,,,,2.4000030000000008,,,,,,,,,,d2d3af3f-d641-4e13-812e-99db9e1de27f,25,,,"[43.1, 19.7]",4003722,0,0.010711696,0.0103974808,0.0003142152,0.0145878065,0.0147350719,-0.0001472654,-0.0004614806,,,,1.664781,,,Right Foot,,"[40.8, 44.1]",,Ground Pass,,24.51,,,,45.0,Midfield third - Center - To right - Short - Ground Pass,0.9731987916,0.9856840372,László Rácz,484587.0,,,,,,,1,Regular Play,Kacper Radkowski,26739.0,Left Center Back,4,Kazincbarcika,2541,['12e1bbdb-b19d-5549-9f7d-f15abfd1eb9c'],17,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:17.601,Pass,
,,,,,,,,,,,,,,,,,2.3999969999999995,,,,,,,,,,3401ca3b-1294-465a-aa47-8e1f51cef9eb,27,,,"[40.8, 44.1]",4003722,0,0.0100417454,0.010711696,-0.0006699506,0.0134197166,0.0145878065,-0.0011680899,-0.0004981393,,,,1.28198,,,Right Foot,,"[50.1, 75.4]",,Ground Pass,,32.65,,,,1.0,Midfield third - Center - To right - Short - Ground Pass,0.7638973555,0.9626492262,Nyíri Vince Tóbiás,438533.0,,,,,,,1,Regular Play,László Rácz,484587.0,Right Center Back,4,Kazincbarcika,2541,['90e76699-7d6d-580f-b166-59aa0cd9908d'],20,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:20.001,Pass,
,,,,,,,,,,,,,,,,,1.1999969999999993,,,,,,,,,,32b5f61d-431f-44cf-a8d5-ae5ec53b4ed9,30,,,"[49.6, 74.6]",4003722,0,0.0099483542,0.0099939769,-4.56227e-05,0.0146375597,0.0135912765,0.0010462832,0.0010919059,,,,-1.570796,,,Right Foot,,"[49.6, 63.4]",,Ground Pass,,11.2,,,,36.0,Midfield third - Right - Backwards - Short - Ground Pass,0.8184068018,0.9729520679,Mykhailo Meskhi,132561.0,,,,,,,1,Regular Play,Nyíri Vince Tóbiás,438533.0,Right Back,4,Kazincbarcika,2541,"['1f949574-c20f-5a7c-bcd9-e9b572208950', '4fbd6a0e-7a98-5db7-994f-5a1ecf124d86']",23,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:23.201,Pass,
,,,,,,,,,,,,,,,,,1.1999979999999997,,,,,,,,,,bf4c399c-8c85-4dc0-ac22-46c1fd1ae555,33,,,"[49.6, 63.4]",4003722,0,0.0112456959,0.0099483542,0.0012973417,0.0118687861,0.0146375597,-0.0027687736,-0.0040661152,,,,-3.058833,,,Right Foot,,"[27.9, 61.6]",,Ground Pass,,21.77,,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.7548036494,0.9938613176,László Rácz,484587.0,,,,,,,1,Regular Play,Mykhailo Meskhi,132561.0,Right Defensive Midfield,4,Kazincbarcika,2541,"['8cc55f13-9625-5dcf-8c95-74f2f034caf4', '3c4d8613-10a2-5aea-9573-be8baaee3d50']",24,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:24.401,Pass,
,,,,,,,,,,,,,,,,,1.1666820000000007,,,,,,,,,,b9a59523-12a8-44f3-bc64-1e076903448c,36,,,"[28.1, 59.6]",4003722,0,0.0116476845,0.0116413515,6.333e-06,0.0107289357,0.0119084045,-0.0011794688,-0.0011858018,,,,0.8394,,,Right Foot,,"[42.1, 75.2]",,Ground Pass,,20.96,,,,58.0,Defensive third - Right - Forwards - Short - Ground Pass,0.6858333477,0.9763396978,Nyíri Vince Tóbiás,438533.0,,,,,,,1,Regular Play,László Rácz,484587.0,Right Center Back,4,Kazincbarcika,2541,"['a800ebfc-94e1-5108-a7f6-a19fdb3b2755', 'feaf01cc-e9f0-539f-8cac-facd9e2f38e6']",28,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:28.801,Pass,
,,,,,,,,,,,,,,,,,1.5999989999999962,,,,,,,,,,52ab1e1b-1135-49bc-9bbe-696484f0fefe,43,,,"[35.8, 69.4]",4003722,0,0.0124821803,0.0120581361,0.0004240442,0.0099829063,0.0104589202,-0.0004760139,-0.0009000581,,,,-2.894922,,,Right Foot,,"[21.9, 65.9]",,Ground Pass,,14.33,,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.9860065778,0.9842501879,László Rácz,484587.0,,,,,,,1,Regular Play,Nyíri Vince Tóbiás,438533.0,Right Back,4,Kazincbarcika,2541,"['cc2ffd36-8e5a-50bc-b2a0-8e5918339ba9', '4b31f38e-a588-4a5e-93ae-55e62528f87f', '5d777463-15ac-5208-b8d5-39771f498590']",31,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:31.352,Pass,True
,,,,,,,,,,,,,,,,,2.0389860000000044,,,,,,,,,,91c1bc9b-86c9-431b-b954-e8766fa02c03,46,,,"[21.9, 65.9]",4003722,0,0.0093989326,0.0124821803,-0.0030832477,0.0187732019,0.0099829063,0.0087902956,0.0118735433,,,,-0.199107,,,Right Foot,,"[55.6, 59.1]",,High Pass,,34.38,,Incomplete,,41.0,Defensive third - Right - Forwards - Long - High Pass,0.9998580576,0.1776144356,,,,,,,,,1,Regular Play,László Rácz,484587.0,Right Center Back,4,Kazincbarcika,2541,"['84e24a5f-36c8-4b26-96a9-825a08512550', '54ee3d74-5c82-5589-9867-3b83cff17435']",32,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:32.952,Pass,
,,,,,,,,,,,,,,,,,3.582398000000001,,,,,,,,,,6598a4ee-0cb5-40b5-b716-002c039b243a,49,,,"[57.6, 42.1]",4003722,0,0.01220991,0.0120141795,0.0001957305,0.0112057989,0.0102020316,0.0010037674,0.0008080369,,,,0.136802,,,Right Foot,,"[96.1, 47.4]",,High Pass,,38.86,,Incomplete,,20.0,Midfield third - Right - Forwards - Short - High Pass,0.2943243008,0.1815938205,,,,,,,Recovery,,1,Regular Play,János Ferenczi,73309.0,Left Midfield,4,Kazincbarcika,2541,['dc1fbf08-3e4b-4e8a-b66f-eb3724f53151'],36,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:36.873,Pass,
,,,,,,,,,,,,,,,,,1.1999989999999963,,,,,,,,,,dc1fbf08-3e4b-4e8a-b66f-eb3724f53151,50,,,"[24.0, 32.7]",4003722,0,0.0106501952,0.0187732019,-0.0081230067,0.0128529742,0.0093989326,0.0034540417,0.0115770483,,,,1.01587,,,Right Foot,,"[29.2, 41.0]",,Ground Pass,,9.81,,,,33.0,Defensive third - Center - To right - Short - Ground Pass,0.5281027177,0.9230152369,Attila Fiola,11268.0,,,,,Recovery,,1,Regular Play,Dávid Banai,404208.0,Goalkeeper,5,Ujpest,1033,"['6598a4ee-0cb5-40b5-b716-002c039b243a', '3feca5c2-9236-55b7-859e-49a3063134f6']",40,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:40.455,Pass,
